title,title_detail,links,link,id,guidislink,summary,summary_detail,published,published_parsed,media_content,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
डेराबस्सी में चाकुओं से गोदकर सिक्योरिटी गार्ड की हत्या:बाइक से ड्यूटी पर जा रहा था; जांच के लिए टीम गठित,"{'type': 'text/plain', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-11649.xml', 'value': 'डेराबस्सी में चाकुओं से गोदकर सिक्योरिटी गार्ड की हत्या:बाइक से ड्यूटी पर जा रहा था; जांच के लिए टीम गठित'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bhaskar.com/local/chandigarh/news/security-guard-stabbed-death-derabassi-133748742.html'}, {'href': 'https://www.bhaskar.com/local/chandigarh/news/security-guard-stabbed-death-derabassi-133748742.html', 'rel': 'alternate', 'type': 'text/html'}]",https://www.bhaskar.com/local/chandigarh/news/security-guard-stabbed-death-derabassi-133748742.html,https://www.bhaskar.com/local/chandigarh/news/security-guard-stabbed-death-derabassi-133748742.html,False,"डेराबस्सी में एक दिल दहला देने वाली घटना ने इलाके में सनसनी फैला दी, जब 45 साल के सिक्योरिटी गार्ड करमजीत सिंह की दिनदहाड़े चाकुओं से गोदकर हत्या कर दी गई। यह घटना तब हुई जब करमजीत सिंह अपनी भाभी के साथ बाइक पर ड्यूटी के लिए जा रहे थे। अचानक बाइक सवार हमलावरों ने उन पर हमला कर दिया, जिससे वह गंभीर रूप से घायल हो गए। घटना के बाद करमजीत सिंह को तुरंत डेराबस्सी के सिविल अस्पताल ले जाया गया, लेकिन वहां पहुंचते ही डॉक्टरों ने उन्हें मृत घोषित कर दिया। इस नृशंस हत्या ने पूरे इलाके में दहशत का माहौल पैदा कर दिया है। पुलिस ने मामले की गंभीरता को देखते हुए त्वरित कार्रवाई शुरू कर दी है और हत्यारों की तलाश के लिए विभिन्न टीमों का गठन किया है। करमजीत सिंह की हत्या के पीछे की असल वजह अभी तक सामने नहीं आई है। पुलिस इस मामले की कई दृष्टिकोणों से जांच कर रही है। अब तक की जांच में यह स्पष्ट नहीं हो सका है कि हत्या किसी पुरानी रंजिश का नतीजा है या फिर किसी अन्य कारण से की गई है। पुलिस ने घटनास्थल और आसपास के क्षेत्रों में लगे सीसीटीवी कैमरों की फुटेज खंगालने शुरू कर दिए है, ताकि हमलावरों की पहचान की जा सके। साथ ही, स्थानीय लोगों से पूछताछ भी जारी है, जिससे हत्या के बारे में कुछ ठोस सुराग मिल सकें। पुलिस का कहना है कि वे जल्द ही आरोपियों को गिरफ्तार कर लेंगे और मामले की सच्चाई का खुलासा करेंगे। पुलिस ने बढ़ाई सुरक्षा व्यवस्था
इस घटना के बाद से पूरे डेराबस्सी में सुरक्षा व्यवस्था को और कड़ा कर दिया गया है। पुलिस ने इलाके में गश्त बढ़ा दी है, ताकि इस तरह की घटनाओं पर अंकुश लगाया जा सके। पुलिस अधिकारी इलाके में हर संदिग्ध गतिविधि पर नजर बनाए हुए हैं। इस नृशंस हत्या के बाद से डेराबस्सी के लोग सहमे हुए हैं। दिनदहाड़े हुई इस घटना ने शहरवासियों को सकते में डाल दिया है। स्थानीय लोगों का कहना है कि इस तरह की घटनाएं कानून-व्यवस्था पर गंभीर सवाल खड़े करती हैं और वे चाहते हैं कि दोषियों को जल्द से जल्द पकड़कर कड़ी सजा दी जाए। पुलिस के अनुसार, मामले की गहनता से जांच की जा रही है और इस घटना से जुड़े सभी पहलुओं पर ध्यान दिया जा रहा है। यह देखना बाकी है कि पुलिस कितनी जल्दी इस मामले को सुलझाने में कामयाब होती है।","{'type': 'text/html', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-11649.xml', 'value': 'डेराबस्सी में एक दिल दहला देने वाली घटना ने इलाके में सनसनी फैला दी, जब 45 साल के सिक्योरिटी गार्ड करमजीत सिंह की दिनदहाड़े चाकुओं से गोदकर हत्या कर दी गई। यह घटना तब हुई जब करमजीत सिंह अपनी भाभी के साथ बाइक पर ड्यूटी के लिए जा रहे थे। अचानक बाइक सवार हमलावरों ने उन पर हमला कर दिया, जिससे वह गंभीर रूप से घायल हो गए। घटना के बाद करमजीत सिंह को तुरंत डेराबस्सी के सिविल अस्पताल ले जाया गया, लेकिन वहां पहुंचते ही डॉक्टरों ने उन्हें मृत घोषित कर दिया। इस नृशंस हत्या ने पूरे इलाके में दहशत का माहौल पैदा कर दिया है। पुलिस ने मामले की गंभीरता को देखते हुए त्वरित कार्रवाई शुरू कर दी है और हत्यारों की तलाश के लिए विभिन्न टीमों का गठन किया है। करमजीत सिंह की हत्या के पीछे की असल वजह अभी तक सामने नहीं आई है। पुलिस इस मामले की कई दृष्टिकोणों से जांच कर रही है। अब तक की जांच में यह स्पष्ट नहीं हो सका है कि हत्या किसी पुरानी रंजिश का नतीजा है या फिर किसी अन्य कारण से की गई है। पुलिस ने घटनास्थल और आसपास के क्षेत्रों में लगे सीसीटीवी कैमरों की फुटेज खंगालने शुरू कर दिए है, ताकि हमलावरों की पहचान की जा सके। साथ ही, स्थानीय लोगों से पूछताछ भी जारी है, जिससे हत्या के बारे में कुछ ठोस सुराग मिल सकें। पुलिस का कहना है कि वे जल्द ही आरोपियों को गिरफ्तार कर लेंगे और मामले की सच्चाई का खुलासा करेंगे। पुलिस ने बढ़ाई सुरक्षा व्यवस्था\nइस घटना के बाद से पूरे डेराबस्सी में सुरक्षा व्यवस्था को और कड़ा कर दिया गया है। पुलिस ने इलाके में गश्त बढ़ा दी है, ताकि इस तरह की घटनाओं पर अंकुश लगाया जा सके। पुलिस अधिकारी इलाके में हर संदिग्ध गतिविधि पर नजर बनाए हुए हैं। इस नृशंस हत्या के बाद से डेराबस्सी के लोग सहमे हुए हैं। दिनदहाड़े हुई इस घटना ने शहरवासियों को सकते में डाल दिया है। स्थानीय लोगों का कहना है कि इस तरह की घटनाएं कानून-व्यवस्था पर गंभीर सवाल खड़े करती हैं और वे चाहते हैं कि दोषियों को जल्द से जल्द पकड़कर कड़ी सजा दी जाए। पुलिस के अनुसार, मामले की गहनता से जांच की जा रही है और इस घटना से जुड़े सभी पहलुओं पर ध्यान दिया जा रहा है। यह देखना बाकी है कि पुलिस कितनी जल्दी इस मामले को सुलझाने में कामयाब होती है।'}","Fri, 04 Oct 2024 12:28:03 +0000","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=12, tm_min=28, tm_sec=3, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'url': 'https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/10/04/8f400f04-e728-4b63-ba5c-4f32163f69581728042014125s_1728044857.jpg', 'type': 'image/jpeg', 'width': '1000', 'height': '1000'}]",Dainik Bhaskar,Chandigarh,,,,2024-10-04 11:13:12.289294
"सवाल: BJP का टारगेट आप ही क्यों?:हुड्‌डा- जो राजनीति में उठता है, वह टारगेट बनता ही है; भाग्य में होगा तो दीपेंद्र CM बनेगा","{'type': 'text/plain', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-11649.xml', 'value': 'सवाल: BJP का टारगेट आप ही क्यों?:हुड्\u200cडा- जो राजनीति में उठता है, वह टारगेट बनता ही है; भाग्य में होगा तो दीपेंद्र CM बनेगा'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bhaskar.com/local/haryana/rohtak/news/haryana-election-2024-bhupinder-singh-hooda-vs-bjp-ram-rahim-parole-133747805.html'}, {'href': 'https://www.bhaskar.com/local/haryana/rohtak/news/haryana-election-2024-bhupinder-singh-hooda-vs-bjp-ram-rahim-parole-133747805.html', 'rel': 'alternate', 'type': 'text/html'}]",https://www.bhaskar.com/local/haryana/rohtak/news/haryana-election-2024-bhupinder-singh-hooda-vs-bjp-ram-rahim-parole-133747805.html,https://www.bhaskar.com/local/haryana/rohtak/news/haryana-election-2024-bhupinder-singh-hooda-vs-bjp-ram-rahim-parole-133747805.html,False,"हरियाणा की 90 विधानसभा सीटों के लिए कल सुबह वोटिंग होगी। चुनावी शोरगुल थम चुका है। नेता अब डोर टू डोर जाकर प्रचार में जुटे हैं। पूर्व CM भूपेंद्र हुड्‌डा भी रोहतक में लोगों से मिल रहे हैं। इसी दौरान पूर्व CM भूपेंद्र हुड्‌डा ने दैनिक भास्कर से बातचीत में कई मुद्दों पर अपनी बात रखी। हुड्‌डा ने BJP के उनको ही टारगेट करने पर कहा- राजनीति में जो ऊपर जाता है, उसे टारगेट किया ही जाता है। हुड्‌डा ने डेरा सच्चा सौदा के मुखी राम रहीम को पैरोल मिलने को कानूनी मामला करार दिया। इसके अलावा दीपेंद्र हुड्‌डा के मुख्यमंत्री बनने पर कहा कि भाग्य में जो होगा, वह मिलेगा। इनके अलावा चुनाव में कांग्रेस की स्थिति, BJP के सरकारी नौकरियों में पर्ची-खर्ची के आरोपों समेत हरियाणा के तमाम बड़े मुद्दों पर भूपेंद्र हुड्‌डा ने दैनिक भास्कर से बात की, उसके प्रमुख अंश पढ़ें... सवाल: वोटिंग से पहले लोगों से क्या अपील करना चाहेंगे?
भूपेंद्र हुड्‌डा : भाईचारा बनाए रखें, शांतिपूर्ण तरीके से अपने मतदान के अधिकार का प्रयोग करें। सवाल : BJP ने आप पर कई तरह के आरोप लगाए। हर बार आपको टारगेट क्यों किया जाता है?
भूपेंद्र हुड्‌डा : ये कुदरती बात है, जो राजनीति में ऊपर आता दिखता है, उसे ही टारगेट करेंगे। सवाल: BJP ने पर्ची-खर्ची का मुद्दा उठाया, इससे यूथ प्रभावित तो नहीं होगा?
भूपेंद्र हुड्‌डा : उल्टा चोर कोतवाल को डांटे। HPSC के ऑफिस में करोड़ों रुपए किसके राज में पकड़े गए..BJP के। कमीशन के चेयरमैन को किसके राज में सस्पेंड किया गया...BJP के। कौशल रोजगार निगम के MD के यहां करप्शन पकड़ा गया...BJP के राज में। इन्होंने खुद परचून की दुकान की तरह नौकरियां बेची हैं। उसे बचाने के लिए ऐसा कर रहे हैं। उल्टा चोर कोतवाल को डांट रहा है। सवाल: अशोक तंवर ने कल कांग्रेस जॉइन की है, क्या कहना चाहेंगे?
भूपेंद्र हुड्‌डा : कोई नहीं, वह पहले कांग्रेस में ही थे। उनका स्वागत है। सवाल : पिता के तौर पर क्या आप चाहते हैं कि एक दिन दीपेंद्र हुड्‌डा हरियाणा की कमान संभालें?
भूपेंद्र हुड्‌डा : ये हाईपोथेटिकल सवाल है। जो जिसके भाग्य में होगा, मिलेगा। सवाल: राम रहीम को चुनाव से ठीक पहले पैरोल मिली है। क्या ये सही है?
भूपेंद्र हुड्‌डा : कोई बात नहीं। कानूनी प्रक्रिया और ज्यूडिशियरी का काम है। सवाल: सरकार बनाने का रोडमैप तैयार है?
भूपेंद्र हुड्‌डा : कांग्रेस की मेजॉरिटी आएगी। मैं ये नहीं कह सकता कि कितनी सीटें आएंगी, लेकिन भारी बहुमत से सरकार बनेगी। हरियाणा के नेताओं के ये VIP इंटरव्यू भी पढ़ें.. 1. चौटाला बोले- BJP का इनेलो-कांडा से अंडरग्राउंड समझौता:3 सीटों के बदले डमी कैंडिडेट खड़े कराए; कुलदीप बिश्नोई बुरी तरह हारते, मेरे ब्लाइंड सपोर्टर 2. कुलदीप बिश्नोई बोले-रणजीत चौटाला की बात में वजन नहीं:मैं लोकसभा चुनाव लड़ता तो सबसे बड़ी जीत होती; हुड्‌डा परिवार से फर्क नहीं पड़ता 3. सैलजा बोलीं- CM का फैसला कांग्रेस हाईकमान करेगा:पार्टी में हुड्‌डा की चलने जैसी कोई बात नहीं; BJP में तो मुख्यमंत्री-अध्यक्ष के ही सुर अलग-अलग 4. दुष्यंत चौटाला बोले-BJP का प्रोपेगैंडा सफल नहीं होगा:हमारा विरोध वो लोग कर रहे, जिनके लिए हम चैलेंज हैं; हरियाणा में त्रिशंकु विधानसभा होगी 5. किरण चौधरी बोलीं- भूपेंद्र-दीपेंद्र हुड्डा सेटिंग करने वाले नेता:बापू-बेटे पर लटक रही तलवार; सैलजा के अपमान से दुख हो रहा, BJP में सुकून मिला","{'type': 'text/html', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-11649.xml', 'value': 'हरियाणा की 90 विधानसभा सीटों के लिए कल सुबह वोटिंग होगी। चुनावी शोरगुल थम चुका है। नेता अब डोर टू डोर जाकर प्रचार में जुटे हैं। पूर्व CM भूपेंद्र हुड्\u200cडा भी रोहतक में लोगों से मिल रहे हैं। इसी दौरान पूर्व CM भूपेंद्र हुड्\u200cडा ने दैनिक भास्कर से बातचीत में कई मुद्दों पर अपनी बात रखी। हुड्\u200cडा ने BJP के उनको ही टारगेट करने पर कहा- राजनीति में जो ऊपर जाता है, उसे टारगेट किया ही जाता है। हुड्\u200cडा ने डेरा सच्चा सौदा के मुखी राम रहीम को पैरोल मिलने को कानूनी मामला करार दिया। इसके अलावा दीपेंद्र हुड्\u200cडा के मुख्यमंत्री बनने पर कहा कि भाग्य में जो होगा, वह मिलेगा। इनके अलावा चुनाव में कांग्रेस की स्थिति, BJP के सरकारी नौकरियों में पर्ची-खर्ची के आरोपों समेत हरियाणा के तमाम बड़े मुद्दों पर भूपेंद्र हुड्\u200cडा ने दैनिक भास्कर से बात की, उसके प्रमुख अंश पढ़ें... सवाल: वोटिंग से पहले लोगों से क्या अपील करना चाहेंगे?\nभूपेंद्र हुड्\u200cडा : भाईचारा बनाए रखें, शांतिपूर्ण तरीके से अपने मतदान के अधिकार का प्रयोग करें। सवाल : BJP ने आप पर कई तरह के आरोप लगाए। हर बार आपको टारगेट क्यों किया जाता है?\nभूपेंद्र हुड्\u200cडा : ये कुदरती बात है, जो राजनीति में ऊपर आता दिखता है, उसे ही टारगेट करेंगे। सवाल: BJP ने पर्ची-खर्ची का मुद्दा उठाया, इससे यूथ प्रभावित तो नहीं होगा?\nभूपेंद्र हुड्\u200cडा : उल्टा चोर कोतवाल को डांटे। HPSC के ऑफिस में करोड़ों रुपए किसके राज में पकड़े गए..BJP के। कमीशन के चेयरमैन को किसके राज में सस्पेंड किया गया...BJP के। कौशल रोजगार निगम के MD के यहां करप्शन पकड़ा गया...BJP के राज में। इन्होंने खुद परचून की दुकान की तरह नौकरियां बेची हैं। उसे बचाने के लिए ऐसा कर रहे हैं। उल्टा चोर कोतवाल को डांट रहा है। सवाल: अशोक तंवर ने कल कांग्रेस जॉइन की है, क्या कहना चाहेंगे?\nभूपेंद्र हुड्\u200cडा : कोई नहीं, वह पहले कांग्रेस में ही थे। उनका स्वागत है। सवाल : पिता के तौर पर क्या आप चाहते हैं कि एक दिन दीपेंद्र हुड्\u200cडा हरियाणा की कमान संभालें?\nभूपेंद्र हुड्\u200cडा : ये हाईपोथेटिकल सवाल है। जो जिसके भाग्य में होगा, मिलेगा। सवाल: राम रहीम को चुनाव से ठीक पहले पैरोल मिली है। क्या ये सही है?\nभूपेंद्र हुड्\u200cडा : कोई बात नहीं। कानूनी प्रक्रिया और ज्यूडिशियरी का काम है। सवाल: सरकार बनाने का रोडमैप तैयार है?\nभूपेंद्र हुड्\u200cडा : कांग्रेस की मेजॉरिटी आएगी। मैं ये नहीं कह सकता कि कितनी सीटें आएंगी, लेकिन भारी बहुमत से सरकार बनेगी। हरियाणा के नेताओं के ये VIP इंटरव्यू भी पढ़ें.. 1. चौटाला बोले- BJP का इनेलो-कांडा से अंडरग्राउंड समझौता:3 सीटों के बदले डमी कैंडिडेट खड़े कराए; कुलदीप बिश्नोई बुरी तरह हारते, मेरे ब्लाइंड सपोर्टर 2. कुलदीप बिश्नोई बोले-रणजीत चौटाला की बात में वजन नहीं:मैं लोकसभा चुनाव लड़ता तो सबसे बड़ी जीत होती; हुड्\u200cडा परिवार से फर्क नहीं पड़ता 3. सैलजा बोलीं- CM का फैसला कांग्रेस हाईकमान करेगा:पार्टी में हुड्\u200cडा की चलने जैसी कोई बात नहीं; BJP में तो मुख्यमंत्री-अध्यक्ष के ही सुर अलग-अलग 4. दुष्यंत चौटाला बोले-BJP का प्रोपेगैंडा सफल नहीं होगा:हमारा विरोध वो लोग कर रहे, जिनके लिए हम चैलेंज हैं; हरियाणा में त्रिशंकु विधानसभा होगी 5. किरण चौधरी बोलीं- भूपेंद्र-दीपेंद्र हुड्डा सेटिंग करने वाले नेता:बापू-बेटे पर लटक रही तलवार; सैलजा के अपमान से दुख हो रहा, BJP में सुकून मिला'}","Fri, 04 Oct 2024 08:15:20 +0000","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=8, tm_min=15, tm_sec=20, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'url': 'https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/10/04/comp-21_1728028029.gif', 'type': 'image/gif', 'width': '1000', 'height': '1000'}]",Dainik Bhaskar,Chandigarh,,,,2024-10-04 11:13:12.289294
"पंजाब में विधानसभा उपचुनावों के लिए बीजेपी तैयार:चारों हलकों के लिए प्रभारी और सह-प्रभारी नियुक्त, अविनाश राय खन्ना को गिद्दड़बाहा की कमान","{'type': 'text/plain', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-11649.xml', 'value': 'पंजाब में विधानसभा उपचुनावों के लिए बीजेपी तैयार:चारों हलकों के लिए प्रभारी और सह-प्रभारी नियुक्त, अविनाश राय खन्ना को गिद्दड़बाहा की कमान'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bhaskar.com/local/punjab/news/punjab-vidhan-sabha-by-election-in-charge-and-in-charge-appointed-update-133748454.html'}, {'href': 'https://www.bhaskar.com/local/punjab/news/punjab-vidhan-sabha-by-election-in-charge-and-in-charge-appointed-update-133748454.html', 'rel': 'alternate', 'type': 'text/html'}]",https://www.bhaskar.com/local/punjab/news/punjab-vidhan-sabha-by-election-in-charge-and-in-charge-appointed-update-133748454.html,https://www.bhaskar.com/local/punjab/news/punjab-vidhan-sabha-by-election-in-charge-and-in-charge-appointed-update-133748454.html,False,"पंजाब में 4 विधानसभा सीटों पर होने वाले उप चुनावों के लिए भाजपा ने तैयारी शुरू कर दी है। चुनाव के लिए प्रभारी और सह प्रभारी व 18 मंडलों के लिए कोऑर्डिनेटर व को-कोऑर्डिनेटर नियुक्त किए गए हैं।गिद्दड़बाहा में अविनाश राय खन्ना को प्रभारी लगाया गया है। साथ ही दियाल सिंह सोढी को को- इंचार्ज लगाया है। इसी तरह बरनाला के लिए मनोरंजन कालिया को इंचार्ज व जगमोहन सिंह राजू को को-इंचार्ज लगाया गया है। जबकि चब्बेवाल विधानसभा हलके की कमान श्ववेत मलिक को सौंपी गई है। वहीं, परमिंदर सिंह बराड़ को को-इंचार्ज लगाया गया है। डेरा बाबा नानक हलके का इंचार्ज अश्वनी शर्मा को लगाया गया है, राकेश राठौर को-इंचार्ज लगाए गए हैं। अनील सरीन को सोशल मीडिया इंचार्ज की जिम्मेदारी सौंपी गई है। भाजपा द्वारा जारी आदेश की कॉपी इन 4 सीटों पर होने हैं उप चुनाव डेरा बाबा नानक (गुरदासपुर), चब्बेवाल (होशियापुर), गिद्दड़बाहा (श्री मुक्तसर साहिब) बरनाला (संगरूर) सीटों पर उप चुनाव होने हैं। क्योंकि इन चारों सीटों के विधायक अब लोकसभा चुनाव जीतकर सांसद बन गए हैं। साथ ही सभी ने अपने विधायक पद से इस्तीफा दिया है, विधानसभा स्पीकर उसे मंजूर भी कर चुके हैं। इन चारों सीटों पर कभी भी चुनाव हो सकते हैं। ऐसे में कोई भी पार्टी कसर नहीं छोड़ना चाहते हैं। इस दौरान AAP नेता राज कुमार चब्बेवाल होशियारपुर, कांग्रेस नेता सुखजिंदर सिंह रंधावा गुरदासपुर, अमरिंदर सिंह राजा वरिंग लुधियाना और गुरमीत सिंह मीत हेयर संगरूर से सांसद बने हैं।","{'type': 'text/html', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-11649.xml', 'value': 'पंजाब में 4 विधानसभा सीटों पर होने वाले उप चुनावों के लिए भाजपा ने तैयारी शुरू कर दी है। चुनाव के लिए प्रभारी और सह प्रभारी व 18 मंडलों के लिए कोऑर्डिनेटर व को-कोऑर्डिनेटर नियुक्त किए गए हैं।गिद्दड़बाहा में अविनाश राय खन्ना को प्रभारी लगाया गया है। साथ ही दियाल सिंह सोढी को को- इंचार्ज लगाया है। इसी तरह बरनाला के लिए मनोरंजन कालिया को इंचार्ज व जगमोहन सिंह राजू को को-इंचार्ज लगाया गया है। जबकि चब्बेवाल विधानसभा हलके की कमान श्ववेत मलिक को सौंपी गई है। वहीं, परमिंदर सिंह बराड़ को को-इंचार्ज लगाया गया है। डेरा बाबा नानक हलके का इंचार्ज अश्वनी शर्मा को लगाया गया है, राकेश राठौर को-इंचार्ज लगाए गए हैं। अनील सरीन को सोशल मीडिया इंचार्ज की जिम्मेदारी सौंपी गई है। भाजपा द्वारा जारी आदेश की कॉपी इन 4 सीटों पर होने हैं उप चुनाव डेरा बाबा नानक (गुरदासपुर), चब्बेवाल (होशियापुर), गिद्दड़बाहा (श्री मुक्तसर साहिब) बरनाला (संगरूर) सीटों पर उप चुनाव होने हैं। क्योंकि इन चारों सीटों के विधायक अब लोकसभा चुनाव जीतकर सांसद बन गए हैं। साथ ही सभी ने अपने विधायक पद से इस्तीफा दिया है, विधानसभा स्पीकर उसे मंजूर भी कर चुके हैं। इन चारों सीटों पर कभी भी चुनाव हो सकते हैं। ऐसे में कोई भी पार्टी कसर नहीं छोड़ना चाहते हैं। इस दौरान AAP नेता राज कुमार चब्बेवाल होशियारपुर, कांग्रेस नेता सुखजिंदर सिंह रंधावा गुरदासपुर, अमरिंदर सिंह राजा वरिंग लुधियाना और गुरमीत सिंह मीत हेयर संगरूर से सांसद बने हैं।'}","Fri, 04 Oct 2024 11:05:33 +0000","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=11, tm_min=5, tm_sec=33, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'url': 'https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/10/04/gifff_1728043037.gif', 'type': 'image/gif', 'width': '1000', 'height': '1000'}]",Dainik Bhaskar,Chandigarh,,,,2024-10-04 11:13:12.289294
"पंजाब व हरियाणा हाईकोर्ट ने SHO को भेजा नोटिस:रेप केस में FIR में छेड़छाड़, जमानत के बाद लगाया धारा 120B, देना होगा जवाब","{'type': 'text/plain', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-11649.xml', 'value': 'पंजाब व हरियाणा हाईकोर्ट ने SHO को भेजा नोटिस:रेप केस में FIR\xa0में छेड़छाड़,\xa0जमानत के बाद लगाया धारा 120B, देना होगा जवाब'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bhaskar.com/local/chandigarh/news/punjab-haryana-high-court-sent-noticesho-133748559.html'}, {'href': 'https://www.bhaskar.com/local/chandigarh/news/punjab-haryana-high-court-sent-noticesho-133748559.html', 'rel': 'alternate', 'type': 'text/html'}]",https://www.bhaskar.com/local/chandigarh/news/punjab-haryana-high-court-sent-noticesho-133748559.html,https://www.bhaskar.com/local/chandigarh/news/punjab-haryana-high-court-sent-noticesho-133748559.html,False,"पंजाब व हरियाणा हाईकोर्ट ने रेप केस में जमानत मिलने के बाद एफआईआर में जानबूझकर धारा 120B (आपराधिक साजिश) जोड़ने के मामले में जीरकपुर थाना के SHO जसकरण सिंह को अवमानना नोटिस जारी किया है। साथ ही कोर्ट ने उन्हें हर सुनवाई पर उपस्थित रहने के आदेश भी दिए हैं। मामले में आरोपी राजिंद्र टग्गर को 1 जुलाई को हाईकोर्ट ने जमानत दे दी थी। इसके बाद, 13 जुलाई को याचिकाकर्ता ने बेल बॉन्ड जेल प्रशासन पटियाला को जमा किए। जेल प्रशासन ने यह कहकर बेल बॉन्ड अस्वीकार कर दिया कि FIR में अब धारा 120B भी शामिल है, जिसका बेल बॉन्ड में उल्लेख नहीं है, इसलिए आरोपी की रिहाई नहीं हो सकती। याचिकाकर्ता ने हाईकोर्ट में दोबारा याचिका दायर कर आरोप लगाया कि FIR में धारा 120बी को जानबूझकर जोड़ा गया ताकि आरोपी की रिहाई रोकी जा सके। सीनियर वकील आर.एस. बैंस ने कोर्ट को बताया कि जब FIR दर्ज की गई थी, उस समय इसमें धारा 120बी नहीं थी, लेकिन जमानत मिलने के बाद इसे जोड़ दिया गया। मामले की सुनवाई करते हुए जस्टिस संदीप मोदगिल ने पुलिस की इस हरकत पर कड़ी नाराजगी जताते हुए SHO जसकरण सिंह को कोर्ट की अवमानना का नोटिस जारी किया। साथ ही उन्होंने हर सुनवाई पर कोर्ट में उपस्थित रहने के निर्देश भी दिए। कोर्ट ने एस.पी. (इन्वेस्टिगेशन) डॉ. ज्योति यादव द्वारा दाखिल किए गए एफिडेविट पर भी सवाल उठाया, जिसमें धारा 120बी का कोई उल्लेख नहीं था। अदालत ने इस पूरे घटनाक्रम को गंभीरता से लेते हुए SHO जसकरण सिंह को तथ्यों को छिपाने का दोषी मानते हुए कोर्ट को स्पष्टीकरण देने के आदेश दिए हैं।","{'type': 'text/html', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-11649.xml', 'value': 'पंजाब व हरियाणा हाईकोर्ट ने रेप केस में जमानत मिलने के बाद एफआईआर में जानबूझकर धारा 120B (आपराधिक साजिश) जोड़ने के मामले में जीरकपुर थाना के SHO जसकरण सिंह को अवमानना नोटिस जारी किया है। साथ ही कोर्ट ने उन्हें हर सुनवाई पर उपस्थित रहने के आदेश भी दिए हैं। मामले में आरोपी राजिंद्र टग्गर को 1 जुलाई को हाईकोर्ट ने जमानत दे दी थी। इसके बाद, 13 जुलाई को याचिकाकर्ता ने बेल बॉन्ड जेल प्रशासन पटियाला को जमा किए। जेल प्रशासन ने यह कहकर बेल बॉन्ड अस्वीकार कर दिया कि FIR में अब धारा 120B भी शामिल है, जिसका बेल बॉन्ड में उल्लेख नहीं है, इसलिए आरोपी की रिहाई नहीं हो सकती। याचिकाकर्ता ने हाईकोर्ट में दोबारा याचिका दायर कर आरोप लगाया कि FIR में धारा 120बी को जानबूझकर जोड़ा गया ताकि आरोपी की रिहाई रोकी जा सके। सीनियर वकील आर.एस. बैंस ने कोर्ट को बताया कि जब FIR दर्ज की गई थी, उस समय इसमें धारा 120बी नहीं थी, लेकिन जमानत मिलने के बाद इसे जोड़ दिया गया। मामले की सुनवाई करते हुए जस्टिस संदीप मोदगिल ने पुलिस की इस हरकत पर कड़ी नाराजगी जताते हुए SHO जसकरण सिंह को कोर्ट की अवमानना का नोटिस जारी किया। साथ ही उन्होंने हर सुनवाई पर कोर्ट में उपस्थित रहने के निर्देश भी दिए। कोर्ट ने एस.पी. (इन्वेस्टिगेशन) डॉ. ज्योति यादव द्वारा दाखिल किए गए एफिडेविट पर भी सवाल उठाया, जिसमें धारा 120बी का कोई उल्लेख नहीं था। अदालत ने इस पूरे घटनाक्रम को गंभीरता से लेते हुए SHO जसकरण सिंह को तथ्यों को छिपाने का दोषी मानते हुए कोर्ट को स्पष्टीकरण देने के आदेश दिए हैं।'}","Fri, 04 Oct 2024 11:34:33 +0000","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=11, tm_min=34, tm_sec=33, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'url': 'https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/10/04/9d2fff52-85ad-4ee3-8402-527744072730_1728034600790.jpg', 'type': 'image/jpeg', 'width': '1000', 'height': '1000'}]",Dainik Bhaskar,Chandigarh,,,,2024-10-04 11:13:12.289294
