title,title_detail,links,link,id,guidislink,summary,summary_detail,published,published_parsed,media_content,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
महाराष्ट्र विधानसभा के डिप्टी स्पीकर मंत्रालय की बिल्डिंग से कूदे:तीसरी मंजिल से छलांग लगाई; नीचे जाल रहने के कारण जान बची,"{'type': 'text/plain', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-2318.xml', 'value': 'महाराष्ट्र विधानसभा के डिप्टी स्पीकर मंत्रालय की बिल्डिंग से कूदे:तीसरी मंजिल से छलांग लगाई; नीचे जाल रहने के कारण जान बची'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bhaskar.com/national/news/maharashtra-mantralaya-building-deputy-speaker-narhari-zirwal-133747688.html'}, {'href': 'https://www.bhaskar.com/national/news/maharashtra-mantralaya-building-deputy-speaker-narhari-zirwal-133747688.html', 'rel': 'alternate', 'type': 'text/html'}]",https://www.bhaskar.com/national/news/maharashtra-mantralaya-building-deputy-speaker-narhari-zirwal-133747688.html,https://www.bhaskar.com/national/news/maharashtra-mantralaya-building-deputy-speaker-narhari-zirwal-133747688.html,False,"महाराष्ट्र विधानसभा के डिप्टी स्पीकर नरहरी झिरवल ने शुक्रवार को मंत्रालय की तीसरी मंजिल से छलांग लगा दी। उनके साथ विधायक हिरामन खोसकर भी कूद पड़े। हालांकि, नीचे जाल रहने के कारण उनकी जान बच गई। दोनों ​​​​​​आदिवासी विधायक जाल में फंस गए थे। मौके पर पहुंची पुलिस ने उन्हें बाहर निकाला। ऊंचाई से गिरने के कारण झिरवल की गर्दन पर चोट आई है। उनका ब्लड प्रेशर भी बढ़ गया है। उनकी जांच के लिए डॉक्टरों की एक टीम मंत्रालय पहुंची। झिरवल धनगर समाज को ST दर्जा देने के खिलाफ
झिरवल उपमुख्यमंत्री अजीत पवार की NCP गुट के विधायक हैं। वे धनगर समाज को ST का दर्जा देने की मांग पर सरकार के विचार करने के फैसले का विरोध कर रहे हैं। जबकि, झिरवल खुद शिंदे सरकार का हिस्सा हैं इस मामले को लेकर झिरवल और अन्य आदिवासी विधायकों ने शुक्रवार, 4 अक्टूबर को मुख्यमंत्री एकनाथ शिंदे से मुलाकात की थी। हालांकि, जब बात नहीं बनी तो उन्होंने मंत्रालय की तीसरी मंजिल से छलांग लगा दी। झिरवल और खोसकर ने आदिवासी समुदाय के समर्थन में नारे भी लगाए। घटना के बाद मंत्रालय में कामकाज ठप पड़ गया। झिरवल ने CM से मुलाकात से पहले कहा था- प्लान बी तैयार है
नरहरि झिरवल ने मुख्यमंत्री शिंदे ​​​​​​से मुलाकात से पहले चेतावनी दी थी। उन्होंने कहा था कि CM हमारी बात नहीं सुनेंगे तो हमारे पास प्लान बी तैयार है। झिरवल ने कहा कि हम ST आरक्षण को प्रभावित नहीं होने देना चाहते हैं। इसके बाद एक घंटे के अंदर उन्होंने मंत्रालय की तीसरी मंजिल से छलांग लगाकर अपना गुस्सा जाहिर किया। धनगर कम्युनिटी को OBC का दर्जा, ST रिजर्वेशन की मांग कर रहे
महाराष्ट्र में धनगर समुदाय चरवाहा कम्यूनिटी में आते हैं। उन्हें अभी OBC का दर्जा प्राप्त है। धनगरों को घुमंतू जनजाति (NT) कैटेगरी के तहत शिक्षा और नौकरियों में 3.5% आरक्षण मिलता है। दूसरी ओर, देश के अन्य हिस्सों में धंनगड़, जिन्हें ओरांव, धनका और डोम के नाम से भी जाना जाता है। उन्हें अनुसूचित जनजाति (ST) का दर्जा प्राप्त है। धनगर समुदाय मध्य प्रदेश, बिहार, तेलंगाना, गोवा और कर्नाटक में फैला हुआ है। महाराष्ट्र का धनगर समुदाय सालों से दावा करता रहा है कि धनगड़ और धनगर एक ही हैं। सिर्फ स्पेलिंग का फर्क हैं। वे खुद को अनुसूचित जनजाति (ST) में शामिल करने और 7% आरक्षण देने की मांग कर रहे हैं। महाराष्ट्र में धनगर समुदाय की आबादी लगभग 1.5 करोड़ है, जो राज्य की कुल आबादी का लगभग 13% है। धनगर समुदाय के लोग मराठों के बाद महाराष्ट्र का दूसरा सबसे बड़ा समुदाय होने का दावा करते हैं। पश्चिमी महाराष्ट्र में 25-30 विधानसभा सीटों पर उनका प्रभाव है। फडणवीस ने 2013 में ST रिजर्वेशन देने का वादा किया था
महाराष्ट्र में धनगर आरक्षण की मांग का मुद्दा आजादी के बाद से कई बार उठा। मामला अदालत तक पहुंचा। सुप्रीम कोर्ट और बॉम्बे हाई कोर्ट ने इस मामले में धनगर समुदाय की याचिकाओं को खारिज कर दिया था। राज्य में 2013 में सबसे बड़ा धनगर आंदोलन देखा गया। तब विपक्ष के नेता और मौजूदा डिप्टी सीएम देवेंद्र फडणवीस बारामती में प्रदर्शनकारियों से लिखित में वादा किया था कि अगर वे सत्ता में आए तो पहली कैबिनेट बैठक में धनगर आरक्षण को मंजूरी दे देंगे। समुदाय का कहना है कि उस साल उन्होंने भाजपा-शिवसेना सरकार को वोट दिया था, लेकिन सत्ता में आने के बाद उन्होंने अपना वादा पूरा नहीं किया। कुछ हफ्ते पहले, धनगर समुदाय के एक प्रतिनिधिमंडल ने मुख्यमंत्री एकनाथ शिंदे से मुलाकात की थी। तब सीएम ने कहा था कि राज्य सरकार आरक्षण को लेकर दूसरे समुदायों को नाराज किए बिना धनगरों की मांगों पर विचार करेगी। मंत्री शंभुराज देसाई ने कहा था कि सरकार धनगरों को ST का दर्जा देने के लिए एक सरकारी प्रस्ताव जारी करने पर विचार करेगी। तब से, आदिवासी समुदाय ने इसका विरोध कर रहे हैं। महाराष्ट्र में आरक्षण को लेकर विवाद से जुड़ी ये खबरें भी पढ़ें... जरांगे ने फडणवीस को मराठा आरक्षण में रुकावट बताया, डिप्टी CM बोले- अगर CM शिंदे ऐसा कहते हैं तो मैं राजनीति छोड़ दूंगा महाराष्ट्र में मनोज जरांगे मराठा आरक्षण की मांग कर रहे हैं। जरांगे लगातार डिप्टी सीएम देवेंद्र फडणवीस पर मराठा आरक्षण देने में रुकावट डालने का आरोप लगा रहे हैं। इसपर फडणवीस ने कहा कि अगर सीएम एकनाथ शिंदे मुझे आरक्षण में बाधा मानते हैं तो मैं राजनीति छोड़ दूंगा। पूरी खबर पढ़ें... शिवसेना विधायक संजय गायकवाड़ पर FIR: कहा था- राहुल गांधी की जीभ काट लाओ; आरक्षण पर कांग्रेस नेता के बयान से नाराजगीट महाराष्ट्र के बुलढाणा से विधायक संजय गायकवाड़ के खिलाफ FIR दर्ज की गई। उन्होंने कहा था कि राहुल गांधी पिछड़ों, आदिवासियों का आरक्षण खत्म करना चाहते हैं। उन्हें इसका इनाम मिलेगा, जो भी राहुल की जीभ काटेगा, उसे 11 लाख रुपए दिए जाएंगे। गायकवाड़ ने अमेरिका में आरक्षण पर राहुल के बयान पर ये प्रतिक्रिया दी थी। पूरी खबर पढ़ें...","{'type': 'text/html', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-2318.xml', 'value': 'महाराष्ट्र विधानसभा के डिप्टी स्पीकर नरहरी झिरवल ने शुक्रवार को मंत्रालय की तीसरी मंजिल से छलांग लगा दी। उनके साथ विधायक हिरामन खोसकर भी कूद पड़े। हालांकि, नीचे जाल रहने के कारण उनकी जान बच गई। दोनों \u200b\u200b\u200b\u200b\u200b\u200bआदिवासी विधायक जाल में फंस गए थे। मौके पर पहुंची पुलिस ने उन्हें बाहर निकाला। ऊंचाई से गिरने के कारण झिरवल की गर्दन पर चोट आई है। उनका ब्लड प्रेशर भी बढ़ गया है। उनकी जांच के लिए डॉक्टरों की एक टीम मंत्रालय पहुंची। झिरवल धनगर समाज को ST दर्जा देने के खिलाफ\nझिरवल उपमुख्यमंत्री अजीत पवार की NCP गुट के विधायक हैं। वे धनगर समाज को ST का दर्जा देने की मांग पर सरकार के विचार करने के फैसले का विरोध कर रहे हैं। जबकि, झिरवल खुद शिंदे सरकार का हिस्सा हैं इस मामले को लेकर झिरवल और अन्य आदिवासी विधायकों ने शुक्रवार, 4 अक्टूबर को मुख्यमंत्री एकनाथ शिंदे से मुलाकात की थी। हालांकि, जब बात नहीं बनी तो उन्होंने मंत्रालय की तीसरी मंजिल से छलांग लगा दी। झिरवल और खोसकर ने आदिवासी समुदाय के समर्थन में नारे भी लगाए। घटना के बाद मंत्रालय में कामकाज ठप पड़ गया। झिरवल ने CM से मुलाकात से पहले कहा था- प्लान बी तैयार है\nनरहरि झिरवल ने मुख्यमंत्री शिंदे \u200b\u200b\u200b\u200b\u200b\u200bसे मुलाकात से पहले चेतावनी दी थी। उन्होंने कहा था कि CM हमारी बात नहीं सुनेंगे तो हमारे पास प्लान बी तैयार है। झिरवल ने कहा कि हम ST आरक्षण को प्रभावित नहीं होने देना चाहते हैं। इसके बाद एक घंटे के अंदर उन्होंने मंत्रालय की तीसरी मंजिल से छलांग लगाकर अपना गुस्सा जाहिर किया। धनगर कम्युनिटी को OBC का दर्जा, ST रिजर्वेशन की मांग कर रहे\nमहाराष्ट्र में धनगर समुदाय चरवाहा कम्यूनिटी में आते हैं। उन्हें अभी OBC का दर्जा प्राप्त है। धनगरों को घुमंतू जनजाति (NT) कैटेगरी के तहत शिक्षा और नौकरियों में 3.5% आरक्षण मिलता है। दूसरी ओर, देश के अन्य हिस्सों में धंनगड़, जिन्हें ओरांव, धनका और डोम के नाम से भी जाना जाता है। उन्हें अनुसूचित जनजाति (ST) का दर्जा प्राप्त है। धनगर समुदाय मध्य प्रदेश, बिहार, तेलंगाना, गोवा और कर्नाटक में फैला हुआ है। महाराष्ट्र का धनगर समुदाय सालों से दावा करता रहा है कि धनगड़ और धनगर एक ही हैं। सिर्फ स्पेलिंग का फर्क हैं। वे खुद को अनुसूचित जनजाति (ST) में शामिल करने और 7% आरक्षण देने की मांग कर रहे हैं। महाराष्ट्र में धनगर समुदाय की आबादी लगभग 1.5 करोड़ है, जो राज्य की कुल आबादी का लगभग 13% है। धनगर समुदाय के लोग मराठों के बाद महाराष्ट्र का दूसरा सबसे बड़ा समुदाय होने का दावा करते हैं। पश्चिमी महाराष्ट्र में 25-30 विधानसभा सीटों पर उनका प्रभाव है। फडणवीस ने 2013 में ST रिजर्वेशन देने का वादा किया था\nमहाराष्ट्र में धनगर आरक्षण की मांग का मुद्दा आजादी के बाद से कई बार उठा। मामला अदालत तक पहुंचा। सुप्रीम कोर्ट और बॉम्बे हाई कोर्ट ने इस मामले में धनगर समुदाय की याचिकाओं को खारिज कर दिया था। राज्य में 2013 में सबसे बड़ा धनगर आंदोलन देखा गया। तब विपक्ष के नेता और मौजूदा डिप्टी सीएम देवेंद्र फडणवीस बारामती में प्रदर्शनकारियों से लिखित में वादा किया था कि अगर वे सत्ता में आए तो पहली कैबिनेट बैठक में धनगर आरक्षण को मंजूरी दे देंगे। समुदाय का कहना है कि उस साल उन्होंने भाजपा-शिवसेना सरकार को वोट दिया था, लेकिन सत्ता में आने के बाद उन्होंने अपना वादा पूरा नहीं किया। कुछ हफ्ते पहले, धनगर समुदाय के एक प्रतिनिधिमंडल ने मुख्यमंत्री एकनाथ शिंदे से मुलाकात की थी। तब सीएम ने कहा था कि राज्य सरकार आरक्षण को लेकर दूसरे समुदायों को नाराज किए बिना धनगरों की मांगों पर विचार करेगी। मंत्री शंभुराज देसाई ने कहा था कि सरकार धनगरों को ST का दर्जा देने के लिए एक सरकारी प्रस्ताव जारी करने पर विचार करेगी। तब से, आदिवासी समुदाय ने इसका विरोध कर रहे हैं। महाराष्ट्र में आरक्षण को लेकर विवाद से जुड़ी ये खबरें भी पढ़ें... जरांगे ने फडणवीस को मराठा आरक्षण में रुकावट बताया, डिप्टी CM बोले- अगर CM शिंदे ऐसा कहते हैं तो मैं राजनीति छोड़ दूंगा महाराष्ट्र में मनोज जरांगे मराठा आरक्षण की मांग कर रहे हैं। जरांगे लगातार डिप्टी सीएम देवेंद्र फडणवीस पर मराठा आरक्षण देने में रुकावट डालने का आरोप लगा रहे हैं। इसपर फडणवीस ने कहा कि अगर सीएम एकनाथ शिंदे मुझे आरक्षण में बाधा मानते हैं तो मैं राजनीति छोड़ दूंगा। पूरी खबर पढ़ें... शिवसेना विधायक संजय गायकवाड़ पर FIR: कहा था- राहुल गांधी की जीभ काट लाओ; आरक्षण पर कांग्रेस नेता के बयान से नाराजगीट महाराष्ट्र के बुलढाणा से विधायक संजय गायकवाड़ के खिलाफ FIR दर्ज की गई। उन्होंने कहा था कि राहुल गांधी पिछड़ों, आदिवासियों का आरक्षण खत्म करना चाहते हैं। उन्हें इसका इनाम मिलेगा, जो भी राहुल की जीभ काटेगा, उसे 11 लाख रुपए दिए जाएंगे। गायकवाड़ ने अमेरिका में आरक्षण पर राहुल के बयान पर ये प्रतिक्रिया दी थी। पूरी खबर पढ़ें...'}","Fri, 04 Oct 2024 07:40:03 +0000","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=7, tm_min=40, tm_sec=3, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'url': 'https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/10/04/gifs24_1728027324.gif', 'type': 'image/gif', 'width': '1000', 'height': '1000'}]",Dainik Bhaskar,Maharashtra,,,,2024-10-04 11:13:10.539244
काशी के मंदिरों से क्यों हटाई गईं साईं प्रतिमा:जितेंद्रानंद ने कहा-यह षड्यंत्र; वाराणसी के संत बोले- अलग बने मंदिर,"{'type': 'text/plain', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-2318.xml', 'value': 'काशी के मंदिरों से क्यों हटाई गईं साईं प्रतिमा:जितेंद्रानंद ने कहा-यह षड्यंत्र; वाराणसी के संत बोले- अलग बने मंदिर'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bhaskar.com/local/uttar-pradesh/varanasi/news/varanasi-news-mahants-of-kashi-temples-on-the-idol-of-sai-133747234.html'}, {'href': 'https://www.bhaskar.com/local/uttar-pradesh/varanasi/news/varanasi-news-mahants-of-kashi-temples-on-the-idol-of-sai-133747234.html', 'rel': 'alternate', 'type': 'text/html'}]",https://www.bhaskar.com/local/uttar-pradesh/varanasi/news/varanasi-news-mahants-of-kashi-temples-on-the-idol-of-sai-133747234.html,https://www.bhaskar.com/local/uttar-pradesh/varanasi/news/varanasi-news-mahants-of-kashi-temples-on-the-idol-of-sai-133747234.html,False,"साईं बाबा की मूर्तियों को मंदिरों में 4 से 10 साल पहले स्थापित कराया गया था। जिन्होंने यह काम कराया, क्या उन्हें नहीं पता था कि आज आस्था-अनास्था में बदल गई, तो मूर्ति हटवाई जा सकती है। क्या ये महाराष्ट्र चुनाव को देखते हुए हो रहा है? ये षड्यंत्र तो नहीं। यह बात वाराणसी में अखिल भारतीय संत समिति के महामंत्री स्वामी जितेंद्रानंद सरस्वती ने कही। काशी में इन दिनों मंदिरों से साईं बाबा की मूर्ति हटाने पर विवाद खड़ा हो गया है। सनातन रक्षक दल के अध्यक्ष अजय शर्मा ने साईं बाबा की मूर्तियों को देवालयों से निकालना शुरू किया। शिरडी साईं ट्रस्ट ने महाराष्ट्र सरकार से यूपी सरकार से बात करके इस पर रोक लगाने की मांग की। चौक क्षेत्र स्थित हनुमान मंदिर के पुजारी की तहरीर पर गुरुवार को पुलिस ने अजय शर्मा को गिरफ्तार कर जेल भेज दिया। इसके कुछ देर बाद साईं बाबा मंदिर के पदाधिकारियों ने सिगरा थाने में एक और केस दर्ज कराया। दैनिक भास्कर ने मंदिरों के पुजारी, नेता और आमजन से साईं बाबा को लेकर उनकी राय जानी। पढ़िए पूरी रिपोर्ट... सबसे पहले जानिए काशी के मंदिरों के महंतों ने क्या कहा हमारे सनातन धर्म या पौराणिक ग्रंथों में उल्लेख नहीं 
माता विशालाक्षी देवी मंदिर के महंत राजनाथ तिवारी ने कहा- हमारे सनातन धर्म या किसी भी पौराणिक ग्रन्थ में साईं बाबा का उल्लेख नहीं है। वो एक साईं फकीर हो सकते हैं पर भगवान नहीं। अजय शर्मा ठीक कर रहे थे। साईं बाबा की मूर्ति देवालयों में नहीं होनी चाहिए। यह शास्त्र सम्मत नहीं 
राजनाथ तिवारी ने कहा- साईं बाबा का मंदिर बनाइए या उन्हें घर में स्थापित करके आप पूजा कीजिए। मुझे उन मंदिरों के महंतों पर दुःख हो रहा है जिन्होंने साईं बाबा की मूर्ति के लिए देवालयों में स्थान दिया। यह शास्त्र सम्मत नहीं है। महंतों से आग्रह हटवा लें मूर्तियां 
मंगला गौरी मंदिर के पुजारी नरेंद्र कुमार पांडेय ने कहा- काशी खंड में सनातन मंदिर और परंपरागत मंदिर हैं, जहां पर भगवान शंकर स्वयं प्रकट हुए। साईं भगवान नहीं हैं। हमारे यहां पंचदेव पूजन का विधान है। उनकी प्राण प्रतिष्ठा होती है। साईं बाबा के मंदिर में किस प्रकार से प्राण प्रतिष्ठा हुई कि हमारे मंदिरों में पूजा हो रही है। हमारे मंदिरों के महंतों से आग्रह है कि उस प्रतिमा को वहां से हटा दें। अलग से बनाएं साईं बाबा का मंदिर 
पुजारी नरेंद्र कुमार ने कहा- उनसे हमारा कोई विरोध नहीं है। वो भव्य मंदिर बनाएं और उसमें भव्य मूर्ति की स्थापना करवाएं, लेकिन साईं बाबा मंदिर का निर्माण मंदिर के कैम्पस में नहीं हो सकता। यहां सनातन का विरोध है। विरोध में उतरे स्वामी जितेंद्रानंद सरस्वती और अन्य ... किसी के अपमान का अधिकारी नहीं देता शास्त्र 
अखिल भारतीय संत समिति के महामंत्री स्वामी जितेंद्रानंद सरस्वती ने कहा- हमें किसी का अपमान करने का अधिकार नहीं है। इन मूर्तियों को मंदिरों में चार से 10 साल पहले जिन्होंने रखवाया, क्या उन्हें नहीं पता था। आज आस्था अनास्था में बदल गई, तो उसे हटवाया जा रहा है। ये महाराष्ट्र चुनाव को देखते हुए षड्यंत्र तो नहीं है। मूर्तियां हटाने का विरोध 
हम साईं को भगवान नहीं मानते पर वो एक सम्प्रदाय की आस्था का केंद्र हैं। गुरु हैं तो उन्हें इस तरह फेंकना निंदनीय है। वो संत हैं और किसी भी संत के साथ ऐसा करना अपमान है। ऐसे में अखिल भारतीय संत समिति इसका विरोध करती है। सनातन रक्षक दल का यह कृत्य निंदनीय 
समाजवादी पार्टी लोहिया प्रकोष्ठ के जिला उपाध्यक्ष संदीप मिश्रा ने कहा- कुछ असामाजिक तत्व हैं। जो ऐसी हरकतें कर रहे हैं। जबकि साईं बाबा ने हमेशा सच बोलने को कहा। साईं बाबा ने हमेशा कहा- सबका मालिक है। कभी भी किसी का प्रचार नहीं किया। सारे धार्मिक लोग उनके सामने हाथ जोड़ते हैं। अब जानते हैं दारानगर साईं मंदिर के पुजारी ने क्या कहा... दारानगर स्थित साईं मंदिर के पुजारी और भक्तों ने कहा- मंदिर से मूर्तियां हटाना गलत है। मंदिरों से हटाना गलत 
मंदिर के पुजारी संदीप कुमार शोभित ने कहा - यह साईं मंदिर 15 साल पुराना है। पहले बहुत लोग आते थे, लेकिन विरोध के चलते भक्तों की संख्या घटी है। साईं बाबा का मंदिर जैसे यहां है, वैसे ही बनना चाहिए। मंदिरों में उनकी मूर्ति नहीं होनी चाहिए। वहीं साईं बाबा के भक्त मकुन्द लाल गुप्ता ने कहा- साईं बाबा की मूर्तियां हटाना गलत है। जहां स्थापना हुई है, वहां मूर्ति होनी चाहिए। ये भी पढ़ें... यूपी-महाराष्ट्र में महामंडलेश्वर नरसिंहानंद पर FIR:गाजियाबाद में पैगंबर मोहम्मद साहब पर दिया विवादित बयान, AIMIM ने कहा- गिरफ्तारी हो यूपी के गाजियाबाद और मुंबई में श्रीपंच दशनाम जूना अखाड़ा के महामंडलेश्वर यति नरसिंहानंद गिरि के खिलाफ FIR दर्ज की है। 6 दिन पहले महामंडलेश्वर ने गाजियाबाद में एक कार्यक्रम में पैगंबर मोहम्मद साहब को लेकर विवादित बयान दिया था।
(पढ़ें पूरी खबर)","{'type': 'text/html', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-2318.xml', 'value': 'साईं बाबा की मूर्तियों को मंदिरों में 4 से 10 साल पहले स्थापित कराया गया था। जिन्होंने यह काम कराया, क्या उन्हें नहीं पता था कि आज आस्था-अनास्था में बदल गई, तो मूर्ति हटवाई जा सकती है। क्या ये महाराष्ट्र चुनाव को देखते हुए हो रहा है? ये षड्यंत्र तो नहीं। यह बात वाराणसी में अखिल भारतीय संत समिति के महामंत्री स्वामी जितेंद्रानंद सरस्वती ने कही। काशी में इन दिनों मंदिरों से साईं बाबा की मूर्ति हटाने पर विवाद खड़ा हो गया है। सनातन रक्षक दल के अध्यक्ष अजय शर्मा ने साईं बाबा की मूर्तियों को देवालयों से निकालना शुरू किया। शिरडी साईं ट्रस्ट ने महाराष्ट्र सरकार से यूपी सरकार से बात करके इस पर रोक लगाने की मांग की। चौक क्षेत्र स्थित हनुमान मंदिर के पुजारी की तहरीर पर गुरुवार को पुलिस ने अजय शर्मा को गिरफ्तार कर जेल भेज दिया। इसके कुछ देर बाद साईं बाबा मंदिर के पदाधिकारियों ने सिगरा थाने में एक और केस दर्ज कराया। दैनिक भास्कर ने मंदिरों के पुजारी, नेता और आमजन से साईं बाबा को लेकर उनकी राय जानी। पढ़िए पूरी रिपोर्ट... सबसे पहले जानिए काशी के मंदिरों के महंतों ने क्या कहा हमारे सनातन धर्म या पौराणिक ग्रंथों में उल्लेख नहीं \nमाता विशालाक्षी देवी मंदिर के महंत राजनाथ तिवारी ने कहा- हमारे सनातन धर्म या किसी भी पौराणिक ग्रन्थ में साईं बाबा का उल्लेख नहीं है। वो एक साईं फकीर हो सकते हैं पर भगवान नहीं। अजय शर्मा ठीक कर रहे थे। साईं बाबा की मूर्ति देवालयों में नहीं होनी चाहिए। यह शास्त्र सम्मत नहीं \nराजनाथ तिवारी ने कहा- साईं बाबा का मंदिर बनाइए या उन्हें घर में स्थापित करके आप पूजा कीजिए। मुझे उन मंदिरों के महंतों पर दुःख हो रहा है जिन्होंने साईं बाबा की मूर्ति के लिए देवालयों में स्थान दिया। यह शास्त्र सम्मत नहीं है। महंतों से आग्रह हटवा लें मूर्तियां \nमंगला गौरी मंदिर के पुजारी नरेंद्र कुमार पांडेय ने कहा- काशी खंड में सनातन मंदिर और परंपरागत मंदिर हैं, जहां पर भगवान शंकर स्वयं प्रकट हुए। साईं भगवान नहीं हैं। हमारे यहां पंचदेव पूजन का विधान है। उनकी प्राण प्रतिष्ठा होती है। साईं बाबा के मंदिर में किस प्रकार से प्राण प्रतिष्ठा हुई कि हमारे मंदिरों में पूजा हो रही है। हमारे मंदिरों के महंतों से आग्रह है कि उस प्रतिमा को वहां से हटा दें। अलग से बनाएं साईं बाबा का मंदिर \nपुजारी नरेंद्र कुमार ने कहा- उनसे हमारा कोई विरोध नहीं है। वो भव्य मंदिर बनाएं और उसमें भव्य मूर्ति की स्थापना करवाएं, लेकिन साईं बाबा मंदिर का निर्माण मंदिर के कैम्पस में नहीं हो सकता। यहां सनातन का विरोध है। विरोध में उतरे स्वामी जितेंद्रानंद सरस्वती और अन्य ... किसी के अपमान का अधिकारी नहीं देता शास्त्र \nअखिल भारतीय संत समिति के महामंत्री स्वामी जितेंद्रानंद सरस्वती ने कहा- हमें किसी का अपमान करने का अधिकार नहीं है। इन मूर्तियों को मंदिरों में चार से 10 साल पहले जिन्होंने रखवाया, क्या उन्हें नहीं पता था। आज आस्था अनास्था में बदल गई, तो उसे हटवाया जा रहा है। ये महाराष्ट्र चुनाव को देखते हुए षड्यंत्र तो नहीं है। मूर्तियां हटाने का विरोध \nहम साईं को भगवान नहीं मानते पर वो एक सम्प्रदाय की आस्था का केंद्र हैं। गुरु हैं तो उन्हें इस तरह फेंकना निंदनीय है। वो संत हैं और किसी भी संत के साथ ऐसा करना अपमान है। ऐसे में अखिल भारतीय संत समिति इसका विरोध करती है। सनातन रक्षक दल का यह कृत्य निंदनीय \nसमाजवादी पार्टी लोहिया प्रकोष्ठ के जिला उपाध्यक्ष संदीप मिश्रा ने कहा- कुछ असामाजिक तत्व हैं। जो ऐसी हरकतें कर रहे हैं। जबकि साईं बाबा ने हमेशा सच बोलने को कहा। साईं बाबा ने हमेशा कहा- सबका मालिक है। कभी भी किसी का प्रचार नहीं किया। सारे धार्मिक लोग उनके सामने हाथ जोड़ते हैं। अब जानते हैं दारानगर साईं मंदिर के पुजारी ने क्या कहा... दारानगर स्थित साईं मंदिर के पुजारी और भक्तों ने कहा- मंदिर से मूर्तियां हटाना गलत है। मंदिरों से हटाना गलत \nमंदिर के पुजारी संदीप कुमार शोभित ने कहा - यह साईं मंदिर 15 साल पुराना है। पहले बहुत लोग आते थे, लेकिन विरोध के चलते भक्तों की संख्या घटी है। साईं बाबा का मंदिर जैसे यहां है, वैसे ही बनना चाहिए। मंदिरों में उनकी मूर्ति नहीं होनी चाहिए। वहीं साईं बाबा के भक्त मकुन्द लाल गुप्ता ने कहा- साईं बाबा की मूर्तियां हटाना गलत है। जहां स्थापना हुई है, वहां मूर्ति होनी चाहिए। ये भी पढ़ें... यूपी-महाराष्ट्र में महामंडलेश्वर नरसिंहानंद पर FIR:गाजियाबाद में पैगंबर मोहम्मद साहब पर दिया विवादित बयान, AIMIM ने कहा- गिरफ्तारी हो यूपी के गाजियाबाद और मुंबई में श्रीपंच दशनाम जूना अखाड़ा के महामंडलेश्वर यति नरसिंहानंद गिरि के खिलाफ FIR दर्ज की है। 6 दिन पहले महामंडलेश्वर ने गाजियाबाद में एक कार्यक्रम में पैगंबर मोहम्मद साहब को लेकर विवादित बयान दिया था।\n(पढ़ें पूरी खबर)'}","Fri, 04 Oct 2024 05:06:00 +0000","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=5, tm_min=6, tm_sec=0, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'url': 'https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/10/04/comp-76_1727981123.gif', 'type': 'image/gif', 'width': '1000', 'height': '1000'}]",Dainik Bhaskar,Maharashtra,,,,2024-10-04 11:13:10.539244
