title,title_detail,summary,summary_detail,links,link,id,guidislink,authors,author,author_detail,published,published_parsed,media_content,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
"Tragic Shooting in Amethi: Dalit teacher, family murdered after filing FIR over threats","{'type': 'text/plain', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': 'Tragic Shooting in Amethi: Dalit teacher, family murdered after filing FIR over threats'}","<div><img src=""https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/10/01.jpg?fit=1200%2C628&amp;ssl=1"" style=""width: 100%;"" /><div>In a tragic incident in Amethi, Uttar Pradesh, a Dalit school teacher, his wife, and their two daughters were brutally shot dead at their rented accommodation. This horrific event unfolded on October 2, 2024, just over a month after the family had lodged a First Information Report (FIR) against a man who had threatened them,…</div></div>","{'type': 'text/html', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': '<div><img src=""https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/10/01.jpg?fit=1200%2C628&amp;ssl=1"" style=""width: 100%;"" /><div>In a tragic incident in Amethi, Uttar Pradesh, a Dalit school teacher, his wife, and their two daughters were brutally shot dead at their rented accommodation. This horrific event unfolded on October 2, 2024, just over a month after the family had lodged a First Information Report (FIR) against a man who had threatened them,…</div></div>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://cjp.org.in/tragic-shooting-in-amethi-dalit-teacher-family-murdered-after-filing-fir-over-threats/'}]",https://cjp.org.in/tragic-shooting-in-amethi-dalit-teacher-family-murdered-after-filing-fir-over-threats/,79a158c7bbb5d96398440a16b18adb0e,False,[{'name': 'zahid maniyar'}],zahid maniyar,{'name': 'zahid maniyar'},"Fri, 04 Oct 2024 10:40:56 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=10, tm_min=40, tm_sec=56, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'medium': 'image', 'url': 'https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/10/01.jpg?fit=1200%2C628&ssl=1'}]",Google News,Dalit Violence,,,,2024-10-04 11:12:56.298149
"Tragic shooting in Amethi, UP: Dalit teacher and family murdered, investigation reveals family had filed FIR two months ago after facing threats","{'type': 'text/plain', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': 'Tragic shooting in Amethi, UP: Dalit teacher and family murdered, investigation reveals family had filed FIR two months ago after facing threats'}","<div><img src=""https://sabrangindia.in/wp-content/uploads/2024/10/Amethi-murder.webp"" style=""width: 100%;"" /><div>The shocking incident highlights a troubling rise in violence and lawlessness in Uttar Pradesh, prompting demands for accountability and law-and-order</div></div>","{'type': 'text/html', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': '<div><img src=""https://sabrangindia.in/wp-content/uploads/2024/10/Amethi-murder.webp"" style=""width: 100%;"" /><div>The shocking incident highlights a troubling rise in violence and lawlessness in Uttar Pradesh, prompting demands for accountability and law-and-order</div></div>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://sabrangindia.in/tragic-shooting-in-amethi-up-dalit-teacher-and-family-murdered-investigation-reveals-family-had-filed-fir-two-months-ago-after-facing-threats/'}]",https://sabrangindia.in/tragic-shooting-in-amethi-up-dalit-teacher-and-family-murdered-investigation-reveals-family-had-filed-fir-two-months-ago-after-facing-threats/,6fd99065dd79ea2ccaea812572517d94,False,[{'name': 'SabrangIndia'}],SabrangIndia,{'name': 'SabrangIndia'},"Fri, 04 Oct 2024 10:28:20 GMT","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=10, tm_min=28, tm_sec=20, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'medium': 'image', 'url': 'https://sabrangindia.in/wp-content/uploads/2024/10/Amethi-murder.webp'}]",Google News,Dalit Violence,,,,2024-10-04 11:12:56.298149
"BJP-ruled states account for highest Dalit violence cases, UP on top, MP records highest reported crimes against STs","{'type': 'text/plain', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': 'BJP-ruled states account for highest Dalit violence cases, UP on top, MP records highest reported crimes against STs'}","<div><img src=""https://sabrangindia.in/wp-content/uploads/2024/09/dalit-atrocities.jpg"" style=""width: 100%;"" /><div>Uttar Pradesh with 12,287 reported cases, followed by Rajasthan with 8,651 and Madhya Pradesh with 7,732 cases of atrocities against Dalits in year 2022 show a disturbing trend, a report released by the Ministry of Social Justice and Empowerment reveals; Rajasthan was till December 2023 ruled by Ashok Gehlot led Congress</div></div>","{'type': 'text/html', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': '<div><img src=""https://sabrangindia.in/wp-content/uploads/2024/09/dalit-atrocities.jpg"" style=""width: 100%;"" /><div>Uttar Pradesh with 12,287 reported cases, followed by Rajasthan with 8,651 and Madhya Pradesh with 7,732 cases of atrocities against Dalits in year 2022 show a disturbing trend, a report released by the Ministry of Social Justice and Empowerment reveals; Rajasthan was till December 2023 ruled by Ashok Gehlot led Congress</div></div>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://sabrangindia.in/bjp-ruled-states-account-for-highest-dalit-violence-cases-up-on-top-mp-records-highest-reported-crimes-against-sts/'}]",https://sabrangindia.in/bjp-ruled-states-account-for-highest-dalit-violence-cases-up-on-top-mp-records-highest-reported-crimes-against-sts/,61361ce490ee60fd7b9e498ba02cd00c,False,[{'name': 'SabrangIndia'}],SabrangIndia,{'name': 'SabrangIndia'},"Wed, 25 Sep 2024 05:11:15 GMT","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=5, tm_min=11, tm_sec=15, tm_wday=2, tm_yday=269, tm_isdst=0)","[{'medium': 'image', 'url': 'https://sabrangindia.in/wp-content/uploads/2024/09/dalit-atrocities.jpg'}]",Google News,Dalit Violence,,,,2024-10-04 11:12:56.298149
"UP leads in cases of atrocities against Dalits, Madhya Pradesh tops in most crimes reported against ST’s","{'type': 'text/plain', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': 'UP leads in cases of atrocities against Dalits, Madhya Pradesh tops in most crimes reported against ST’s'}","<div><img src=""https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/09/UP-leads-in-cases-of-atrocities-against-Dalits-CJP-feature-image.jpg?fit=1200%2C628&amp;ssl=1"" style=""width: 100%;"" /><div>States ruled by the Bharatiya Janata Party (BJP) top in high number of cases registered under the Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Act, 1989, (PoA Act) in the year 2022. A union government report published by the Ministry of Social Justice and Empowerment reveals that Uttar Pradesh, reported a staggering 12,287…</div></div>","{'type': 'text/html', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': '<div><img src=""https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/09/UP-leads-in-cases-of-atrocities-against-Dalits-CJP-feature-image.jpg?fit=1200%2C628&amp;ssl=1"" style=""width: 100%;"" /><div>States ruled by the Bharatiya Janata Party (BJP) top in high number of cases registered under the Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Act, 1989, (PoA Act) in the year 2022. A union government report published by the Ministry of Social Justice and Empowerment reveals that Uttar Pradesh, reported a staggering 12,287…</div></div>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://cjp.org.in/up-leads-in-cases-of-atrocities-against-dalits-madhya-pradesh-tops-in-most-crimes-reported-against-sts/'}]",https://cjp.org.in/up-leads-in-cases-of-atrocities-against-dalits-madhya-pradesh-tops-in-most-crimes-reported-against-sts/,eafb264c24b3c2eb911e5f72127ec4f1,False,[{'name': 'zahid maniyar'}],zahid maniyar,{'name': 'zahid maniyar'},"Tue, 24 Sep 2024 12:36:09 GMT","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=12, tm_min=36, tm_sec=9, tm_wday=1, tm_yday=268, tm_isdst=0)","[{'medium': 'image', 'url': 'https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/09/UP-leads-in-cases-of-atrocities-against-Dalits-CJP-feature-image.jpg?fit=1200%2C628&ssl=1'}]",Google News,Dalit Violence,,,,2024-10-04 11:12:56.298149
"U.P., Rajasthan, M.P. top in cases of atrocities on Dalits: report","{'type': 'text/plain', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': 'U.P., Rajasthan, M.P. top in cases of atrocities on Dalits: report'}","<div><img src=""https://th-i.thgim.com/public/news/cities/Delhi/r25zwv/article32764517.ece/alternates/LANDSCAPE_1200/DE03LEAD"" style=""width: 100%;"" /><div>Uttar Pradesh, Rajasthan and Madhya Pradesh record highest number of anti-Dalit crimes; Madhya Pradesh, Rajasthan and Odisha record highest number of cases of atrocities against STs</div></div>","{'type': 'text/html', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': '<div><img src=""https://th-i.thgim.com/public/news/cities/Delhi/r25zwv/article32764517.ece/alternates/LANDSCAPE_1200/DE03LEAD"" style=""width: 100%;"" /><div>Uttar Pradesh, Rajasthan and Madhya Pradesh record highest number of anti-Dalit crimes; Madhya Pradesh, Rajasthan and Odisha record highest number of cases of atrocities against STs</div></div>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/up-rajasthan-mp-top-in-cases-of-atrocities-on-dalits-report/article68670887.ece'}]",https://www.thehindu.com/news/national/up-rajasthan-mp-top-in-cases-of-atrocities-on-dalits-report/article68670887.ece,9e5b308a0674365607f5f8c00864c99b,False,[{'name': 'The Hindu'}],The Hindu,{'name': 'The Hindu'},"Sun, 22 Sep 2024 21:36:44 GMT","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=22, tm_hour=21, tm_min=36, tm_sec=44, tm_wday=6, tm_yday=266, tm_isdst=0)","[{'medium': 'image', 'url': 'https://th-i.thgim.com/public/news/cities/Delhi/r25zwv/article32764517.ece/alternates/LANDSCAPE_1200/DE03LEAD'}]",Google News,Dalit Violence,,,,2024-10-04 11:12:56.298149
"Nawada: Houses set ablaze in Krishnanagar, oppositions slams NDA Govt for ""atrocities on Dalits""","{'type': 'text/plain', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': 'Nawada: Houses set ablaze in Krishnanagar, oppositions slams NDA Govt for ""atrocities on Dalits""'}","<div><img src=""https://d3lzcn6mbbadaf.cloudfront.net/media/details/ANI-20240919032712.jpg"" style=""width: 100%;"" /><div>In a shocking incident, 20-25 houses were set ablaze by unidentified miscreants in the Mufassil Police Station area in Krishnanagar in Bihar's Nawada.</div></div>","{'type': 'text/html', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': '<div><img src=""https://d3lzcn6mbbadaf.cloudfront.net/media/details/ANI-20240919032712.jpg"" style=""width: 100%;"" /><div>In a shocking incident, 20-25 houses were set ablaze by unidentified miscreants in the Mufassil Police Station area in Krishnanagar in Bihar\'s Nawada.</div></div>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.aninews.in/news/national/general-news/nawada-houses-set-ablaze-in-krishnanagar-oppositions-slams-nda-govt-for-atrocities-on-dalits20240919085721/'}]",https://www.aninews.in/news/national/general-news/nawada-houses-set-ablaze-in-krishnanagar-oppositions-slams-nda-govt-for-atrocities-on-dalits20240919085721/,88078bde40d8e09175ceb309007511a1,False,[{'name': 'ANI News'}],ANI News,{'name': 'ANI News'},"Thu, 19 Sep 2024 03:27:21 GMT","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=19, tm_hour=3, tm_min=27, tm_sec=21, tm_wday=3, tm_yday=263, tm_isdst=0)","[{'medium': 'image', 'url': 'https://d3lzcn6mbbadaf.cloudfront.net/media/details/ANI-20240919032712.jpg'}]",Google News,Dalit Violence,,,,2024-10-04 11:12:56.298149
Caste-Based violence shakes Karnataka and Andhra Pradesh in alarming incidents,"{'type': 'text/plain', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': 'Caste-Based violence shakes Karnataka and Andhra Pradesh in alarming incidents'}","<div><img src=""https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/09/Dalit-1.jpg?fit=1200%2C628&amp;ssl=1"" style=""width: 100%;"" /><div>Background On August 13, a village in North Karnataka’s Yadgir district has announced social boycott on 50 Dalit families after a 15-year-old minor Dalit girl’s parents refused to withdraws a POCSO complaint against a 23-year-old boy belongs to upper caste. The complaint was lodged in August month after a minor girl was allegedly impregnated by…</div></div>","{'type': 'text/html', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': '<div><img src=""https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/09/Dalit-1.jpg?fit=1200%2C628&amp;ssl=1"" style=""width: 100%;"" /><div>Background On August 13, a village in North Karnataka’s Yadgir district has announced social boycott on 50 Dalit families after a 15-year-old minor Dalit girl’s parents refused to withdraws a POCSO complaint against a 23-year-old boy belongs to upper caste. The complaint was lodged in August month after a minor girl was allegedly impregnated by…</div></div>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://cjp.org.in/caste-based-violence-shakes-karnataka-and-andhra-pradesh-in-alarming-incidents/'}]",https://cjp.org.in/caste-based-violence-shakes-karnataka-and-andhra-pradesh-in-alarming-incidents/,16840f6e1603b00426ee850b0ad31666,False,[{'name': 'zahid maniyar'}],zahid maniyar,{'name': 'zahid maniyar'},"Wed, 18 Sep 2024 07:11:15 GMT","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=18, tm_hour=7, tm_min=11, tm_sec=15, tm_wday=2, tm_yday=262, tm_isdst=0)","[{'medium': 'image', 'url': 'https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/09/Dalit-1.jpg?fit=1200%2C628&ssl=1'}]",Google News,Dalit Violence,,,,2024-10-04 11:12:56.298149
Targeted Abuse: Dalit youth and scholar face brutal attacks in caste-based violence,"{'type': 'text/plain', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': 'Targeted Abuse: Dalit youth and scholar face brutal attacks in caste-based violence'}","<div><img src=""https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/06/Dalit.jpg?fit=1200%2C628&amp;ssl=1"" style=""width: 100%;"" /><div>In a shocking series of incidents, India’s entrenched caste system has reared its ugly head, targeting Dalit individuals for allegedly practicing Buddhism, pursuing education, and simply attending school. A Dalit youth was attacked and barred from a temple for embracing Buddhism, while a BHU scholar faced vile casteist abuse. In a separate incident, a school…</div></div>","{'type': 'text/html', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': '<div><img src=""https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/06/Dalit.jpg?fit=1200%2C628&amp;ssl=1"" style=""width: 100%;"" /><div>In a shocking series of incidents, India’s entrenched caste system has reared its ugly head, targeting Dalit individuals for allegedly practicing Buddhism, pursuing education, and simply attending school. A Dalit youth was attacked and barred from a temple for embracing Buddhism, while a BHU scholar faced vile casteist abuse. In a separate incident, a school…</div></div>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://cjp.org.in/targeted-abuse-dalit-youth-and-scholar-face-brutal-attacks-in-caste-based-violence/'}]",https://cjp.org.in/targeted-abuse-dalit-youth-and-scholar-face-brutal-attacks-in-caste-based-violence/,2f81b1555fe18c2b2b5317c86599145e,False,[{'name': 'zahid maniyar'}],zahid maniyar,{'name': 'zahid maniyar'},"Wed, 11 Sep 2024 07:59:46 GMT","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=11, tm_hour=7, tm_min=59, tm_sec=46, tm_wday=2, tm_yday=255, tm_isdst=0)","[{'medium': 'image', 'url': 'https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/06/Dalit.jpg?fit=1200%2C628&ssl=1'}]",Google News,Dalit Violence,,,,2024-10-04 11:12:56.298149
The invisible cost of violence,"{'type': 'text/plain', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': 'The invisible cost of violence'}","<div><img src=""https://th-i.thgim.com/public/incoming/wookwf/article68611087.ece/alternates/LANDSCAPE_1200/SPOTLIGHT%20BHAGAUTIPUR%20FRRUKHABAD%202024_31_08_2.jpg"" style=""width: 100%;"" /><div>Article discusses tragic deaths of minor Dalit girls in Uttar Pradesh, sparking national outrage and political involvement, with disturbing details.</div></div>","{'type': 'text/html', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': '<div><img src=""https://th-i.thgim.com/public/incoming/wookwf/article68611087.ece/alternates/LANDSCAPE_1200/SPOTLIGHT%20BHAGAUTIPUR%20FRRUKHABAD%202024_31_08_2.jpg"" style=""width: 100%;"" /><div>Article discusses tragic deaths of minor Dalit girls in Uttar Pradesh, sparking national outrage and political involvement, with disturbing details.</div></div>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/uttar-pradesh/the-invisible-cost-of-violence/article68611081.ece'}]",https://www.thehindu.com/news/national/uttar-pradesh/the-invisible-cost-of-violence/article68611081.ece,9f482821f1b3cf598e6f677920d5a44a,False,[{'name': 'The Hindu'}],The Hindu,{'name': 'The Hindu'},"Sun, 08 Sep 2024 14:19:35 GMT","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=8, tm_hour=14, tm_min=19, tm_sec=35, tm_wday=6, tm_yday=252, tm_isdst=0)","[{'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/wookwf/article68611087.ece/alternates/LANDSCAPE_1200/SPOTLIGHT%20BHAGAUTIPUR%20FRRUKHABAD%202024_31_08_2.jpg'}]",Google News,Dalit Violence,,,,2024-10-04 11:12:56.298149
The alarming rise of anti-Dalit violence and discrimination in India: A series of gruesome incidents since July 2024,"{'type': 'text/plain', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': 'The alarming rise of anti-Dalit violence and discrimination in India: A series of gruesome incidents since July 2024'}","<div><img src=""https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/09/dalit.jpg?fit=1200%2C628&amp;ssl=1"" style=""width: 100%;"" /><div>India has long struggled with deep-rooted caste-based discrimination that permeates into various aspects of society. Despite constitutional safeguards and legal protections, Dalits in India continue to face systemic violence, discrimination, and social exclusion. Recent incidents across the country highlight a grim reality where Dalit lives are often undervalued, leading to a surge in brutal attacks,…</div></div>","{'type': 'text/html', 'language': None, 'base': 'https://rss.app/feeds/B2SZJnVStF6ULAjJ.xml', 'value': '<div><img src=""https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/09/dalit.jpg?fit=1200%2C628&amp;ssl=1"" style=""width: 100%;"" /><div>India has long struggled with deep-rooted caste-based discrimination that permeates into various aspects of society. Despite constitutional safeguards and legal protections, Dalits in India continue to face systemic violence, discrimination, and social exclusion. Recent incidents across the country highlight a grim reality where Dalit lives are often undervalued, leading to a surge in brutal attacks,…</div></div>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://cjp.org.in/the-alarming-rise-of-anti-dalit-violence-and-discrimination-in-india-a-series-of-gruesome-incidents-since-july-2024/'}]",https://cjp.org.in/the-alarming-rise-of-anti-dalit-violence-and-discrimination-in-india-a-series-of-gruesome-incidents-since-july-2024/,52d326d62f31dfa2a674f9a3486719c4,False,[{'name': 'zahid maniyar'}],zahid maniyar,{'name': 'zahid maniyar'},"Thu, 05 Sep 2024 07:01:47 GMT","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=5, tm_hour=7, tm_min=1, tm_sec=47, tm_wday=3, tm_yday=249, tm_isdst=0)","[{'medium': 'image', 'url': 'https://i0.wp.com/cjp.org.in/wp-content/uploads/2024/09/dalit.jpg?fit=1200%2C628&ssl=1'}]",Google News,Dalit Violence,,,,2024-10-04 11:12:56.298149
