title,title_detail,summary,summary_detail,links,link,id,guidislink,tags,published,published_parsed,media_content,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
Kolkata police announces plan for managing unforeseen protests during Durga puja,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'Kolkata police announces plan for managing unforeseen protests during Durga puja'}",The city has witnessed many organic protests in the last two months since the R.G. Kar rape and murder case came to light,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'The city has witnessed many organic protests in the last two months since the R.G. Kar rape and murder case came to light'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/cities/kolkata/kolkata-police-announces-plan-for-managing-unforeseen-protests-during-durga-puja/article68718159.ece'}]",https://www.thehindu.com/news/cities/kolkata/kolkata-police-announces-plan-for-managing-unforeseen-protests-during-durga-puja/article68718159.ece,article-68718159,False,"[{'term': 'Kolkata', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:39:15 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=15, tm_min=9, tm_sec=15, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/6pp9kz/article68718847.ece/alternates/LANDSCAPE_1200/20240919280L.jpg', 'width': '1200'}]",The Hindu,Cities,,,,2024-10-04 11:13:02.474466
Panchayat secretaries in Ernakulam asked to submit draft proposals on delimitation by Oct.25,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'Panchayat secretaries in Ernakulam asked to submit draft proposals on delimitation by Oct.25'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/cities/Kochi/panchayat-secretaries-in-ernakulam-asked-to-submit-draft-proposals-on-delimitation-by-oct25/article68718301.ece'}]",https://www.thehindu.com/news/cities/Kochi/panchayat-secretaries-in-ernakulam-asked-to-submit-draft-proposals-on-delimitation-by-oct25/article68718301.ece,article-68718301,False,"[{'term': 'Kochi', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:38:37 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=15, tm_min=8, tm_sec=37, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,Cities,,,,2024-10-04 11:13:02.474466
TCE organises second cycle marathon,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'TCE organises second cycle marathon'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/cities/Madurai/tce-organises-second-cycle-marathon/article68718801.ece'}]",https://www.thehindu.com/news/cities/Madurai/tce-organises-second-cycle-marathon/article68718801.ece,article-68718801,False,"[{'term': 'Madurai', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:37:15 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=15, tm_min=7, tm_sec=15, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,Cities,,,,2024-10-04 11:13:02.474466
Woman and daughter from Visakhapatnam bag seven medals in international games,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'Woman and daughter from Visakhapatnam bag seven medals in international games'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/cities/Visakhapatnam/woman-and-daughter-from-visakhapatnam-bag-seven-medals-in-international-games/article68718210.ece'}]",https://www.thehindu.com/news/cities/Visakhapatnam/woman-and-daughter-from-visakhapatnam-bag-seven-medals-in-international-games/article68718210.ece,article-68718210,False,"[{'term': 'Visakhapatnam', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:33:36 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=15, tm_min=3, tm_sec=36, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,Cities,,,,2024-10-04 11:13:02.474466
Bomb hoax keeps police on their toes for second day in Tiruchi,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'Bomb hoax keeps police on their toes for second day in Tiruchi'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/cities/Tiruchirapalli/bomb-hoax-keeps-police-on-their-toes-for-second-day-in-tiruchi/article68718580.ece'}]",https://www.thehindu.com/news/cities/Tiruchirapalli/bomb-hoax-keeps-police-on-their-toes-for-second-day-in-tiruchi/article68718580.ece,article-68718580,False,"[{'term': 'Tiruchirapalli', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:31:26 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=15, tm_min=1, tm_sec=26, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,Cities,,,,2024-10-04 11:13:02.474466
One tonne seized ganja incinerated in Khammam district,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'One tonne seized ganja incinerated in Khammam district'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/telangana/one-tonne-seized-ganja-incinerated-in-khammam-district/article68717957.ece'}]",https://www.thehindu.com/news/national/telangana/one-tonne-seized-ganja-incinerated-in-khammam-district/article68717957.ece,article-68717957,False,"[{'term': 'Telangana', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:30:13 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=15, tm_min=0, tm_sec=13, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,Cities,,,,2024-10-04 11:13:02.474466
Thrissur police get custody of accused in ATM robbery case,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'Thrissur police get custody of accused in ATM robbery case'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/kerala/thrissur-police-get-custody-of-accused-in-atm-robbery-case/article68718365.ece'}]",https://www.thehindu.com/news/national/kerala/thrissur-police-get-custody-of-accused-in-atm-robbery-case/article68718365.ece,article-68718365,False,"[{'term': 'Kerala', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:25:58 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=55, tm_sec=58, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,Cities,,,,2024-10-04 11:13:02.474466
"Police to auction 1,212 abandoned, unclaimed vehicles","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'Police to auction 1,212 abandoned, unclaimed vehicles'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/telangana/police-to-auction-1212-abandoned-unclaimed-vehicles/article68717821.ece'}]",https://www.thehindu.com/news/national/telangana/police-to-auction-1212-abandoned-unclaimed-vehicles/article68717821.ece,article-68717821,False,"[{'term': 'Telangana', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:17:47 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=47, tm_sec=47, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,Cities,,,,2024-10-04 11:13:02.474466
Kolkata’s Sreebhumi Durga Puja recreates Tirupati temple; to distribute one lakh ‘pure ghee’ laddus,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'Kolkata’s Sreebhumi Durga Puja recreates Tirupati temple; to distribute one lakh ‘pure ghee’ laddus'}","Recently, the alleged use of animal fat in Tirupati laddus stirred controversy across political lines","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'Recently, the alleged use of animal fat in Tirupati laddus stirred controversy across political lines'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/cities/kolkata/kolkatas-sreebhumi-durga-puja-recreates-tirupati-temple-to-distribute-one-lakh-pure-ghee-laddus/article68718174.ece'}]",https://www.thehindu.com/news/cities/kolkata/kolkatas-sreebhumi-durga-puja-recreates-tirupati-temple-to-distribute-one-lakh-pure-ghee-laddus/article68718174.ece,article-68718174,False,"[{'term': 'Kolkata', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:04:52 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=34, tm_sec=52, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/ky5i2z/article68718675.ece/alternates/LANDSCAPE_1200/20241003257L.jpg', 'width': '1200'}]",The Hindu,Cities,,,,2024-10-04 11:13:02.474466
BJP demands white paper on temple lands in Tamil Nadu,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': 'BJP demands white paper on temple lands in Tamil Nadu'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/cities/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/cities/Madurai/bjp-demands-white-paper-on-temple-lands-in-tamil-nadu/article68718514.ece'}]",https://www.thehindu.com/news/cities/Madurai/bjp-demands-white-paper-on-temple-lands-in-tamil-nadu/article68718514.ece,article-68718514,False,"[{'term': 'Madurai', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:03:49 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=33, tm_sec=49, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/srqkgy/article68718665.ece/alternates/LANDSCAPE_1200/2315_4_10_2024_18_13_27_2_RAJA.JPG', 'width': '1200'}]",The Hindu,Cities,,,,2024-10-04 11:13:02.474466
