title,title_detail,summary,summary_detail,links,link,id,guidislink,tags,published,published_parsed,media_content,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
Bomb hoax keeps police on their toes for second day in Tiruchi,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Bomb hoax keeps police on their toes for second day in Tiruchi'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/cities/Tiruchirapalli/bomb-hoax-keeps-police-on-their-toes-for-second-day-in-tiruchi/article68718580.ece'}]",https://www.thehindu.com/news/cities/Tiruchirapalli/bomb-hoax-keeps-police-on-their-toes-for-second-day-in-tiruchi/article68718580.ece,article-68718580,False,"[{'term': 'Tiruchirapalli', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:31:26 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=15, tm_min=1, tm_sec=26, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
One tonne seized ganja incinerated in Khammam district,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'One tonne seized ganja incinerated in Khammam district'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/telangana/one-tonne-seized-ganja-incinerated-in-khammam-district/article68717957.ece'}]",https://www.thehindu.com/news/national/telangana/one-tonne-seized-ganja-incinerated-in-khammam-district/article68717957.ece,article-68717957,False,"[{'term': 'Telangana', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:30:13 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=15, tm_min=0, tm_sec=13, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
"1,031 candidates in fray for Haryana Assembly polls on October 5","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': '1,031 candidates in fray for Haryana Assembly polls on October 5'}","While the BJP is looking at a third straight term in office, the Congress is seeking a return to power after a decade","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'While the BJP is looking at a third straight term in office, the Congress is seeking a return to power after a decade'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/haryana-assembly/1031-candidates-in-fray-for-haryana-assembly-polls-on-october-5/article68718187.ece'}]",https://www.thehindu.com/elections/haryana-assembly/1031-candidates-in-fray-for-haryana-assembly-polls-on-october-5/article68718187.ece,article-68718187,False,"[{'term': 'Haryana Assembly', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:29:31 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=59, tm_sec=31, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/elections/haryana-assembly/9ywn16/article68718800.ece/alternates/LANDSCAPE_1200/20241004219L.jpg', 'width': '1200'}]",The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
A large number of devotees visiting Sri Pydimamba temple in Vizianagaram ahead of Sirimanotsavam on October 15,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'A large number of devotees visiting Sri Pydimamba temple in Vizianagaram ahead of Sirimanotsavam on October 15'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/andhra-pradesh/a-large-number-of-devotees-visiting-sri-pydimamba-temple-in-vizianagaram-ahead-of-sirimanotsavam-on-october-15/article68718348.ece'}]",https://www.thehindu.com/news/national/andhra-pradesh/a-large-number-of-devotees-visiting-sri-pydimamba-temple-in-vizianagaram-ahead-of-sirimanotsavam-on-october-15/article68718348.ece,article-68718348,False,"[{'term': 'Andhra Pradesh', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:26:15 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=56, tm_sec=15, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/wtnci0/article68718590.ece/alternates/LANDSCAPE_1200/10215_4_10_2024_19_6_0_1_IMG_20241004_WA0107.JPG', 'width': '1200'}]",The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Thrissur police get custody of accused in ATM robbery case,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Thrissur police get custody of accused in ATM robbery case'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/kerala/thrissur-police-get-custody-of-accused-in-atm-robbery-case/article68718365.ece'}]",https://www.thehindu.com/news/national/kerala/thrissur-police-get-custody-of-accused-in-atm-robbery-case/article68718365.ece,article-68718365,False,"[{'term': 'Kerala', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:25:58 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=55, tm_sec=58, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Telangana consumer forum reduces compensation in negligence case,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Telangana consumer forum reduces compensation in negligence case'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/telangana/telangana-consumer-forum-reduces-compensation-in-negligence-case/article68718490.ece'}]",https://www.thehindu.com/news/national/telangana/telangana-consumer-forum-reduces-compensation-in-negligence-case/article68718490.ece,article-68718490,False,"[{'term': 'Telangana', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:25:43 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=55, tm_sec=43, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
"UDF loses power in Vembayam panchayat, alleges LDF-BJP nexus","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'UDF loses power in Vembayam panchayat, alleges LDF-BJP nexus'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/kerala/udf-loses-power-in-vembayam-panchayat-alleges-ldf-bjp-nexus/article68718478.ece'}]",https://www.thehindu.com/news/national/kerala/udf-loses-power-in-vembayam-panchayat-alleges-ldf-bjp-nexus/article68718478.ece,article-68718478,False,"[{'term': 'Kerala', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:20:34 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=50, tm_sec=34, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
P.V. Anvar absent on first day of Assembly session,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'P.V. Anvar absent on first day of Assembly session'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/kerala/pv-anvar-absent-on-first-day-of-assembly-session/article68718491.ece'}]",https://www.thehindu.com/news/national/kerala/pv-anvar-absent-on-first-day-of-assembly-session/article68718491.ece,article-68718491,False,"[{'term': 'Kerala', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:19:33 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=49, tm_sec=33, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Regional fertility management centres on the anvil across Kerala,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Regional fertility management centres\xa0on the anvil across Kerala'}","Multiple treatment options will be available in the centres, a first of its kind initiative in Kerala. The expense for producing an embryo and transferring it will come to around ₹6,000. Each centre will have a mobile unit with state-of-the-art facilities for embryo transfer process","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Multiple treatment options will be available in the centres, a first of its kind initiative in Kerala. The expense for producing an embryo and transferring it will come to around ₹6,000. Each centre will have a mobile unit with state-of-the-art facilities for embryo transfer process'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/kerala/regional-fertility-management-centres-on-the-anvil-across-kerala/article68718222.ece'}]",https://www.thehindu.com/news/national/kerala/regional-fertility-management-centres-on-the-anvil-across-kerala/article68718222.ece,article-68718222,False,"[{'term': 'Kerala', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:18:59 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=48, tm_sec=59, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/fsclxf/article68718728.ece/alternates/LANDSCAPE_1200/80686_4_10_2024_19_8_55_1_05TVKO_RLFMC.JPG', 'width': '1200'}]",The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
"Police to auction 1,212 abandoned, unclaimed vehicles","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Police to auction 1,212 abandoned, unclaimed vehicles'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/telangana/police-to-auction-1212-abandoned-unclaimed-vehicles/article68717821.ece'}]",https://www.thehindu.com/news/national/telangana/police-to-auction-1212-abandoned-unclaimed-vehicles/article68717821.ece,article-68717821,False,"[{'term': 'Telangana', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:17:47 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=47, tm_sec=47, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Nitin Gadkari promises ₹800 crore for Belagavi bypass,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Nitin Gadkari promises ₹800 crore for Belagavi bypass'}",Union Minister for Road Transport and Highways Nitin Gadkari has said that ₹ 800 crore would be given for development of Belagavi bypass Road and also assured requisite funds for development of Goa-Hyderabad Road.,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Union Minister for Road Transport and Highways Nitin Gadkari has said that ₹ 800 crore would be given for development of Belagavi bypass Road and also assured requisite funds for development of Goa-Hyderabad Road.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/karnataka/nitin-gadkari-promises-800-crore-for-belagavi-bypass/article68718516.ece'}]",https://www.thehindu.com/news/national/karnataka/nitin-gadkari-promises-800-crore-for-belagavi-bypass/article68718516.ece,article-68718516,False,"[{'term': 'Karnataka', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:16:25 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=46, tm_sec=25, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/rvor4i/article68718709.ece/alternates/LANDSCAPE_1200/2699_4_10_2024_19_45_15_2_05HUBLIGADKARI_KORE_2.JPG', 'width': '1200'}]",The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Ramesh Katti resigns as Belagavi DCC Bank chairman,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Ramesh Katti resigns as Belagavi DCC Bank chairman'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/karnataka/ramesh-katti-resigns-as-belagavi-dcc-bank-chairman/article68718208.ece'}]",https://www.thehindu.com/news/national/karnataka/ramesh-katti-resigns-as-belagavi-dcc-bank-chairman/article68718208.ece,article-68718208,False,"[{'term': 'Karnataka', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:11:33 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=41, tm_sec=33, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/icf7jr/article68718703.ece/alternates/LANDSCAPE_1200/9727_15-11-2020_19-51-30_2_16BGMRAMESHKATTI1.JPG', 'width': '1200'}]",The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Ghee adulteration row: Andhra Pradesh Endowments Minister Anam Ramanarayana Reddy welcomes constitution of SIT by Supreme Court,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Ghee adulteration row: Andhra Pradesh Endowments Minister Anam Ramanarayana Reddy welcomes constitution of SIT by Supreme Court'}","The inclusion of a wider range of experts from relevant fields will enhance the scope of the probe and help get a larger perspective, he observes","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'The inclusion of a wider range of experts from relevant fields will enhance the scope of the probe and help get a larger perspective, he observes'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/andhra-pradesh/ghee-adulteration-row-andhra-pradesh-endowments-minister-anam-ramanarayana-reddy-welcomes-constitution-of-sit-by-supreme-court/article68718457.ece'}]",https://www.thehindu.com/news/national/andhra-pradesh/ghee-adulteration-row-andhra-pradesh-endowments-minister-anam-ramanarayana-reddy-welcomes-constitution-of-sit-by-supreme-court/article68718457.ece,article-68718457,False,"[{'term': 'Andhra Pradesh', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:10:58 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=40, tm_sec=58, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/fncgxp/article68718677.ece/alternates/LANDSCAPE_1200/WhatsApp%20Image%202024-09-27%20at%2020.14.59.jpeg', 'width': '1200'}]",The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
MUDA scam: Lokayukta police conduct inspection of sites,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'MUDA scam: Lokayukta police conduct inspection of sites'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/karnataka/muda-scam-lokayukta-police-conduct-inspection-of-sites/article68718043.ece'}]",https://www.thehindu.com/news/national/karnataka/muda-scam-lokayukta-police-conduct-inspection-of-sites/article68718043.ece,article-68718043,False,"[{'term': 'Karnataka', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:07:23 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=37, tm_sec=23, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
APTF seeks common school education system across the country,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'APTF seeks common school education system across the country'}",State academic convener J.C. Raju stresses the importance of the ‘one nation one education system’ policy,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'State academic convener J.C. Raju stresses the importance of the ‘one nation one education system’ policy'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/andhra-pradesh/aptf-seeks-common-school-education-system-across-the-country/article68718223.ece'}]",https://www.thehindu.com/news/national/andhra-pradesh/aptf-seeks-common-school-education-system-across-the-country/article68718223.ece,article-68718223,False,"[{'term': 'Andhra Pradesh', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:06:06 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=36, tm_sec=6, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/36rh27/article68718614.ece/alternates/LANDSCAPE_1200/10215_4_10_2024_19_3_51_1_IMG_20241004_WA0105.JPG', 'width': '1200'}]",The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Congress slams U.P. government after family of four killed in Amethi; Rahul speaks to victims’ kin,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Congress slams U.P. government after family of four killed in Amethi; Rahul speaks to victims’ kin'}",The Congress said the incident showed that the rule of law has been “destroyed” in Uttar Pradesh with people not safe even in their homes.,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'The Congress said the incident showed that the rule of law has been “destroyed” in Uttar Pradesh with\xa0people not safe even in their homes.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/uttar-pradesh/congress-slams-up-government-after-family-of-four-killed-in-amethi-rahul-speaks-to-victims-kin/article68718161.ece'}]",https://www.thehindu.com/news/national/uttar-pradesh/congress-slams-up-government-after-family-of-four-killed-in-amethi-rahul-speaks-to-victims-kin/article68718161.ece,article-68718161,False,"[{'term': 'Uttar Pradesh', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 20:05:02 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=35, tm_sec=2, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/news/national/uttar-pradesh/i4hb2/article68718666.ece/alternates/LANDSCAPE_1200/20241003038L.jpg', 'width': '1200'}]",The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
