title,title_detail,summary,summary_detail,links,link,id,guidislink,tags,published,published_parsed,media_content,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
"Regret standing with BJP during protest by farmers, says Dushyant Chautala","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Regret standing with BJP during protest by farmers, says Dushyant Chautala'}",JJP leader says it was a mistake that he did not understand farmers’ sentiments but that he does not regret allying with the BJP in 2019,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'JJP leader says it was a mistake that he did not understand farmers’ sentiments but that he does not regret allying with the BJP in 2019'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/haryana-assembly/regret-standing-with-bjp-during-protest-by-farmers-says-dushyant-chautala/article68691036.ece'}]",https://www.thehindu.com/elections/haryana-assembly/regret-standing-with-bjp-during-protest-by-farmers-says-dushyant-chautala/article68691036.ece,article-68691036,False,"[{'term': 'Haryana Assembly', 'scheme': None, 'label': None}]","Sat, 28 Sep 2024 02:11:34 +0530","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=20, tm_min=41, tm_sec=34, tm_wday=4, tm_yday=271, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/cp8vh4/article68692172.ece/alternates/LANDSCAPE_1200/5331_27_9_2024_19_46_25_1_IMG_20240927_190506.JPG', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
Haryana Assembly polls: Parties chase Dalits; voters chase papers,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Haryana Assembly polls: Parties chase Dalits; voters chase papers'}","All parties are wooing Dalit voters, who constitute 21% of the Haryana electorate; Congress banks on call for change; BJP intensifies its attack; BSP, ASP, in alliance with local outfits, vie for a piece of the same pie","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'All parties are wooing Dalit voters, who constitute 21% of the Haryana electorate; Congress banks on call for change; BJP intensifies its attack; BSP, ASP, in alliance with local outfits, vie for a piece of the same pie'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/haryana-assembly/haryana-assembly-polls-parties-chase-dalits-voters-chase-papers/article68690132.ece'}]",https://www.thehindu.com/elections/haryana-assembly/haryana-assembly-polls-parties-chase-dalits-voters-chase-papers/article68690132.ece,article-68690132,False,"[{'term': 'Haryana Assembly', 'scheme': None, 'label': None}]","Fri, 27 Sep 2024 20:07:15 +0530","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=14, tm_min=37, tm_sec=15, tm_wday=4, tm_yday=271, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/elections/haryana-assembly/2x6y9i/article68691204.ece/alternates/LANDSCAPE_1200/DALIT%20VOTERS%20HARYANA%20SOBHANA%20SABIKA%209.JPG', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
"NC, PDP blame Centre for lower turnout in second phase of elections in J&K","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'NC, PDP blame Centre for lower turnout in second phase of elections in J&K'}","NC vice-president Omar Abdullah said the Centre was at fault to project the high poll percentage in the first phase as normalcy and call it the effect of Article 370 removal. “I think the low voter turnout was the reaction to it in Srinagar,” he said.","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'NC vice-president Omar Abdullah said the Centre was at fault to project the high poll percentage in the first phase as normalcy and call it the effect of Article 370 removal. “I think the low voter turnout was the reaction to it in Srinagar,” he said.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/jammu-and-kashmir-assembly/nc-pdp-blame-centre-for-lower-turnout-in-second-phase-of-elections-in-jk/article68686806.ece'}]",https://www.thehindu.com/elections/jammu-and-kashmir-assembly/nc-pdp-blame-centre-for-lower-turnout-in-second-phase-of-elections-in-jk/article68686806.ece,article-68686806,False,"[{'term': 'Jammu and Kashmir Assembly', 'scheme': None, 'label': None}]","Thu, 26 Sep 2024 21:53:44 +0530","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=23, tm_sec=44, tm_wday=3, tm_yday=270, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/elections/jammu-and-kashmir-assembly/52j9e4/article68687550.ece/alternates/LANDSCAPE_1200/PTI09_25_2024_000335B.jpg', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
Those supporting terrorism will meet fate of Afzal Guru: Amit Shah,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Those supporting terrorism will meet fate of Afzal Guru: Amit Shah'}","The Union Home Minister said, “Even generations after Rahul (Gandhi) would not be able to restore it (Article 370). Elections are being held here for the first time without Article 370 and a separate flag”","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'The Union Home Minister said, “Even generations after Rahul (Gandhi) would not be able to restore it (Article 370). Elections are being held here for the first time without Article 370 and a separate flag”'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/jammu-and-kashmir-assembly/terrorism-wont-be-allowed-to-stage-comeback-it-has-been-buried-amit-shah-in-udhampur-rally/article68685621.ece'}]",https://www.thehindu.com/elections/jammu-and-kashmir-assembly/terrorism-wont-be-allowed-to-stage-comeback-it-has-been-buried-amit-shah-in-udhampur-rally/article68685621.ece,article-68685621,False,"[{'term': 'Jammu and Kashmir Assembly', 'scheme': None, 'label': None}]","Thu, 26 Sep 2024 15:25:45 +0530","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=9, tm_min=55, tm_sec=45, tm_wday=3, tm_yday=270, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/wex2nb/article68685658.ece/alternates/LANDSCAPE_1200/PTI09_26_2024_000103B.jpg', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
Omar Abdullah blames Centre for low voter turnout in second phase of J&K polls,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Omar Abdullah blames Centre for low voter turnout in second phase of J&K polls'}","Centre tried to present the high voter turnout as signs of normalcy and as if the people had accepted the revocation of Article 370, said the National Conference leader","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Centre tried to present the high voter turnout as signs of normalcy and as if the people had accepted the revocation of Article 370, said the National Conference leader'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/jammu-and-kashmir-assembly/omar-abdullah-blames-centre-for-low-voter-turnout-in-second-phase-of-jk-polls/article68685475.ece'}]",https://www.thehindu.com/elections/jammu-and-kashmir-assembly/omar-abdullah-blames-centre-for-low-voter-turnout-in-second-phase-of-jk-polls/article68685475.ece,article-68685475,False,"[{'term': 'Jammu and Kashmir Assembly', 'scheme': None, 'label': None}]","Thu, 26 Sep 2024 14:51:44 +0530","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=9, tm_min=21, tm_sec=44, tm_wday=3, tm_yday=270, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/vgt1fu/article68685543.ece/alternates/LANDSCAPE_1200/20240916122L.jpg', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
People of Srinagar remain reluctant voters as district records 29.24% turnout,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'People of Srinagar remain reluctant voters as district records 29.24% turnout'}",Srinagar district’s poll percentage was 27.9% in the 2014 Assembly election and recorded 29.24% this time; J&amp;K Chief Electoral Officer says Srinagar saw an increase of 5% compared to voter turnout of the recent Lok Sabha polls,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Srinagar district’s poll percentage was 27.9% in the 2014 Assembly election and recorded 29.24% this time; J&amp;K Chief Electoral Officer says Srinagar saw an increase of 5% compared to voter turnout of the recent Lok Sabha polls'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/jammu-and-kashmir-assembly/people-of-srinagar-remain-reluctant-voters-as-district-records-2924-turnout/article68682811.ece'}]",https://www.thehindu.com/elections/jammu-and-kashmir-assembly/people-of-srinagar-remain-reluctant-voters-as-district-records-2924-turnout/article68682811.ece,article-68682811,False,"[{'term': 'Jammu and Kashmir Assembly', 'scheme': None, 'label': None}]","Wed, 25 Sep 2024 22:55:45 +0530","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=25, tm_sec=45, tm_wday=2, tm_yday=269, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/nlgxh2/article68683101.ece/alternates/LANDSCAPE_1200/2024-09-25T052721Z_1949721276_RC2F7AA9JWYJ_RTRMADP_3_INDIA-KASHMIR-ELECTION.JPG', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
Jammu and Kashmir Assembly polls: 57% turnout in peaceful Phase 2 polling,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Jammu and Kashmir Assembly polls: 57% turnout in peaceful Phase 2 polling'}","Reasi district records highest voting percentage of 74.7 followed by Pooch at 73.8; Srinagar’s turnout exceeds Lok Sabha figure; no booth reported any incident warranting a repoll, says EC","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Reasi district records highest voting percentage of 74.7 followed by Pooch at 73.8; Srinagar’s turnout exceeds Lok Sabha figure; no booth reported any incident warranting a repoll, says EC'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/jammu-and-kashmir-assembly/second-phase-of-j-k-assembly-polls-records-over-56-turnout/article68682945.ece'}]",https://www.thehindu.com/elections/jammu-and-kashmir-assembly/second-phase-of-j-k-assembly-polls-records-over-56-turnout/article68682945.ece,article-68682945,False,"[{'term': 'Jammu and Kashmir Assembly', 'scheme': None, 'label': None}]","Wed, 25 Sep 2024 21:04:36 +0530","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=34, tm_sec=36, tm_wday=2, tm_yday=269, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/1r1b2d/article68682962.ece/alternates/LANDSCAPE_1200/20240925194L.jpg', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
"Will protest inside, outside Parliament for J&K’s Statehood: Rahul Gandhi","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Will protest inside, outside Parliament for J&K’s Statehood: Rahul Gandhi'}","Rahul Gandhi, in an election rally in Jammu, said the 2019 decision to bifurcate Jammu and Kashmir into two Union Territories was ""a grave injustice""","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Rahul Gandhi, in an election rally in Jammu, said the 2019 decision to bifurcate Jammu and Kashmir into two Union Territories was ""a grave injustice""'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/jammu-and-kashmir-assembly/india-bloc-will-hit-road-if-jk-statehood-not-restored-after-polls-rahul-gandhi/article68681774.ece'}]",https://www.thehindu.com/elections/jammu-and-kashmir-assembly/india-bloc-will-hit-road-if-jk-statehood-not-restored-after-polls-rahul-gandhi/article68681774.ece,article-68681774,False,"[{'term': 'Jammu and Kashmir Assembly', 'scheme': None, 'label': None}]","Wed, 25 Sep 2024 18:26:25 +0530","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=56, tm_sec=25, tm_wday=2, tm_yday=269, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/d0m6ov/article68681936.ece/alternates/LANDSCAPE_1200/PTI09_25_2024_000191B.jpg', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
"Jammu & Kashmir elections: History in making, says CEC Rajiv Kumar","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Jammu & Kashmir elections: History in making, says CEC Rajiv Kumar'}","""It is a festival of democracy. Voting is taking place in areas where it did not take place earlier.... There were calls for disruption and boycott in the past.... It is a standing ovation for democracy,"" the CEC said","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': '""It is a festival of democracy. Voting is taking place in areas where it did not take place earlier.... There were calls for disruption and boycott in the past.... It is a standing ovation for democracy,"" the CEC said'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/jammu-and-kashmir-assembly/jammu-kashmir-elections-history-in-making-says-cec-rajiv-kumar/article68681479.ece'}]",https://www.thehindu.com/elections/jammu-and-kashmir-assembly/jammu-kashmir-elections-history-in-making-says-cec-rajiv-kumar/article68681479.ece,article-68681479,False,"[{'term': 'Jammu and Kashmir Assembly', 'scheme': None, 'label': None}]","Wed, 25 Sep 2024 16:39:52 +0530","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=11, tm_min=9, tm_sec=52, tm_wday=2, tm_yday=269, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/todays-paper/tp-national/i7951y/article68534650.ece/alternates/LANDSCAPE_1200/TH16-SREEPARNA-GEOD75ANA.3.jpg.jpg', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
'Guided tour not good': Omar Abdullah slams govt for inviting foreign diplomats to see J&K polls,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': ""'Guided tour not good': Omar Abdullah slams govt for inviting foreign diplomats to see J&K polls""}","This ""guided tour"" is not a good thing, says Omar Abdullah, alleging the Centre wants to take credit for the people's participation in these polls ""which is a betrayal with the people here""","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'This ""guided tour"" is not a good thing, says Omar Abdullah, alleging the Centre wants to take credit for the people\'s participation in these polls ""which is a betrayal with the people here""'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/jammu-and-kashmir-assembly/guided-tour-not-good-omar-abdullah-slams-govt-for-inviting-foreign-diplomats-to-see-jk-polls/article68680859.ece'}]",https://www.thehindu.com/elections/jammu-and-kashmir-assembly/guided-tour-not-good-omar-abdullah-slams-govt-for-inviting-foreign-diplomats-to-see-jk-polls/article68680859.ece,article-68680859,False,"[{'term': 'Jammu and Kashmir Assembly', 'scheme': None, 'label': None}]","Wed, 25 Sep 2024 12:37:48 +0530","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=7, tm_min=7, tm_sec=48, tm_wday=2, tm_yday=269, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/1htwxs/article68680889.ece/alternates/LANDSCAPE_1200/PTI09_25_2024_000056B.jpg', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
Foreign diplomats tour polling booths in Jammu and Kashmir,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Foreign diplomats tour polling booths in Jammu and Kashmir'}","After visiting stations in Budgam and Sringar, U.S. diplomat says poll process looks professional; Omar takes exception to Centre’s move to bring the 15-member team, terms it ‘a guided tour’","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'After visiting stations in Budgam and Sringar, U.S. diplomat says poll process looks professional; Omar takes exception to Centre’s move to bring the 15-member team, terms it ‘a guided tour’'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/jammu-and-kashmir-assembly/delegation-of-diplomats-visiting-kashmir-to-witness-elections/article68680644.ece'}]",https://www.thehindu.com/elections/jammu-and-kashmir-assembly/delegation-of-diplomats-visiting-kashmir-to-witness-elections/article68680644.ece,article-68680644,False,"[{'term': 'Jammu and Kashmir Assembly', 'scheme': None, 'label': None}]","Wed, 25 Sep 2024 11:14:05 +0530","time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=5, tm_min=44, tm_sec=5, tm_wday=2, tm_yday=269, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/u88ura/article68680670.ece/alternates/LANDSCAPE_1200/12205_25_9_2024_10_33_7_4_28_SECOND_PHASE_ELECTION_SGR_25_09_2024.JPG', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
