title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
Ayodhya gang rape: Allahabad HC bench junks Samajwadi Party man's bail plea,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': ""Ayodhya gang rape: Allahabad HC bench junks Samajwadi Party man's bail plea""}","<a href=""https://timesofindia.indiatimes.com/city/allahabad/ayodhya-gang-rape-allahabad-hc-bench-junks-samajwadi-party-mans-bail-plea/articleshow/113925706.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113925706.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Lucknow bench of the Allahabad high court denied bail to Samajwadi Party's Moeed Khan, accused in the Ayodhya gang rape case, due to potential trial interference. The court emphasized timely recording of the survivor's statement and noted Moeed's high social and financial influence.","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/allahabad/ayodhya-gang-rape-allahabad-hc-bench-junks-samajwadi-party-mans-bail-plea/articleshow/113925706.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113925706.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Lucknow bench of the Allahabad high court denied bail to Samajwadi Party\'s Moeed Khan, accused in the Ayodhya gang rape case, due to potential trial interference. The court emphasized timely recording of the survivor\'s statement and noted Moeed\'s high social and financial influence.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/allahabad/ayodhya-gang-rape-allahabad-hc-bench-junks-samajwadi-party-mans-bail-plea/articleshow/113925706.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113925441,imgsize-42718.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/allahabad/ayodhya-gang-rape-allahabad-hc-bench-junks-samajwadi-party-mans-bail-plea/articleshow/113925706.cms,https://timesofindia.indiatimes.com/city/allahabad/ayodhya-gang-rape-allahabad-hc-bench-junks-samajwadi-party-mans-bail-plea/articleshow/113925706.cms,False,2024-10-04T09:31:44+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=4, tm_min=1, tm_sec=44, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Allahabad,,,,2024-10-04 11:13:16.168981
All social media posts must be approved by VC: AU admin to faculty,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': 'All social media posts must be approved by VC: AU admin to faculty'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/allahabad/allahabad-university-mandates-vc-approval-for-all-social-media-posts/articleshow/113918270.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918270,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/allahabad/allahabad-university-mandates-vc-approval-for-all-social-media-posts/articleshow/113918270.cms,https://timesofindia.indiatimes.com/city/allahabad/allahabad-university-mandates-vc-approval-for-all-social-media-posts/articleshow/113918270.cms,False,2024-10-04T00:54:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=24, tm_sec=40, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Allahabad,,,,2024-10-04 11:13:16.168981
Buzz in city temples as Navratri begins,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': 'Buzz in city temples as Navratri begins'}","<a href=""https://timesofindia.indiatimes.com/city/allahabad/throngs-of-devotees-celebrate-navratri-in-prayagraj-temples/articleshow/113918217.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918217.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/allahabad/throngs-of-devotees-celebrate-navratri-in-prayagraj-temples/articleshow/113918217.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918217.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/allahabad/throngs-of-devotees-celebrate-navratri-in-prayagraj-temples/articleshow/113918217.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918213,imgsize-103038.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/allahabad/throngs-of-devotees-celebrate-navratri-in-prayagraj-temples/articleshow/113918217.cms,https://timesofindia.indiatimes.com/city/allahabad/throngs-of-devotees-celebrate-navratri-in-prayagraj-temples/articleshow/113918217.cms,False,2024-10-04T00:46:12+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=16, tm_sec=12, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Allahabad,,,,2024-10-04 11:13:16.168981
"MNNIT inks MoU with IIT-Roorkee for promoting biz, startups","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': 'MNNIT inks MoU with IIT-Roorkee for promoting biz, startups'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/allahabad/mnnit-and-iit-roorkee-join-forces-to-boost-startups-and-innovation/articleshow/113918198.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918198,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/allahabad/mnnit-and-iit-roorkee-join-forces-to-boost-startups-and-innovation/articleshow/113918198.cms,https://timesofindia.indiatimes.com/city/allahabad/mnnit-and-iit-roorkee-join-forces-to-boost-startups-and-innovation/articleshow/113918198.cms,False,2024-10-04T00:45:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=15, tm_sec=41, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Allahabad,,,,2024-10-04 11:13:16.168981
Fire dept issues safety guidelines to Durga puja committees,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': 'Fire dept issues safety guidelines to Durga puja committees'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/allahabad/essential-fire-safety-guidelines-for-durga-puja-committees/articleshow/113918195.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918195,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/allahabad/essential-fire-safety-guidelines-for-durga-puja-committees/articleshow/113918195.cms,https://timesofindia.indiatimes.com/city/allahabad/essential-fire-safety-guidelines-for-durga-puja-committees/articleshow/113918195.cms,False,2024-10-04T00:45:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=15, tm_sec=40, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Allahabad,,,,2024-10-04 11:13:16.168981
36 new tubewells to ensure clean drinking water during Maha Kumbh,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': '36 new tubewells to ensure clean drinking water during Maha Kumbh'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/allahabad/maha-kumbh-2025-36-new-tubewells-to-provide-clean-drinking-water-for-40-crore-visitors/articleshow/113915344.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113915344,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/allahabad/maha-kumbh-2025-36-new-tubewells-to-provide-clean-drinking-water-for-40-crore-visitors/articleshow/113915344.cms,https://timesofindia.indiatimes.com/city/allahabad/maha-kumbh-2025-36-new-tubewells-to-provide-clean-drinking-water-for-40-crore-visitors/articleshow/113915344.cms,False,2024-10-03T21:51:58+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=16, tm_min=21, tm_sec=58, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Allahabad,,,,2024-10-04 11:13:16.168981
"CM to visit Prayagraj on Oct 6, announce dates of major baths","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': 'CM to visit Prayagraj on Oct 6, announce dates of major baths'}","<a href=""https://timesofindia.indiatimes.com/city/allahabad/yogi-adityanath-to-announce-key-dates-for-maha-kumbh-2025-during-prayagraj-visit/articleshow/113915339.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113915339.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/allahabad/yogi-adityanath-to-announce-key-dates-for-maha-kumbh-2025-during-prayagraj-visit/articleshow/113915339.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113915339.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/allahabad/yogi-adityanath-to-announce-key-dates-for-maha-kumbh-2025-during-prayagraj-visit/articleshow/113915339.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113915334,imgsize-24140.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/allahabad/yogi-adityanath-to-announce-key-dates-for-maha-kumbh-2025-during-prayagraj-visit/articleshow/113915339.cms,https://timesofindia.indiatimes.com/city/allahabad/yogi-adityanath-to-announce-key-dates-for-maha-kumbh-2025-during-prayagraj-visit/articleshow/113915339.cms,False,2024-10-03T21:51:43+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=16, tm_min=21, tm_sec=43, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Rajiv Mani'}],Rajiv Mani,{'name': 'Rajiv Mani'},Times of India,Allahabad,,,,2024-10-04 11:13:16.168981
HC expresses displeasure over pace of trials in district courts,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': 'HC expresses displeasure over pace of trials in district courts'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/allahabad/allahabad-high-court-slams-slow-trials-in-district-courts-urgent-reform-needed/articleshow/113915335.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113915335,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/allahabad/allahabad-high-court-slams-slow-trials-in-district-courts-urgent-reform-needed/articleshow/113915335.cms,https://timesofindia.indiatimes.com/city/allahabad/allahabad-high-court-slams-slow-trials-in-district-courts-urgent-reform-needed/articleshow/113915335.cms,False,2024-10-03T21:51:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=16, tm_min=21, tm_sec=40, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Allahabad,,,,2024-10-04 11:13:16.168981
INDIA bloc will register big win on all bypoll seats: SP,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': 'INDIA bloc will register big win on all bypoll seats: SP'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/allahabad/samajwadi-party-claims-india-bloc-will-sweep-bypolls-in-uttar-pradesh/articleshow/113915304.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113915304,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/allahabad/samajwadi-party-claims-india-bloc-will-sweep-bypolls-in-uttar-pradesh/articleshow/113915304.cms,https://timesofindia.indiatimes.com/city/allahabad/samajwadi-party-claims-india-bloc-will-sweep-bypolls-in-uttar-pradesh/articleshow/113915304.cms,False,2024-10-03T21:48:48+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=16, tm_min=18, tm_sec=48, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Allahabad,,,,2024-10-04 11:13:16.168981
Man held with 200 kg illegal firecrackers,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': 'Man held with 200 kg illegal firecrackers'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/allahabad/26-year-old-arrested-for-storing-200-kg-of-illegal-firecrackers-in-prayagraj/articleshow/113915300.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113915300,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/allahabad/26-year-old-arrested-for-storing-200-kg-of-illegal-firecrackers-in-prayagraj/articleshow/113915300.cms,https://timesofindia.indiatimes.com/city/allahabad/26-year-old-arrested-for-storing-200-kg-of-illegal-firecrackers-in-prayagraj/articleshow/113915300.cms,False,2024-10-03T21:48:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=16, tm_min=18, tm_sec=40, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Allahabad,,,,2024-10-04 11:13:16.168981
"Thief returns stolen ashtadhatu idols to Prayagraj temple after son takes ill, tenders apology","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': 'Thief returns stolen ashtadhatu idols to Prayagraj temple after son takes ill, tenders apology'}","<a href=""https://timesofindia.indiatimes.com/city/allahabad/thief-returns-stolen-ashtadhatu-idols-after-sons-illness-issues-apology/articleshow/113883959.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113883959.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>A thief who stole Radha Krishna idols from a Prayagraj temple returned them with a written apology, citing nightmares and the severe illness of his family since the theft. Local residents found the idols and the letter, leading to the restoration of the sacred items by the temple priest.","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3947060.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/allahabad/thief-returns-stolen-ashtadhatu-idols-after-sons-illness-issues-apology/articleshow/113883959.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113883959.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>A thief who stole Radha Krishna idols from a Prayagraj temple returned them with a written apology, citing nightmares and the severe illness of his family since the theft. Local residents found the idols and the letter, leading to the restoration of the sacred items by the temple priest.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/allahabad/thief-returns-stolen-ashtadhatu-idols-after-sons-illness-issues-apology/articleshow/113883959.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113890492,imgsize-1643828.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/allahabad/thief-returns-stolen-ashtadhatu-idols-after-sons-illness-issues-apology/articleshow/113883959.cms,https://timesofindia.indiatimes.com/city/allahabad/thief-returns-stolen-ashtadhatu-idols-after-sons-illness-issues-apology/articleshow/113883959.cms,False,2024-10-02T23:18:49+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=2, tm_hour=17, tm_min=48, tm_sec=49, tm_wday=2, tm_yday=276, tm_isdst=0)",[{'name': 'Kapil Dixit'}],Kapil Dixit,{'name': 'Kapil Dixit'},Times of India,Allahabad,,,,2024-10-04 11:13:16.168981
