title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
Three Bengaluru engineering collages get bomb threat,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': 'Three Bengaluru engineering collages get bomb threat'}","<a href=""https://timesofindia.indiatimes.com/city/bengaluru/three-bengaluru-engineering-collages-get-bomb-threat/articleshow/113938241.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113938241.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Three Bengaluru colleges, including BIT, BMSCE, and MSRIT, received bomb threats prompting bomb disposal squads to act. The police have registered a case to trace the threat source. This follows last week's bomb threat at Taj West End Hotel and an August incident at a Whitefield mall.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bengaluru/three-bengaluru-engineering-collages-get-bomb-threat/articleshow/113938241.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113938241.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Three Bengaluru colleges, including BIT, BMSCE, and MSRIT, received bomb threats prompting bomb disposal squads to act. The police have registered a case to trace the threat source. This follows last week\'s bomb threat at Taj West End Hotel and an August incident at a Whitefield mall.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bengaluru/three-bengaluru-engineering-collages-get-bomb-threat/articleshow/113938241.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113939331,imgsize-936749.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bengaluru/three-bengaluru-engineering-collages-get-bomb-threat/articleshow/113938241.cms,https://timesofindia.indiatimes.com/city/bengaluru/three-bengaluru-engineering-collages-get-bomb-threat/articleshow/113938241.cms,False,2024-10-04T16:33:09+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=11, tm_min=3, tm_sec=9, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI News Desk'}],TOI News Desk,{'name': 'TOI News Desk'},Times of India,Bangalore,,,,2024-10-04 11:13:15.170476
Congress govt targeting Savarkar to divert public attention from MUDA 'scam': BJP,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': ""Congress govt targeting Savarkar to divert public attention from MUDA 'scam': BJP""}","<a href=""https://timesofindia.indiatimes.com/city/bengaluru/congress-govt-targeting-savarkar-to-divert-public-attention-from-muda-scam-bjp/articleshow/113928411.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113928411.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Karnataka BJP president B Y Vijayendra accused the Congress government of targeting nationalist figure Vinayak Damodar Savarkar to distract from the MUDA 'scam' allegations. Vijayendra condemned the Congress' diversion tactics, while Karnataka Health Minister Dinesh Gundu Rao's remarks about Savarkar's dietary habits fueled the controversy. The incident followed an FIR against CM Siddaramaiah concerning MUDA irregularities.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bengaluru/congress-govt-targeting-savarkar-to-divert-public-attention-from-muda-scam-bjp/articleshow/113928411.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113928411.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Karnataka BJP president B Y Vijayendra accused the Congress government of targeting nationalist figure Vinayak Damodar Savarkar to distract from the MUDA \'scam\' allegations. Vijayendra condemned the Congress\' diversion tactics, while Karnataka Health Minister Dinesh Gundu Rao\'s remarks about Savarkar\'s dietary habits fueled the controversy. The incident followed an FIR against CM Siddaramaiah concerning MUDA irregularities.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bengaluru/congress-govt-targeting-savarkar-to-divert-public-attention-from-muda-scam-bjp/articleshow/113928411.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113928529,imgsize-1401392.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bengaluru/congress-govt-targeting-savarkar-to-divert-public-attention-from-muda-scam-bjp/articleshow/113928411.cms,https://timesofindia.indiatimes.com/city/bengaluru/congress-govt-targeting-savarkar-to-divert-public-attention-from-muda-scam-bjp/articleshow/113928411.cms,False,2024-10-04T11:24:53+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=5, tm_min=54, tm_sec=53, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI City Desk'}],TOI City Desk,{'name': 'TOI City Desk'},Times of India,Bangalore,,,,2024-10-04 11:13:15.170476
'Should I respond to allegations made by street dogs?': HD Kumaraswamy after Bengaluru realtor files complaint,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': ""'Should I respond to allegations made by street dogs?': HD Kumaraswamy after Bengaluru realtor files complaint""}","<a href=""https://timesofindia.indiatimes.com/city/bengaluru/should-i-respond-to-allegations-made-by-street-dogs-city-realtor-files-complaint-against-hd-kumaraswamy/articleshow/113926337.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113926337.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Bengaluru police have filed an FIR against Union minister HD Kumaraswamy and former MLC Ramesh Gowda after realtor Vijay Tata alleged they demanded Rs 50 crore. Tata, who is associated with JD(S) since 2018, claims he was threatened with dire consequences if he didn't comply. Kumaraswamy dismissed the allegations as baseless.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bengaluru/should-i-respond-to-allegations-made-by-street-dogs-city-realtor-files-complaint-against-hd-kumaraswamy/articleshow/113926337.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113926337.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Bengaluru police have filed an FIR against Union minister HD Kumaraswamy and former MLC Ramesh Gowda after realtor Vijay Tata alleged they demanded Rs 50 crore. Tata, who is associated with JD(S) since 2018, claims he was threatened with dire consequences if he didn\'t comply. Kumaraswamy dismissed the allegations as baseless.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bengaluru/should-i-respond-to-allegations-made-by-street-dogs-city-realtor-files-complaint-against-hd-kumaraswamy/articleshow/113926337.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113926402,imgsize-48094.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bengaluru/should-i-respond-to-allegations-made-by-street-dogs-city-realtor-files-complaint-against-hd-kumaraswamy/articleshow/113926337.cms,https://timesofindia.indiatimes.com/city/bengaluru/should-i-respond-to-allegations-made-by-street-dogs-city-realtor-files-complaint-against-hd-kumaraswamy/articleshow/113926337.cms,False,2024-10-04T10:07:06+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=4, tm_min=37, tm_sec=6, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Bangalore,,,,2024-10-04 11:13:15.170476
405 schools left with only one teacher each in Karnataka's Raichur district,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': ""405 schools left with only one teacher each in Karnataka's Raichur district""}","<a href=""https://timesofindia.indiatimes.com/city/bengaluru/405-schools-left-with-only-one-teacher-in-karnatakas-raichur-district/articleshow/113924132.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113924132.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Raichur district faces an escalating teacher shortage crisis, exacerbated by the recent transfer of 490 teachers. This leaves 405 schools with only one permanent teacher each, severely impacting primary and high-school education. Despite promises of addressing the issue by recruiting 5,000 new teachers, no significant measures have been implemented yet.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bengaluru/405-schools-left-with-only-one-teacher-in-karnatakas-raichur-district/articleshow/113924132.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113924132.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Raichur district faces an escalating teacher shortage crisis, exacerbated by the recent transfer of 490 teachers. This leaves 405 schools with only one permanent teacher each, severely impacting primary and high-school education. Despite promises of addressing the issue by recruiting 5,000 new teachers, no significant measures have been implemented yet.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bengaluru/405-schools-left-with-only-one-teacher-in-karnatakas-raichur-district/articleshow/113924132.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113924266,imgsize-14970.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bengaluru/405-schools-left-with-only-one-teacher-in-karnatakas-raichur-district/articleshow/113924132.cms,https://timesofindia.indiatimes.com/city/bengaluru/405-schools-left-with-only-one-teacher-in-karnatakas-raichur-district/articleshow/113924132.cms,False,2024-10-04T08:58:36+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=3, tm_min=28, tm_sec=36, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Bangalore,,,,2024-10-04 11:13:15.170476
Consider plea to swap demonetized notes: Karnataka high court,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': 'Consider plea to swap demonetized notes: Karnataka high court'}","<a href=""https://timesofindia.indiatimes.com/city/bengaluru/karnataka-high-court-directs-government-to-consider-exchange-of-seized-demonetized-notes/articleshow/113917840.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917840.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bengaluru/karnataka-high-court-directs-government-to-consider-exchange-of-seized-demonetized-notes/articleshow/113917840.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917840.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bengaluru/karnataka-high-court-directs-government-to-consider-exchange-of-seized-demonetized-notes/articleshow/113917840.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917836,imgsize-39846.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bengaluru/karnataka-high-court-directs-government-to-consider-exchange-of-seized-demonetized-notes/articleshow/113917840.cms,https://timesofindia.indiatimes.com/city/bengaluru/karnataka-high-court-directs-government-to-consider-exchange-of-seized-demonetized-notes/articleshow/113917840.cms,False,2024-10-04T00:12:42+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=42, tm_sec=42, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Bangalore,,,,2024-10-04 11:13:15.170476
Disruption in pumping ops may affect water supply today,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': 'Disruption in pumping ops may affect water supply today'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bengaluru/heavy-rain-disrupts-water-supply-in-bengaluru-pumping-operations-halted-for-10-hours/articleshow/113917800.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917800,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bengaluru/heavy-rain-disrupts-water-supply-in-bengaluru-pumping-operations-halted-for-10-hours/articleshow/113917800.cms,https://timesofindia.indiatimes.com/city/bengaluru/heavy-rain-disrupts-water-supply-in-bengaluru-pumping-operations-halted-for-10-hours/articleshow/113917800.cms,False,2024-10-04T00:09:49+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=39, tm_sec=49, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Bangalore,,,,2024-10-04 11:13:15.170476
Kenyan woman nabbed with 1.2kg cocaine at Bengaluru airport gets bail,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': 'Kenyan woman nabbed with 1.2kg cocaine at Bengaluru airport gets bail'}","<a href=""https://timesofindia.indiatimes.com/city/bengaluru/kenyan-woman-granted-bail-after-cocaine-arrest-at-bengaluru-airport/articleshow/113917793.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917793.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bengaluru/kenyan-woman-granted-bail-after-cocaine-arrest-at-bengaluru-airport/articleshow/113917793.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917793.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bengaluru/kenyan-woman-granted-bail-after-cocaine-arrest-at-bengaluru-airport/articleshow/113917793.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917790,imgsize-6734.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bengaluru/kenyan-woman-granted-bail-after-cocaine-arrest-at-bengaluru-airport/articleshow/113917793.cms,https://timesofindia.indiatimes.com/city/bengaluru/kenyan-woman-granted-bail-after-cocaine-arrest-at-bengaluru-airport/articleshow/113917793.cms,False,2024-10-04T00:09:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=39, tm_sec=41, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Bangalore,,,,2024-10-04 11:13:15.170476
Gombe halutaite…: Thematic doll displays unravel many worlds,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': 'Gombe halutaite…: Thematic doll displays unravel many worlds'}","<a href=""https://timesofindia.indiatimes.com/city/bengaluru/gombe-habba-2023-captivating-doll-displays-bring-mythology-to-life-in-bengaluru/articleshow/113917698.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917698.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bengaluru/gombe-habba-2023-captivating-doll-displays-bring-mythology-to-life-in-bengaluru/articleshow/113917698.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917698.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bengaluru/gombe-habba-2023-captivating-doll-displays-bring-mythology-to-life-in-bengaluru/articleshow/113917698.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917645,imgsize-50868.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bengaluru/gombe-habba-2023-captivating-doll-displays-bring-mythology-to-life-in-bengaluru/articleshow/113917698.cms,https://timesofindia.indiatimes.com/city/bengaluru/gombe-habba-2023-captivating-doll-displays-bring-mythology-to-life-in-bengaluru/articleshow/113917698.cms,False,2024-10-04T00:07:01+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=37, tm_sec=1, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Yashaswini'}],Yashaswini,{'name': 'Yashaswini'},Times of India,Bangalore,,,,2024-10-04 11:13:15.170476
Over 63 canine squads in Bengaluru work towards protecting animals,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': 'Over 63 canine squads in Bengaluru work towards protecting animals'}","<a href=""https://timesofindia.indiatimes.com/city/bengaluru/over-63-canine-squads-in-bengaluru-work-towards-protecting-animals/articleshow/113904682.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113904682.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The first-ever squad to be formed in Bengaluru was the Cubbon Park Canines. Then came the Cunningham Canine Squad. Today, there are 63 more squads in the city","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bengaluru/over-63-canine-squads-in-bengaluru-work-towards-protecting-animals/articleshow/113904682.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113904682.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The first-ever squad to be formed in Bengaluru was the Cubbon Park Canines. Then came the Cunningham Canine Squad. Today, there are 63 more squads in the city'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bengaluru/over-63-canine-squads-in-bengaluru-work-towards-protecting-animals/articleshow/113904682.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113904682,imgsize-211768.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bengaluru/over-63-canine-squads-in-bengaluru-work-towards-protecting-animals/articleshow/113904682.cms,https://timesofindia.indiatimes.com/city/bengaluru/over-63-canine-squads-in-bengaluru-work-towards-protecting-animals/articleshow/113904682.cms,False,2024-10-04T00:00:00+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=30, tm_sec=0, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Devika V Menon'}],Devika V Menon,{'name': 'Devika V Menon'},Times of India,Bangalore,,,,2024-10-04 11:13:15.170476
"Social media is empowering, but it’s also alienating: Ranjit Barot","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': 'Social media is empowering, but it’s also alienating: Ranjit Barot'}","<a href=""https://timesofindia.indiatimes.com/city/bengaluru/social-media-is-empowering-but-its-also-alienating-ranjit-barot/articleshow/113905422.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113905422.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>In conversation with ace percussionist, drummer and music composer Ranjit Barot","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bengaluru/social-media-is-empowering-but-its-also-alienating-ranjit-barot/articleshow/113905422.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113905422.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>In conversation with ace percussionist, drummer and music composer Ranjit Barot'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bengaluru/social-media-is-empowering-but-its-also-alienating-ranjit-barot/articleshow/113905422.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113905242,imgsize-63216.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bengaluru/social-media-is-empowering-but-its-also-alienating-ranjit-barot/articleshow/113905422.cms,https://timesofindia.indiatimes.com/city/bengaluru/social-media-is-empowering-but-its-also-alienating-ranjit-barot/articleshow/113905422.cms,False,2024-10-04T00:00:00+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=30, tm_sec=0, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Anna Fernandes'}],Anna Fernandes,{'name': 'Anna Fernandes'},Times of India,Bangalore,,,,2024-10-04 11:13:15.170476
