title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
35-yr-old held for stalking woman,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': '35-yr-old held for stalking woman'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bhubaneswar/35-year-old-man-arrested-for-stalking-ex-girlfriend-with-gps-tracker/articleshow/113920734.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920734,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bhubaneswar/35-year-old-man-arrested-for-stalking-ex-girlfriend-with-gps-tracker/articleshow/113920734.cms,https://timesofindia.indiatimes.com/city/bhubaneswar/35-year-old-man-arrested-for-stalking-ex-girlfriend-with-gps-tracker/articleshow/113920734.cms,False,2024-10-04T04:32:06+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=23, tm_min=2, tm_sec=6, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Bhubaneswar,,,,2024-10-04 11:13:16.352273
"Doc, cops under scanner for delay in autopsy report","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': 'Doc, cops under scanner for delay in autopsy report'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bhubaneswar/investigation-launched-into-delay-of-autopsy-report-in-odisha-rape-and-murder-case/articleshow/113920705.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920705,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bhubaneswar/investigation-launched-into-delay-of-autopsy-report-in-odisha-rape-and-murder-case/articleshow/113920705.cms,https://timesofindia.indiatimes.com/city/bhubaneswar/investigation-launched-into-delay-of-autopsy-report-in-odisha-rape-and-murder-case/articleshow/113920705.cms,False,2024-10-04T04:31:14+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=23, tm_min=1, tm_sec=14, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Debabrata Mohapatra'}],Debabrata Mohapatra,{'name': 'Debabrata Mohapatra'},Times of India,Bhubaneswar,,,,2024-10-04 11:13:16.352273
Police to conduct campaigns on safety measures for puja,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': 'Police to conduct campaigns on safety measures for puja'}","<a href=""https://timesofindia.indiatimes.com/city/bhubaneswar/police-launch-safety-campaigns-for-durga-puja-in-bhubaneswar/articleshow/113920657.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113920657.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bhubaneswar/police-launch-safety-campaigns-for-durga-puja-in-bhubaneswar/articleshow/113920657.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113920657.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bhubaneswar/police-launch-safety-campaigns-for-durga-puja-in-bhubaneswar/articleshow/113920657.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920652,imgsize-15198.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bhubaneswar/police-launch-safety-campaigns-for-durga-puja-in-bhubaneswar/articleshow/113920657.cms,https://timesofindia.indiatimes.com/city/bhubaneswar/police-launch-safety-campaigns-for-durga-puja-in-bhubaneswar/articleshow/113920657.cms,False,2024-10-04T04:29:59+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=59, tm_sec=59, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Debabrata Mohapatra'}],Debabrata Mohapatra,{'name': 'Debabrata Mohapatra'},Times of India,Bhubaneswar,,,,2024-10-04 11:13:16.352273
BJD: Raj Bhavan a political war room,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': 'BJD: Raj Bhavan a political war room'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bhubaneswar/bjd-accuses-bjp-of-politicizing-raj-bhavan-amid-jharkhand-elections/articleshow/113920647.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920647,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bhubaneswar/bjd-accuses-bjp-of-politicizing-raj-bhavan-amid-jharkhand-elections/articleshow/113920647.cms,https://timesofindia.indiatimes.com/city/bhubaneswar/bjd-accuses-bjp-of-politicizing-raj-bhavan-amid-jharkhand-elections/articleshow/113920647.cms,False,2024-10-04T04:29:43+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=59, tm_sec=43, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Sandip Mishra'}],Sandip Mishra,{'name': 'Sandip Mishra'},Times of India,Bhubaneswar,,,,2024-10-04 11:13:16.352273
Railways begins Kavach system installation,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': 'Railways begins Kavach system installation'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bhubaneswar/indian-railways-launches-kavach-safety-system-installation-to-prevent-train-accidents/articleshow/113920644.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920644,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bhubaneswar/indian-railways-launches-kavach-safety-system-installation-to-prevent-train-accidents/articleshow/113920644.cms,https://timesofindia.indiatimes.com/city/bhubaneswar/indian-railways-launches-kavach-safety-system-installation-to-prevent-train-accidents/articleshow/113920644.cms,False,2024-10-04T04:29:35+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=59, tm_sec=35, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Bhubaneswar,,,,2024-10-04 11:13:16.352273
Rai relieved from post at Startup Odisha,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': 'Rai relieved from post at Startup Odisha'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bhubaneswar/omkar-rai-relieved-as-executive-chairman-of-startup-odisha-amid-scrutiny/articleshow/113920642.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920642,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bhubaneswar/omkar-rai-relieved-as-executive-chairman-of-startup-odisha-amid-scrutiny/articleshow/113920642.cms,https://timesofindia.indiatimes.com/city/bhubaneswar/omkar-rai-relieved-as-executive-chairman-of-startup-odisha-amid-scrutiny/articleshow/113920642.cms,False,2024-10-04T04:29:26+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=59, tm_sec=26, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Bhubaneswar,,,,2024-10-04 11:13:16.352273
Students demand offline exams for RI post,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': 'Students demand offline exams for RI post'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bhubaneswar/students-stage-protests-demanding-offline-exams-for-revenue-inspector-posts-in-odisha/articleshow/113920523.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920523,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bhubaneswar/students-stage-protests-demanding-offline-exams-for-revenue-inspector-posts-in-odisha/articleshow/113920523.cms,https://timesofindia.indiatimes.com/city/bhubaneswar/students-stage-protests-demanding-offline-exams-for-revenue-inspector-posts-in-odisha/articleshow/113920523.cms,False,2024-10-04T04:26:38+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=56, tm_sec=38, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Bhubaneswar,,,,2024-10-04 11:13:16.352273
"Two miscreants assault woman, steal ₹3.25 lakh","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': 'Two miscreants assault woman, steal ₹3.25 lakh'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bhubaneswar/bhubaneswar-woman-assaulted-325-lakh-snatched-by-bike-borne-thieves/articleshow/113920457.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920457,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bhubaneswar/bhubaneswar-woman-assaulted-325-lakh-snatched-by-bike-borne-thieves/articleshow/113920457.cms,https://timesofindia.indiatimes.com/city/bhubaneswar/bhubaneswar-woman-assaulted-325-lakh-snatched-by-bike-borne-thieves/articleshow/113920457.cms,False,2024-10-04T04:25:03+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=55, tm_sec=3, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Bhubaneswar,,,,2024-10-04 11:13:16.352273
Siddhartha Pati gets Biju Patnaik Wildlife Conservation Award,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': 'Siddhartha Pati gets Biju Patnaik Wildlife Conservation Award'}","<a href=""https://timesofindia.indiatimes.com/city/bhubaneswar/siddhartha-pati-gets-biju-patnaik-wildlife-conservation-award/articleshow/113915368.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113915368.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Siddhartha Pati, 35, honored with the Biju Patnaik Wildlife Conservation Award 2024 for his horseshoe crab conservation in Odisha. Pati, leading projects since 2015 and now executive director of ABCR, focuses on breeding and raising awareness about the biomedical and ecological importance of these crabs.","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bhubaneswar/siddhartha-pati-gets-biju-patnaik-wildlife-conservation-award/articleshow/113915368.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113915368.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Siddhartha Pati, 35, honored with the Biju Patnaik Wildlife Conservation Award 2024 for his horseshoe crab conservation in Odisha. Pati, leading projects since 2015 and now executive director of ABCR, focuses on breeding and raising awareness about the biomedical and ecological importance of these crabs.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bhubaneswar/siddhartha-pati-gets-biju-patnaik-wildlife-conservation-award/articleshow/113915368.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113915392,imgsize-1141158.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bhubaneswar/siddhartha-pati-gets-biju-patnaik-wildlife-conservation-award/articleshow/113915368.cms,https://timesofindia.indiatimes.com/city/bhubaneswar/siddhartha-pati-gets-biju-patnaik-wildlife-conservation-award/articleshow/113915368.cms,False,2024-10-03T21:55:38+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=16, tm_min=25, tm_sec=38, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Hemanta Pradhan and Ashis Senapati'}],Hemanta Pradhan and Ashis Senapati,{'name': 'Hemanta Pradhan and Ashis Senapati'},Times of India,Bhubaneswar,,,,2024-10-04 11:13:16.352273
CM Mohan Majhi highlights Odisha’s minerals and skilled workforce at Delhi meet,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': 'CM Mohan Majhi highlights Odisha’s minerals and skilled workforce at Delhi meet'}","<a href=""https://timesofindia.indiatimes.com/city/bhubaneswar/cm-mohan-majhi-highlights-odishas-minerals-and-skilled-workforce-at-delhi-meet/articleshow/113915076.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113915076.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Chief minister Mohan Majhi promoted Odisha to international envoys as an ideal investment destination due to its rich mineral resources, skilled workforce, and strategic location. He emphasized the state’s infrastructure, diverse economy, and human capital development, highlighting the upcoming Make in Odisha Conclave 2025.","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/4118235.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/bhubaneswar/cm-mohan-majhi-highlights-odishas-minerals-and-skilled-workforce-at-delhi-meet/articleshow/113915076.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113915076.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Chief minister Mohan Majhi promoted Odisha to international envoys as an ideal investment destination due to its rich mineral resources, skilled workforce, and strategic location. He emphasized the state’s infrastructure, diverse economy, and human capital development, highlighting the upcoming Make in Odisha Conclave 2025.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/bhubaneswar/cm-mohan-majhi-highlights-odishas-minerals-and-skilled-workforce-at-delhi-meet/articleshow/113915076.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113915118,imgsize-1038845.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/bhubaneswar/cm-mohan-majhi-highlights-odishas-minerals-and-skilled-workforce-at-delhi-meet/articleshow/113915076.cms,https://timesofindia.indiatimes.com/city/bhubaneswar/cm-mohan-majhi-highlights-odishas-minerals-and-skilled-workforce-at-delhi-meet/articleshow/113915076.cms,False,2024-10-03T21:40:33+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=16, tm_min=10, tm_sec=33, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Ashok Pradhan'}],Ashok Pradhan,{'name': 'Ashok Pradhan'},Times of India,Bhubaneswar,,,,2024-10-04 11:13:16.352273
