title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
Security lapse: HC orders probe of Amritsar incident by Haryana cadre IPS officer,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': 'Security lapse: HC orders probe of Amritsar incident by Haryana cadre IPS officer'}","<a href=""https://timesofindia.indiatimes.com/city/chandigarh/security-lapse-hc-orders-probe-of-amritsar-incident-by-haryana-cadre-ips-officer/articleshow/113939151.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113939151.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Punjab and Haryana High Court has appointed IPS officer Manisha Chaudhary to investigate the suicide incident outside the Golden Temple involving an ASI's pistol. Chaudhary, currently AIG in Haryana police, will conduct a fair and impartial probe, submitting weekly reports. The court clarified its earlier comments on Punjab police's security lapse.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/chandigarh/security-lapse-hc-orders-probe-of-amritsar-incident-by-haryana-cadre-ips-officer/articleshow/113939151.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113939151.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Punjab and Haryana High Court has appointed IPS officer Manisha Chaudhary to investigate the suicide incident outside the Golden Temple involving an ASI\'s pistol. Chaudhary, currently AIG in Haryana police, will conduct a fair and impartial probe, submitting weekly reports. The court clarified its earlier comments on Punjab police\'s security lapse.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chandigarh/security-lapse-hc-orders-probe-of-amritsar-incident-by-haryana-cadre-ips-officer/articleshow/113939151.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113939481,imgsize-20380.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chandigarh/security-lapse-hc-orders-probe-of-amritsar-incident-by-haryana-cadre-ips-officer/articleshow/113939151.cms,https://timesofindia.indiatimes.com/city/chandigarh/security-lapse-hc-orders-probe-of-amritsar-incident-by-haryana-cadre-ips-officer/articleshow/113939151.cms,False,2024-10-04T16:36:39+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=11, tm_min=6, tm_sec=39, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Ajay Sura'}],Ajay Sura,{'name': 'Ajay Sura'},Times of India,Chandigarh,,,,2024-10-04 11:13:17.767920
"Kolkata, Punjab, Delhi and Mumbai: ED conducts raids in 'high-profile' chit fund scam probe","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': ""Kolkata, Punjab, Delhi and Mumbai: ED conducts raids in 'high-profile' chit fund scam probe""}","<a href=""https://timesofindia.indiatimes.com/city/chandigarh/kolkata-punjab-delhi-and-mumbai-ed-conducts-raids-in-high-profile-chit-fund-scam-probe/articleshow/113931893.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113931893.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Enforcement Directorate launched extensive raids across Kolkata, Punjab, Delhi, and Mumbai on Friday morning in connection with a chit fund scam. The case involves money laundering allegations where a chit fund company allegedly failed to repay investors and misappropriated funds.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/chandigarh/kolkata-punjab-delhi-and-mumbai-ed-conducts-raids-in-high-profile-chit-fund-scam-probe/articleshow/113931893.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113931893.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Enforcement Directorate launched extensive raids across Kolkata, Punjab, Delhi, and Mumbai on Friday morning in connection with a chit fund scam. The case involves money laundering allegations where a chit fund company allegedly failed to repay investors and misappropriated funds.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chandigarh/kolkata-punjab-delhi-and-mumbai-ed-conducts-raids-in-high-profile-chit-fund-scam-probe/articleshow/113931893.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113931527,imgsize-496086.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chandigarh/kolkata-punjab-delhi-and-mumbai-ed-conducts-raids-in-high-profile-chit-fund-scam-probe/articleshow/113931893.cms,https://timesofindia.indiatimes.com/city/chandigarh/kolkata-punjab-delhi-and-mumbai-ed-conducts-raids-in-high-profile-chit-fund-scam-probe/articleshow/113931893.cms,False,2024-10-04T13:01:12+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=7, tm_min=31, tm_sec=12, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI City Desk'}],TOI City Desk,{'name': 'TOI City Desk'},Times of India,Chandigarh,,,,2024-10-04 11:13:17.767920
Seechewal’s 5th unanimous election,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': 'Seechewal’s 5th unanimous election'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chandigarh/buta-singh-unanimously-elected-as-sarpanch-in-seechewals-historic-5th-term/articleshow/113920700.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920700,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chandigarh/buta-singh-unanimously-elected-as-sarpanch-in-seechewals-historic-5th-term/articleshow/113920700.cms,https://timesofindia.indiatimes.com/city/chandigarh/buta-singh-unanimously-elected-as-sarpanch-in-seechewals-historic-5th-term/articleshow/113920700.cms,False,2024-10-04T04:30:58+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=23, tm_min=0, tm_sec=58, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Chandigarh,,,,2024-10-04 11:13:17.767920
Mansa Devi sees major rush on Day 1 of Navratra,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': 'Mansa Devi sees major rush on Day 1 of Navratra'}","<a href=""https://timesofindia.indiatimes.com/city/chandigarh/massive-turnout-of-devotees-at-mata-mansa-devi-temple-on-navratri-day-1/articleshow/113920670.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113920670.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/chandigarh/massive-turnout-of-devotees-at-mata-mansa-devi-temple-on-navratri-day-1/articleshow/113920670.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113920670.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chandigarh/massive-turnout-of-devotees-at-mata-mansa-devi-temple-on-navratri-day-1/articleshow/113920670.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920667,imgsize-64962.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chandigarh/massive-turnout-of-devotees-at-mata-mansa-devi-temple-on-navratri-day-1/articleshow/113920670.cms,https://timesofindia.indiatimes.com/city/chandigarh/massive-turnout-of-devotees-at-mata-mansa-devi-temple-on-navratri-day-1/articleshow/113920670.cms,False,2024-10-04T04:30:15+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=23, tm_min=0, tm_sec=15, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Chandigarh,,,,2024-10-04 11:13:17.767920
Done with work to select teachers for Finland: Bains,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': 'Done with work to select teachers for Finland: Bains'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chandigarh/punjab-government-completes-selection-of-72-teachers-for-training-in-finland/articleshow/113920635.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920635,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chandigarh/punjab-government-completes-selection-of-72-teachers-for-training-in-finland/articleshow/113920635.cms,https://timesofindia.indiatimes.com/city/chandigarh/punjab-government-completes-selection-of-72-teachers-for-training-in-finland/articleshow/113920635.cms,False,2024-10-04T04:29:15+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=59, tm_sec=15, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Chandigarh,,,,2024-10-04 11:13:17.767920
"Do you have budget for study tour, UT asks fund-starved MC","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': 'Do you have budget for study tour, UT asks fund-starved MC'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chandigarh/chandigarh-mayors-study-tour-plans-questioned-amid-financial-crisis/articleshow/113920632.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920632,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chandigarh/chandigarh-mayors-study-tour-plans-questioned-amid-financial-crisis/articleshow/113920632.cms,https://timesofindia.indiatimes.com/city/chandigarh/chandigarh-mayors-study-tour-plans-questioned-amid-financial-crisis/articleshow/113920632.cms,False,2024-10-04T04:29:12+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=59, tm_sec=12, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Deepak Yadav'}],Deepak Yadav,{'name': 'Deepak Yadav'},Times of India,Chandigarh,,,,2024-10-04 11:13:17.767920
U’khand guv bats for Agnipathin meeting with ex-servicemen,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': 'U’khand guv bats for Agnipathin meeting with ex-servicemen'}","<a href=""https://timesofindia.indiatimes.com/city/chandigarh/uttarakhand-governor-advocates-for-agnipath-scheme-during-meeting-with-ex-servicemen/articleshow/113920627.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113920627.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/chandigarh/uttarakhand-governor-advocates-for-agnipath-scheme-during-meeting-with-ex-servicemen/articleshow/113920627.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113920627.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chandigarh/uttarakhand-governor-advocates-for-agnipath-scheme-during-meeting-with-ex-servicemen/articleshow/113920627.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920624,imgsize-21736.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chandigarh/uttarakhand-governor-advocates-for-agnipath-scheme-during-meeting-with-ex-servicemen/articleshow/113920627.cms,https://timesofindia.indiatimes.com/city/chandigarh/uttarakhand-governor-advocates-for-agnipath-scheme-during-meeting-with-ex-servicemen/articleshow/113920627.cms,False,2024-10-04T04:29:05+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=59, tm_sec=5, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Chandigarh,,,,2024-10-04 11:13:17.767920
"CM: Cong lies to grab power, then loots with both hands","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': 'CM: Cong lies to grab power, then loots with both hands'}","<a href=""https://timesofindia.indiatimes.com/city/chandigarh/haryana-cm-accuses-congress-of-lies-and-corruption-ahead-of-assembly-elections/articleshow/113920623.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113920623.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/chandigarh/haryana-cm-accuses-congress-of-lies-and-corruption-ahead-of-assembly-elections/articleshow/113920623.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113920623.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chandigarh/haryana-cm-accuses-congress-of-lies-and-corruption-ahead-of-assembly-elections/articleshow/113920623.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920622,imgsize-7434.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chandigarh/haryana-cm-accuses-congress-of-lies-and-corruption-ahead-of-assembly-elections/articleshow/113920623.cms,https://timesofindia.indiatimes.com/city/chandigarh/haryana-cm-accuses-congress-of-lies-and-corruption-ahead-of-assembly-elections/articleshow/113920623.cms,False,2024-10-04T04:29:01+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=59, tm_sec=1, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Chandigarh,,,,2024-10-04 11:13:17.767920
Haryana extends procurement of kharif crop deadline till Nov 15,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': 'Haryana extends procurement of kharif crop deadline till Nov 15'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chandigarh/haryana-extends-kharif-crop-procurement-deadline-to-november-15-amid-ongoing-farmer-concerns/articleshow/113920609.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920609,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chandigarh/haryana-extends-kharif-crop-procurement-deadline-to-november-15-amid-ongoing-farmer-concerns/articleshow/113920609.cms,https://timesofindia.indiatimes.com/city/chandigarh/haryana-extends-kharif-crop-procurement-deadline-to-november-15-amid-ongoing-farmer-concerns/articleshow/113920609.cms,False,2024-10-04T04:28:37+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=58, tm_sec=37, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Chandigarh,,,,2024-10-04 11:13:17.767920
"Breather for govt, farmers: Arhtiyas to participate in Basmati purchase","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': 'Breather for govt, farmers: Arhtiyas to participate in Basmati purchase'}","<a href=""https://timesofindia.indiatimes.com/city/chandigarh/major-breakthrough-arhtiyas-to-join-basmati-rice-and-cotton-procurement-in-punjab/articleshow/113920607.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113920607.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>In a partial relief for Punjab, commission agents, or arhtiyas, will continue to buy Basmati rice and cotton, though they are still boycotting paddy procurement by state agencies. This decision followed a meeting with state officials. Mandi laborers remain on strike but will reassess their position on Friday, demanding better pay and conditions.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816762.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/chandigarh/major-breakthrough-arhtiyas-to-join-basmati-rice-and-cotton-procurement-in-punjab/articleshow/113920607.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113920607.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>In a partial relief for Punjab, commission agents, or arhtiyas, will continue to buy Basmati rice and cotton, though they are still boycotting paddy procurement by state agencies. This decision followed a meeting with state officials. Mandi laborers remain on strike but will reassess their position on Friday, demanding better pay and conditions.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chandigarh/major-breakthrough-arhtiyas-to-join-basmati-rice-and-cotton-procurement-in-punjab/articleshow/113920607.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113920605,imgsize-14154.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chandigarh/major-breakthrough-arhtiyas-to-join-basmati-rice-and-cotton-procurement-in-punjab/articleshow/113920607.cms,https://timesofindia.indiatimes.com/city/chandigarh/major-breakthrough-arhtiyas-to-join-basmati-rice-and-cotton-procurement-in-punjab/articleshow/113920607.cms,False,2024-10-04T04:28:33+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=22, tm_min=58, tm_sec=33, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Vibhor Mohan'}],Vibhor Mohan,{'name': 'Vibhor Mohan'},Times of India,Chandigarh,,,,2024-10-04 11:13:17.767920
