title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
"Stalin presents Kalaignar Memorial Kalaithurai Vithagar awards to P Susheela, Mu Metha","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': 'Stalin presents Kalaignar Memorial Kalaithurai Vithagar awards to P Susheela, Mu Metha'}","<a href=""https://timesofindia.indiatimes.com/city/chennai/stalin-presents-kalaignar-memorial-kalaithurai-vithagar-awards-to-p-susheela-mu-metha/articleshow/113943501.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113943501.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/chennai/stalin-presents-kalaignar-memorial-kalaithurai-vithagar-awards-to-p-susheela-mu-metha/articleshow/113943501.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113943501.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chennai/stalin-presents-kalaignar-memorial-kalaithurai-vithagar-awards-to-p-susheela-mu-metha/articleshow/113943501.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113943671,imgsize-1573846.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chennai/stalin-presents-kalaignar-memorial-kalaithurai-vithagar-awards-to-p-susheela-mu-metha/articleshow/113943501.cms,https://timesofindia.indiatimes.com/city/chennai/stalin-presents-kalaignar-memorial-kalaithurai-vithagar-awards-to-p-susheela-mu-metha/articleshow/113943501.cms,False,2024-10-04T18:55:56+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=13, tm_min=25, tm_sec=56, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Padmini Sivarajah'}],Padmini Sivarajah,{'name': 'Padmini Sivarajah'},Times of India,Chennai,,,,2024-10-04 11:13:15.763697
Minister orders action against absentee doctors during surprise inspection in Sulur govt hospital,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': 'Minister orders action against absentee doctors during surprise inspection in Sulur govt hospital'}","<a href=""https://timesofindia.indiatimes.com/city/chennai/minister-orders-action-against-absentee-doctors-during-surprise-inspection-in-sulur-govt-hospital/articleshow/113941813.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113941813.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/chennai/minister-orders-action-against-absentee-doctors-during-surprise-inspection-in-sulur-govt-hospital/articleshow/113941813.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113941813.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chennai/minister-orders-action-against-absentee-doctors-during-surprise-inspection-in-sulur-govt-hospital/articleshow/113941813.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113942974,imgsize-1342219.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chennai/minister-orders-action-against-absentee-doctors-during-surprise-inspection-in-sulur-govt-hospital/articleshow/113941813.cms,https://timesofindia.indiatimes.com/city/chennai/minister-orders-action-against-absentee-doctors-during-surprise-inspection-in-sulur-govt-hospital/articleshow/113941813.cms,False,2024-10-04T17:59:17+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=12, tm_min=29, tm_sec=17, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Sakthivel K'}],Sakthivel K,{'name': 'Sakthivel K'},Times of India,Chennai,,,,2024-10-04 11:13:15.763697
Climate change impacts women in developing regions particularly: Sowmiya Anbumani,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': 'Climate change impacts women in developing regions particularly: Sowmiya Anbumani'}","<a href=""https://timesofindia.indiatimes.com/city/chennai/climate-change-impacts-women-in-developing-regions-particularly-sowmiya-anbumani/articleshow/113939130.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113939130.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/chennai/climate-change-impacts-women-in-developing-regions-particularly-sowmiya-anbumani/articleshow/113939130.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113939130.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chennai/climate-change-impacts-women-in-developing-regions-particularly-sowmiya-anbumani/articleshow/113939130.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113939091,imgsize-1310860.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chennai/climate-change-impacts-women-in-developing-regions-particularly-sowmiya-anbumani/articleshow/113939130.cms,https://timesofindia.indiatimes.com/city/chennai/climate-change-impacts-women-in-developing-regions-particularly-sowmiya-anbumani/articleshow/113939130.cms,False,2024-10-04T16:24:45+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=10, tm_min=54, tm_sec=45, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Bosco Dominique'}],Bosco Dominique,{'name': 'Bosco Dominique'},Times of India,Chennai,,,,2024-10-04 11:13:15.763697
Several schools in Tamil Nadu receive bomb threats through email,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': 'Several schools in Tamil Nadu receive bomb threats through email'}","<a href=""https://timesofindia.indiatimes.com/city/chennai/several-schools-in-tamil-nadu-receive-bomb-threats-through-email/articleshow/113931075.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113931075.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/chennai/several-schools-in-tamil-nadu-receive-bomb-threats-through-email/articleshow/113931075.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113931075.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chennai/several-schools-in-tamil-nadu-receive-bomb-threats-through-email/articleshow/113931075.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113931074,imgsize-1345529.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chennai/several-schools-in-tamil-nadu-receive-bomb-threats-through-email/articleshow/113931075.cms,https://timesofindia.indiatimes.com/city/chennai/several-schools-in-tamil-nadu-receive-bomb-threats-through-email/articleshow/113931075.cms,False,2024-10-04T12:42:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=7, tm_min=12, tm_sec=41, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI City Desk'}],TOI City Desk,{'name': 'TOI City Desk'},Times of India,Chennai,,,,2024-10-04 11:13:15.763697
Rajinikanth discharged from hospital in Chennai,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': 'Rajinikanth discharged from hospital in Chennai'}","<a href=""https://timesofindia.indiatimes.com/city/chennai/rajnikanth-discharged-from-hospital-in-chennai/articleshow/113923257.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113923257.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Superstar Rajinikanth, who experienced severe stomach pain, was admitted to Apollo Hospitals, Chennai on September 30, 2024. He was treated for a swelling in his aorta using a non-surgical, transcatheter method and was subsequently discharged on Friday, according to TV reports.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/chennai/rajnikanth-discharged-from-hospital-in-chennai/articleshow/113923257.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113923257.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Superstar Rajinikanth, who experienced severe stomach pain, was admitted to Apollo Hospitals, Chennai on September 30, 2024. He was treated for a swelling in his aorta using a non-surgical, transcatheter method and was subsequently discharged on Friday, according to TV reports.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chennai/rajnikanth-discharged-from-hospital-in-chennai/articleshow/113923257.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113923356,imgsize-39452.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chennai/rajnikanth-discharged-from-hospital-in-chennai/articleshow/113923257.cms,https://timesofindia.indiatimes.com/city/chennai/rajnikanth-discharged-from-hospital-in-chennai/articleshow/113923257.cms,False,2024-10-04T08:36:16+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=3, tm_min=6, tm_sec=16, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI City Desk'}],TOI City Desk,{'name': 'TOI City Desk'},Times of India,Chennai,,,,2024-10-04 11:13:15.763697
Delay in smart meter programme cripples electricity consumers and how,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': 'Delay in smart meter programme cripples electricity consumers and how'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chennai/chennais-smart-meter-program-delay-consumers-face-heavy-charges-and-confusion/articleshow/113917890.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917890,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chennai/chennais-smart-meter-program-delay-consumers-face-heavy-charges-and-confusion/articleshow/113917890.cms,https://timesofindia.indiatimes.com/city/chennai/chennais-smart-meter-program-delay-consumers-face-heavy-charges-and-confusion/articleshow/113917890.cms,False,2024-10-04T00:16:10+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=46, tm_sec=10, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Venkadesan S'}],Venkadesan S,{'name': 'Venkadesan S'},Times of India,Chennai,,,,2024-10-04 11:13:15.763697
Heal with a Horse: Why Adults and Children Are Turning to Equine Therapy,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': 'Heal with a Horse: Why Adults and Children Are Turning to Equine Therapy'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chennai/unlock-emotional-healing-the-transformative-power-of-equine-therapy-for-all-ages/articleshow/113917253.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917253,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chennai/unlock-emotional-healing-the-transformative-power-of-equine-therapy-for-all-ages/articleshow/113917253.cms,https://timesofindia.indiatimes.com/city/chennai/unlock-emotional-healing-the-transformative-power-of-equine-therapy-for-all-ages/articleshow/113917253.cms,False,2024-10-03T23:57:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=27, tm_sec=41, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Chennai,,,,2024-10-04 11:13:15.763697
Connectivity boosts house sales by 6%,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': 'Connectivity boosts house sales by 6%'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chennai/chennai-housing-market-sees-6-growth-driven-by-connectivity-and-family-friendly-features/articleshow/113917254.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917254,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chennai/chennai-housing-market-sees-6-growth-driven-by-connectivity-and-family-friendly-features/articleshow/113917254.cms,https://timesofindia.indiatimes.com/city/chennai/chennai-housing-market-sees-6-growth-driven-by-connectivity-and-family-friendly-features/articleshow/113917254.cms,False,2024-10-03T23:57:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=27, tm_sec=41, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Vivek Narayanan'}],Vivek Narayanan,{'name': 'Vivek Narayanan'},Times of India,Chennai,,,,2024-10-04 11:13:15.763697
"Youth slips off moving train, dies","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': 'Youth slips off moving train, dies'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chennai/tragic-accident-youth-falls-from-train-and-dies-at-chennai-station/articleshow/113917201.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917201,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chennai/tragic-accident-youth-falls-from-train-and-dies-at-chennai-station/articleshow/113917201.cms,https://timesofindia.indiatimes.com/city/chennai/tragic-accident-youth-falls-from-train-and-dies-at-chennai-station/articleshow/113917201.cms,False,2024-10-03T23:54:56+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=24, tm_sec=56, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Chennai,,,,2024-10-04 11:13:15.763697
IIT-M to train ‘cyber commandos’ to strengthen security,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': 'IIT-M to train ‘cyber commandos’ to strengthen security'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/2950623.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/chennai/iit-madras-launches-training-program-for-cyber-commandos-to-combat-cyber-threats/articleshow/113917197.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917197,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/chennai/iit-madras-launches-training-program-for-cyber-commandos-to-combat-cyber-threats/articleshow/113917197.cms,https://timesofindia.indiatimes.com/city/chennai/iit-madras-launches-training-program-for-cyber-commandos-to-combat-cyber-threats/articleshow/113917197.cms,False,2024-10-03T23:54:48+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=24, tm_sec=48, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Chennai,,,,2024-10-04 11:13:15.763697
