title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
Minister orders action against absentee doctors during surprise inspection in Sulur govt hospital,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': 'Minister orders action against absentee doctors during surprise inspection in Sulur govt hospital'}","<a href=""https://timesofindia.indiatimes.com/city/coimbatore/minister-orders-action-against-absentee-doctors-during-surprise-inspection-in-sulur-govt-hospital/articleshow/113941811.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113941811.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/coimbatore/minister-orders-action-against-absentee-doctors-during-surprise-inspection-in-sulur-govt-hospital/articleshow/113941811.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113941811.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/coimbatore/minister-orders-action-against-absentee-doctors-during-surprise-inspection-in-sulur-govt-hospital/articleshow/113941811.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113942974,imgsize-1342219.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/coimbatore/minister-orders-action-against-absentee-doctors-during-surprise-inspection-in-sulur-govt-hospital/articleshow/113941811.cms,https://timesofindia.indiatimes.com/city/coimbatore/minister-orders-action-against-absentee-doctors-during-surprise-inspection-in-sulur-govt-hospital/articleshow/113941811.cms,False,2024-10-04T17:59:17+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=12, tm_min=29, tm_sec=17, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Sakthivel K'}],Sakthivel K,{'name': 'Sakthivel K'},Times of India,Coimbatore,,,,2024-10-04 11:13:17.201832
Kerala police seek custody of accused involved in Thrissur ATM heist,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': 'Kerala police seek custody of accused involved in Thrissur ATM heist'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/coimbatore/thrissur-atm-heist-kerala-police-seek-custody-of-accused-gang-after-major-robbery-arrests/articleshow/113917437.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917437,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/coimbatore/thrissur-atm-heist-kerala-police-seek-custody-of-accused-gang-after-major-robbery-arrests/articleshow/113917437.cms,https://timesofindia.indiatimes.com/city/coimbatore/thrissur-atm-heist-kerala-police-seek-custody-of-accused-gang-after-major-robbery-arrests/articleshow/113917437.cms,False,2024-10-04T00:04:05+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=34, tm_sec=5, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Coimbatore,,,,2024-10-04 11:13:17.201832
"Officials turn footpath into paid parking lot in Ooty, draw flak","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': 'Officials turn footpath into paid parking lot in Ooty, draw flak'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/coimbatore/ooty-footpath-converted-to-paid-parking-local-outrage-ensues/articleshow/113917419.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917419,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/coimbatore/ooty-footpath-converted-to-paid-parking-local-outrage-ensues/articleshow/113917419.cms,https://timesofindia.indiatimes.com/city/coimbatore/ooty-footpath-converted-to-paid-parking-local-outrage-ensues/articleshow/113917419.cms,False,2024-10-04T00:03:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=33, tm_sec=41, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Coimbatore,,,,2024-10-04 11:13:17.201832
Ooty municipality takes over home for destitutes mired in legal issues,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': 'Ooty municipality takes over home for destitutes mired in legal issues'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/coimbatore/ooty-municipality-takes-over-destitute-home-amid-scandal-and-allegations/articleshow/113917418.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917418,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/coimbatore/ooty-municipality-takes-over-destitute-home-amid-scandal-and-allegations/articleshow/113917418.cms,https://timesofindia.indiatimes.com/city/coimbatore/ooty-municipality-takes-over-destitute-home-amid-scandal-and-allegations/articleshow/113917418.cms,False,2024-10-04T00:03:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=33, tm_sec=40, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Coimbatore,,,,2024-10-04 11:13:17.201832
DMK election coordination committee holds meeting with IT wing members,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': 'DMK election coordination committee holds meeting with IT wing members'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/coimbatore/dmk-election-committee-strategizes-for-2026-assembly-elections-with-it-wing/articleshow/113917295.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917295,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/coimbatore/dmk-election-committee-strategizes-for-2026-assembly-elections-with-it-wing/articleshow/113917295.cms,https://timesofindia.indiatimes.com/city/coimbatore/dmk-election-committee-strategizes-for-2026-assembly-elections-with-it-wing/articleshow/113917295.cms,False,2024-10-04T00:00:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=30, tm_sec=40, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Coimbatore,,,,2024-10-04 11:13:17.201832
"Kodanad case: Pvt bank staff, priest appear in CBCID office for probe","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': 'Kodanad case: Pvt bank staff, priest appear in CBCID office for probe'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/coimbatore/kodanad-case-key-witnesses-including-bank-staff-and-priest-interrogated-by-cbcid/articleshow/113917293.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917293,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/coimbatore/kodanad-case-key-witnesses-including-bank-staff-and-priest-interrogated-by-cbcid/articleshow/113917293.cms,https://timesofindia.indiatimes.com/city/coimbatore/kodanad-case-key-witnesses-including-bank-staff-and-priest-interrogated-by-cbcid/articleshow/113917293.cms,False,2024-10-04T00:00:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=30, tm_sec=40, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Coimbatore,,,,2024-10-04 11:13:17.201832
Man drowns in Thenpennai River near Hosur,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': 'Man drowns in Thenpennai River near Hosur'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/coimbatore/tragic-drowning-incident-in-thenpennai-river-claims-life-of-bengaluru-man/articleshow/113917294.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917294,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/coimbatore/tragic-drowning-incident-in-thenpennai-river-claims-life-of-bengaluru-man/articleshow/113917294.cms,https://timesofindia.indiatimes.com/city/coimbatore/tragic-drowning-incident-in-thenpennai-river-claims-life-of-bengaluru-man/articleshow/113917294.cms,False,2024-10-04T00:00:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=30, tm_sec=40, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Coimbatore,,,,2024-10-04 11:13:17.201832
Coimbatore corporation removes 90 encroachments along 80 Feet Road near Olympus,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': 'Coimbatore corporation removes 90 encroachments along 80 Feet Road near Olympus'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/coimbatore/coimbatore-corporation-evicts-90-illegal-structures-along-80-feet-road/articleshow/113917252.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917252,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/coimbatore/coimbatore-corporation-evicts-90-illegal-structures-along-80-feet-road/articleshow/113917252.cms,https://timesofindia.indiatimes.com/city/coimbatore/coimbatore-corporation-evicts-90-illegal-structures-along-80-feet-road/articleshow/113917252.cms,False,2024-10-03T23:57:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=27, tm_sec=40, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Coimbatore,,,,2024-10-04 11:13:17.201832
TNAU signs four MoAs for research,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': 'TNAU signs four MoAs for research'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/coimbatore/tnau-collaborates-with-startups-for-advanced-biotechnology-research/articleshow/113917200.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917200,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/coimbatore/tnau-collaborates-with-startups-for-advanced-biotechnology-research/articleshow/113917200.cms,https://timesofindia.indiatimes.com/city/coimbatore/tnau-collaborates-with-startups-for-advanced-biotechnology-research/articleshow/113917200.cms,False,2024-10-03T23:54:56+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=24, tm_sec=56, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Coimbatore,,,,2024-10-04 11:13:17.201832
Couple arrested for cheating 11 people of 1.02 crore,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': 'Couple arrested for cheating 11 people of 1.02 crore'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/7503091.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/coimbatore/couple-arrested-for-defrauding-11-investors-of-102-crore-in-coimbatore/articleshow/113917198.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917198,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/coimbatore/couple-arrested-for-defrauding-11-investors-of-102-crore-in-coimbatore/articleshow/113917198.cms,https://timesofindia.indiatimes.com/city/coimbatore/couple-arrested-for-defrauding-11-investors-of-102-crore-in-coimbatore/articleshow/113917198.cms,False,2024-10-03T23:54:49+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=24, tm_sec=49, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Coimbatore,,,,2024-10-04 11:13:17.201832
