title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
"2020 riots case: Accused fail to argue, court warns action","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': '2020 riots case: Accused fail to argue, court warns action'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/delhi/delhi-riots-case-court-issues-warning-as-accused-fail-to-present-arguments/articleshow/113944342.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113944342,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/delhi/delhi-riots-case-court-issues-warning-as-accused-fail-to-present-arguments/articleshow/113944342.cms,https://timesofindia.indiatimes.com/city/delhi/delhi-riots-case-court-issues-warning-as-accused-fail-to-present-arguments/articleshow/113944342.cms,False,2024-10-04T19:36:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=6, tm_sec=41, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Vineet Upadhyay'}],Vineet Upadhyay,{'name': 'Vineet Upadhyay'},Times of India,Delhi,,,,2024-10-04 11:13:14.989378
2 more shooters held for Naraina car showroom shooting,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': '2 more shooters held for Naraina car showroom shooting'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/delhi/cops-nab-two-more-shooters-in-shocking-naraina-car-showroom-shooting/articleshow/113943218.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113943218,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/delhi/cops-nab-two-more-shooters-in-shocking-naraina-car-showroom-shooting/articleshow/113943218.cms,https://timesofindia.indiatimes.com/city/delhi/cops-nab-two-more-shooters-in-shocking-naraina-car-showroom-shooting/articleshow/113943218.cms,False,2024-10-04T18:45:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=13, tm_min=15, tm_sec=40, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Delhi,,,,2024-10-04 11:13:14.989378
IT manager held for sexual assault of neighbour,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': 'IT manager held for sexual assault of neighbour'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/delhi/it-manager-arrested-for-sexual-assault-of-neighbour-in-ghaziabad/articleshow/113942865.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113942865,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/delhi/it-manager-arrested-for-sexual-assault-of-neighbour-in-ghaziabad/articleshow/113942865.cms,https://timesofindia.indiatimes.com/city/delhi/it-manager-arrested-for-sexual-assault-of-neighbour-in-ghaziabad/articleshow/113942865.cms,False,2024-10-04T18:27:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=12, tm_min=57, tm_sec=40, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Delhi,,,,2024-10-04 11:13:14.989378
Man loses Rs 2.4 lakh in Saudi Arabia tour scam,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': 'Man loses Rs 2.4 lakh in Saudi Arabia tour scam'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/delhi/young-man-swindled-of-rs-24-lakh-in-saudi-arabia-tour-scandal/articleshow/113941766.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113941766,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/delhi/young-man-swindled-of-rs-24-lakh-in-saudi-arabia-tour-scandal/articleshow/113941766.cms,https://timesofindia.indiatimes.com/city/delhi/young-man-swindled-of-rs-24-lakh-in-saudi-arabia-tour-scandal/articleshow/113941766.cms,False,2024-10-04T17:57:38+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=12, tm_min=27, tm_sec=38, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Delhi,,,,2024-10-04 11:13:14.989378
DMRC to regulate train services on Yellow Line on Oct 6,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': 'DMRC to regulate train services on Yellow Line on Oct 6'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/delhi/dmrc-to-regulate-yellow-line-train-services-on-october-6-for-maintenance/articleshow/113941188.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113941188,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/delhi/dmrc-to-regulate-yellow-line-train-services-on-october-6-for-maintenance/articleshow/113941188.cms,https://timesofindia.indiatimes.com/city/delhi/dmrc-to-regulate-yellow-line-train-services-on-october-6-for-maintenance/articleshow/113941188.cms,False,2024-10-04T17:36:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=12, tm_min=6, tm_sec=40, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Delhi,,,,2024-10-04 11:13:14.989378
Delhi HC disposes of third plea concerning Sonam Wangchuk's detention,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': ""Delhi HC disposes of third plea concerning Sonam Wangchuk's detention""}","The Delhi High Court has disposed of a third petition related to Sonam Wangchuk's detention after his release was confirmed. Chief Justice Manmohan referenced Wangchuk's interview indicating he was free. Solicitor General Tushar Mehta and Advocate Prashant Bhushan acknowledged the petition's lack of substance, leading to its withdrawal.","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': ""The Delhi High Court has disposed of a third petition related to Sonam Wangchuk's detention after his release was confirmed. Chief Justice Manmohan referenced Wangchuk's interview indicating he was free. Solicitor General Tushar Mehta and Advocate Prashant Bhushan acknowledged the petition's lack of substance, leading to its withdrawal.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/delhi/delhi-hc-disposes-of-third-plea-concerning-sonam-wangchuks-detention/articleshow/113937713.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113937637,imgsize-47274.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/delhi/delhi-hc-disposes-of-third-plea-concerning-sonam-wangchuks-detention/articleshow/113937713.cms,https://timesofindia.indiatimes.com/city/delhi/delhi-hc-disposes-of-third-plea-concerning-sonam-wangchuks-detention/articleshow/113937713.cms,False,2024-10-04T17:11:44+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=11, tm_min=41, tm_sec=44, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Delhi,,,,2024-10-04 11:13:14.989378
Fun mode on for Ramlila stars at Old Delhi,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': 'Fun mode on for Ramlila stars at Old Delhi'}","<a href=""https://timesofindia.indiatimes.com/city/delhi/fun-mode-on-for-ramlila-stars-at-old-delhi/articleshow/113939293.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113939293.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>From Ram's endearing selfie with Sita and Ravan's menacing stares to Laxman and Hanuman posing with their weapons, here are some BTS moments from rehearsals of Luv Kush Ramlila at Lal Qila.","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/delhi/fun-mode-on-for-ramlila-stars-at-old-delhi/articleshow/113939293.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113939293.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>From Ram\'s endearing selfie with Sita and Ravan\'s menacing stares to Laxman and Hanuman posing with their weapons, here are some BTS moments from rehearsals of Luv Kush Ramlila at Lal Qila.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/delhi/fun-mode-on-for-ramlila-stars-at-old-delhi/articleshow/113939293.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113939179,imgsize-195212.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/delhi/fun-mode-on-for-ramlila-stars-at-old-delhi/articleshow/113939293.cms,https://timesofindia.indiatimes.com/city/delhi/fun-mode-on-for-ramlila-stars-at-old-delhi/articleshow/113939293.cms,False,2024-10-04T16:29:20+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=10, tm_min=59, tm_sec=20, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Shivika Manchanda'}],Shivika Manchanda,{'name': 'Shivika Manchanda'},Times of India,Delhi,,,,2024-10-04 11:13:14.989378
'First murder in 2024': Teen boasted Delhi doctor's killing in chilling Instagram post,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': ""'First murder in 2024': Teen boasted Delhi doctor's killing in chilling Instagram post""}","<a href=""https://timesofindia.indiatimes.com/city/delhi/first-murder-in-2024-teen-boasted-delhi-doctors-killing-in-chilling-instagram-post/articleshow/113935439.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113935439.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>A shocking Instagram post featuring a 17-year-old boy with a country-made gun led Delhi Police to apprehend him for murdering Yunani doctor Javed Akhtar. The 50-year-old was shot dead by two teenagers, one of whom was influenced by the nurse’s husband suspecting an affair.","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/delhi/first-murder-in-2024-teen-boasted-delhi-doctors-killing-in-chilling-instagram-post/articleshow/113935439.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113935439.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>A shocking Instagram post featuring a 17-year-old boy with a country-made gun led Delhi Police to apprehend him for murdering Yunani doctor Javed Akhtar. The 50-year-old was shot dead by two teenagers, one of whom was influenced by the nurse’s husband suspecting an affair.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/delhi/first-murder-in-2024-teen-boasted-delhi-doctors-killing-in-chilling-instagram-post/articleshow/113935439.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113935430,imgsize-49602.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/delhi/first-murder-in-2024-teen-boasted-delhi-doctors-killing-in-chilling-instagram-post/articleshow/113935439.cms,https://timesofindia.indiatimes.com/city/delhi/first-murder-in-2024-teen-boasted-delhi-doctors-killing-in-chilling-instagram-post/articleshow/113935439.cms,False,2024-10-04T15:00:55+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=9, tm_min=30, tm_sec=55, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Abhay Singh'}],Abhay Singh,{'name': 'Abhay Singh'},Times of India,Delhi,,,,2024-10-04 11:13:14.989378
"ED probe ‘incomplete’, ex-Delhi minister Satyendar Jain pleads for ‘default bail’ in money laundering case","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': 'ED probe ‘incomplete’, ex-Delhi minister Satyendar Jain pleads for ‘default bail’ in money laundering case'}","<a href=""https://timesofindia.indiatimes.com/city/delhi/ed-probe-incomplete-ex-delhi-minister-satyendar-jain-pleads-for-default-bail-in-money-laundering-case/articleshow/113932312.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113932312.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Jailed former Delhi minister Satyendar Jain requested Delhi High Court for 'default bail' in a money laundering case, claiming the Enforcement Directorate's investigation against him remains incomplete. His counsel argued the trial court took cognisance based on insufficient material. The court scheduled further arguments for October 9.","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/delhi/ed-probe-incomplete-ex-delhi-minister-satyendar-jain-pleads-for-default-bail-in-money-laundering-case/articleshow/113932312.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113932312.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Jailed former Delhi minister Satyendar Jain requested Delhi High Court for \'default bail\' in a money laundering case, claiming the Enforcement Directorate\'s investigation against him remains incomplete. His counsel argued the trial court took cognisance based on insufficient material. The court scheduled further arguments for October 9.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/delhi/ed-probe-incomplete-ex-delhi-minister-satyendar-jain-pleads-for-default-bail-in-money-laundering-case/articleshow/113932312.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113932438,imgsize-721281.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/delhi/ed-probe-incomplete-ex-delhi-minister-satyendar-jain-pleads-for-default-bail-in-money-laundering-case/articleshow/113932312.cms,https://timesofindia.indiatimes.com/city/delhi/ed-probe-incomplete-ex-delhi-minister-satyendar-jain-pleads-for-default-bail-in-money-laundering-case/articleshow/113932312.cms,False,2024-10-04T13:15:54+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=7, tm_min=45, tm_sec=54, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Delhi,,,,2024-10-04 11:13:14.989378
"Kolkata, Punjab, Delhi and Mumbai: ED conducts raids in 'high-profile' chit fund scam probe","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': ""Kolkata, Punjab, Delhi and Mumbai: ED conducts raids in 'high-profile' chit fund scam probe""}","<a href=""https://timesofindia.indiatimes.com/city/delhi/kolkata-punjab-delhi-and-mumbai-ed-conducts-raids-in-high-profile-chit-fund-scam-probe/articleshow/113931354.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113931354.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Enforcement Directorate launched extensive raids across Kolkata, Punjab, Delhi, and Mumbai on Friday morning in connection with a chit fund scam. The case involves money laundering allegations where a chit fund company allegedly failed to repay investors and misappropriated funds.","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128839596.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/delhi/kolkata-punjab-delhi-and-mumbai-ed-conducts-raids-in-high-profile-chit-fund-scam-probe/articleshow/113931354.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113931354.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Enforcement Directorate launched extensive raids across Kolkata, Punjab, Delhi, and Mumbai on Friday morning in connection with a chit fund scam. The case involves money laundering allegations where a chit fund company allegedly failed to repay investors and misappropriated funds.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/delhi/kolkata-punjab-delhi-and-mumbai-ed-conducts-raids-in-high-profile-chit-fund-scam-probe/articleshow/113931354.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113931527,imgsize-496086.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/delhi/kolkata-punjab-delhi-and-mumbai-ed-conducts-raids-in-high-profile-chit-fund-scam-probe/articleshow/113931354.cms,https://timesofindia.indiatimes.com/city/delhi/kolkata-punjab-delhi-and-mumbai-ed-conducts-raids-in-high-profile-chit-fund-scam-probe/articleshow/113931354.cms,False,2024-10-04T13:01:12+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=7, tm_min=31, tm_sec=12, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI City Desk'}],TOI City Desk,{'name': 'TOI City Desk'},Times of India,Delhi,,,,2024-10-04 11:13:14.989378
