title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
"Pink booths to rewards, Gurgaon aims for 70% voter turnout","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': 'Pink booths to rewards, Gurgaon aims for 70% voter turnout'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/gurgaon/gurgaon-implements-exciting-initiatives-to-boost-voter-turnout-to-70-in-assembly-polls/articleshow/113945208.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113945208,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/gurgaon/gurgaon-implements-exciting-initiatives-to-boost-voter-turnout-to-70-in-assembly-polls/articleshow/113945208.cms,https://timesofindia.indiatimes.com/city/gurgaon/gurgaon-implements-exciting-initiatives-to-boost-voter-turnout-to-70-in-assembly-polls/articleshow/113945208.cms,False,2024-10-04T20:21:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=51, tm_sec=40, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Gurgaon,,,,2024-10-04 11:13:17.391010
"Delhi AQI rises post-monsoon; average 166 AQI recorded, several areas breach 200 mark","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': 'Delhi AQI rises post-monsoon; average 166 AQI recorded, several areas breach 200 mark'}","<a href=""https://timesofindia.indiatimes.com/city/gurgaon/delhi-aqi-rises-post-monsoon-average-166-aqi-recorded-several-areas-breach-200-mark/articleshow/113925770.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113925770.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>As monsoon season ends, Delhi's air quality worsens with an average AQI of 166 over the last 24 hours, indicating unhealthy conditions. Nearby cities like Ghaziabad, Meerut, and Noida also face rising pollution. The Supreme Court demands action from Punjab and Haryana and criticizes the CAQM for inadequate implementation of its directions on air pollution.","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/gurgaon/delhi-aqi-rises-post-monsoon-average-166-aqi-recorded-several-areas-breach-200-mark/articleshow/113925770.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113925770.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>As monsoon season ends, Delhi\'s air quality worsens with an average AQI of 166 over the last 24 hours, indicating unhealthy conditions. Nearby cities like Ghaziabad, Meerut, and Noida also face rising pollution. The Supreme Court demands action from Punjab and Haryana and criticizes the CAQM for inadequate implementation of its directions on air pollution.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/gurgaon/delhi-aqi-rises-post-monsoon-average-166-aqi-recorded-several-areas-breach-200-mark/articleshow/113925770.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113925682,imgsize-860346.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/gurgaon/delhi-aqi-rises-post-monsoon-average-166-aqi-recorded-several-areas-breach-200-mark/articleshow/113925770.cms,https://timesofindia.indiatimes.com/city/gurgaon/delhi-aqi-rises-post-monsoon-average-166-aqi-recorded-several-areas-breach-200-mark/articleshow/113925770.cms,False,2024-10-04T09:46:24+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=4, tm_min=16, tm_sec=24, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI City Desk'}],TOI City Desk,{'name': 'TOI City Desk'},Times of India,Gurgaon,,,,2024-10-04 11:13:17.391010
"Man refuses to sell his plot, bludgeoned to death; 2 held","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': 'Man refuses to sell his plot, bludgeoned to death; 2 held'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/gurgaon/man-bludgeoned-to-death-over-land-dispute-in-gurgaon-father-and-son-arrested/articleshow/113918076.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918076,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/gurgaon/man-bludgeoned-to-death-over-land-dispute-in-gurgaon-father-and-son-arrested/articleshow/113918076.cms,https://timesofindia.indiatimes.com/city/gurgaon/man-bludgeoned-to-death-over-land-dispute-in-gurgaon-father-and-son-arrested/articleshow/113918076.cms,False,2024-10-04T00:30:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=0, tm_sec=41, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Mahesh Buddi'}],Mahesh Buddi,{'name': 'Mahesh Buddi'},Times of India,Gurgaon,,,,2024-10-04 11:13:17.391010
"‘If Rahul is here, we hope neglect of Nuh will end... our lives will change’","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': '‘If Rahul is here, we hope neglect of Nuh will end... our lives will change’'}","<a href=""https://timesofindia.indiatimes.com/city/gurgaon/rahul-gandhis-rally-in-nuh-a-turning-point-for-development-and-education/articleshow/113918057.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918057.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/gurgaon/rahul-gandhis-rally-in-nuh-a-turning-point-for-development-and-education/articleshow/113918057.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918057.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/gurgaon/rahul-gandhis-rally-in-nuh-a-turning-point-for-development-and-education/articleshow/113918057.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918054,imgsize-31270.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/gurgaon/rahul-gandhis-rally-in-nuh-a-turning-point-for-development-and-education/articleshow/113918057.cms,https://timesofindia.indiatimes.com/city/gurgaon/rahul-gandhis-rally-in-nuh-a-turning-point-for-development-and-education/articleshow/113918057.cms,False,2024-10-04T00:28:19+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=58, tm_sec=19, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Rao Jaswant Singh'}],Rao Jaswant Singh,{'name': 'Rao Jaswant Singh'},Times of India,Gurgaon,,,,2024-10-04 11:13:17.391010
"Campaign comes to close with road shows, padyatras","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': 'Campaign comes to close with road shows, padyatras'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/gurgaon/gurgaon-assembly-elections-heat-up-candidates-engage-in-roadshows-and-padyatras-ahead-of-polls/articleshow/113918052.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918052,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/gurgaon/gurgaon-assembly-elections-heat-up-candidates-engage-in-roadshows-and-padyatras-ahead-of-polls/articleshow/113918052.cms,https://timesofindia.indiatimes.com/city/gurgaon/gurgaon-assembly-elections-heat-up-candidates-engage-in-roadshows-and-padyatras-ahead-of-polls/articleshow/113918052.cms,False,2024-10-04T00:28:03+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=58, tm_sec=3, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Bagish Jha'}],Bagish Jha,{'name': 'Bagish Jha'},Times of India,Gurgaon,,,,2024-10-04 11:13:17.391010
"In biggest seat, prestige fight as veteran takes on two debutants","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': 'In biggest seat, prestige fight as veteran takes on two debutants'}","<a href=""https://timesofindia.indiatimes.com/city/gurgaon/battle-for-badshapur-veteran-vs-debutants-in-high-stakes-election/articleshow/113918049.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918049.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/gurgaon/battle-for-badshapur-veteran-vs-debutants-in-high-stakes-election/articleshow/113918049.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918049.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/gurgaon/battle-for-badshapur-veteran-vs-debutants-in-high-stakes-election/articleshow/113918049.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918040,imgsize-25686.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/gurgaon/battle-for-badshapur-veteran-vs-debutants-in-high-stakes-election/articleshow/113918049.cms,https://timesofindia.indiatimes.com/city/gurgaon/battle-for-badshapur-veteran-vs-debutants-in-high-stakes-election/articleshow/113918049.cms,False,2024-10-04T00:27:52+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=57, tm_sec=52, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Bagish Jha'}],Bagish Jha,{'name': 'Bagish Jha'},Times of India,Gurgaon,,,,2024-10-04 11:13:17.391010
Act against illegal dyeing units: NGT to pollution board,"{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': 'Act against illegal dyeing units: NGT to pollution board'}",,"{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/gurgaon/ngt-orders-action-against-illegal-dyeing-units-in-gurgaon-following-toxic-pollution-concerns/articleshow/113918038.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918038,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/gurgaon/ngt-orders-action-against-illegal-dyeing-units-in-gurgaon-following-toxic-pollution-concerns/articleshow/113918038.cms,https://timesofindia.indiatimes.com/city/gurgaon/ngt-orders-action-against-illegal-dyeing-units-in-gurgaon-following-toxic-pollution-concerns/articleshow/113918038.cms,False,2024-10-04T00:27:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=57, tm_sec=41, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Ipsita Pati'}],Ipsita Pati,{'name': 'Ipsita Pati'},Times of India,Gurgaon,,,,2024-10-04 11:13:17.391010
"Congress MLA main instigator of Nuh riots, oust him, Khattar urges voters","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': 'Congress MLA main instigator of Nuh riots, oust him, Khattar urges voters'}","<a href=""https://timesofindia.indiatimes.com/city/gurgaon/khattar-blames-congress-mla-for-nuh-riots-calls-for-voter-action/articleshow/113915020.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113915020.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/gurgaon/khattar-blames-congress-mla-for-nuh-riots-calls-for-voter-action/articleshow/113915020.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113915020.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/gurgaon/khattar-blames-congress-mla-for-nuh-riots-calls-for-voter-action/articleshow/113915020.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113915017,imgsize-53496.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/gurgaon/khattar-blames-congress-mla-for-nuh-riots-calls-for-voter-action/articleshow/113915020.cms,https://timesofindia.indiatimes.com/city/gurgaon/khattar-blames-congress-mla-for-nuh-riots-calls-for-voter-action/articleshow/113915020.cms,False,2024-10-03T21:27:42+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=15, tm_min=57, tm_sec=42, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Gurgaon,,,,2024-10-04 11:13:17.391010
"Students pose job question to netas before Haryana polls: When you want job security, why not us?","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': 'Students pose job question to netas before Haryana polls: When you want job security, why not us?'}","<a href=""https://timesofindia.indiatimes.com/city/gurgaon/haryana-students-demand-job-security-politicians-should-be-held-accountable/articleshow/113914926.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113914926.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Students at Maharshi Dayanand University express concerns about unemployment and job security, highlighting issues with government policies, delayed exams, and lack of opportunities. Many are skeptical of political parties' promises, citing favoritism and unmet commitments. Data reveals high youth unemployment rates in Haryana.","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/gurgaon/haryana-students-demand-job-security-politicians-should-be-held-accountable/articleshow/113914926.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113914926.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Students at Maharshi Dayanand University express concerns about unemployment and job security, highlighting issues with government policies, delayed exams, and lack of opportunities. Many are skeptical of political parties\' promises, citing favoritism and unmet commitments. Data reveals high youth unemployment rates in Haryana.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/gurgaon/haryana-students-demand-job-security-politicians-should-be-held-accountable/articleshow/113914926.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113926588,imgsize-1175003.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/gurgaon/haryana-students-demand-job-security-politicians-should-be-held-accountable/articleshow/113914926.cms,https://timesofindia.indiatimes.com/city/gurgaon/haryana-students-demand-job-security-politicians-should-be-held-accountable/articleshow/113914926.cms,False,2024-10-03T21:21:44+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=15, tm_min=51, tm_sec=44, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Mudita Girotra'}],Mudita Girotra,{'name': 'Mudita Girotra'},Times of India,Gurgaon,,,,2024-10-04 11:13:17.391010
"Congress storm coming, ours will be a govt of poor, of love, Rahul says as Haryana campaign wraps up","{'type': 'text/plain', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': 'Congress storm coming, ours will be a govt of poor, of love, Rahul says as Haryana campaign wraps up'}","<a href=""https://timesofindia.indiatimes.com/city/gurgaon/rahul-gandhi-promises-government-of-the-poor-in-haryana-criticizes-pm-modi-amidst-rising-unemployment/articleshow/113914223.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113914223.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-US', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/6547154.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/gurgaon/rahul-gandhi-promises-government-of-the-poor-in-haryana-criticizes-pm-modi-amidst-rising-unemployment/articleshow/113914223.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113914223.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/gurgaon/rahul-gandhi-promises-government-of-the-poor-in-haryana-criticizes-pm-modi-amidst-rising-unemployment/articleshow/113914223.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113914208,imgsize-31270.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/gurgaon/rahul-gandhi-promises-government-of-the-poor-in-haryana-criticizes-pm-modi-amidst-rising-unemployment/articleshow/113914223.cms,https://timesofindia.indiatimes.com/city/gurgaon/rahul-gandhi-promises-government-of-the-poor-in-haryana-criticizes-pm-modi-amidst-rising-unemployment/articleshow/113914223.cms,False,2024-10-03T21:00:53+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=15, tm_min=30, tm_sec=53, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Rao Jaswant Singh'}],Rao Jaswant Singh,{'name': 'Rao Jaswant Singh'},Times of India,Gurgaon,,,,2024-10-04 11:13:17.391010
