title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
4 friends killed in car crash on their way to Devi Patan Temple,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': '4 friends killed in car crash on their way to Devi Patan Temple'}","<a href=""https://timesofindia.indiatimes.com/city/lucknow/4-friends-killed-in-car-crash-on-their-way-to-devi-patan-temple/articleshow/113930041.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113930041.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Four friends lost their lives in a car accident after their SUV crashed into a tree near Benduli village in Gonda. They were en route to Balrampur Devipatan Temple during Navratri. Chief Minister Yogi Adityanath expressed his condolences and urged for swift relief measures. Police have started an investigation, and the victims' families have been informed.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/lucknow/4-friends-killed-in-car-crash-on-their-way-to-devi-patan-temple/articleshow/113930041.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113930041.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Four friends lost their lives in a car accident after their SUV crashed into a tree near Benduli village in Gonda. They were en route to Balrampur Devipatan Temple during Navratri. Chief Minister Yogi Adityanath expressed his condolences and urged for swift relief measures. Police have started an investigation, and the victims\' families have been informed.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/lucknow/4-friends-killed-in-car-crash-on-their-way-to-devi-patan-temple/articleshow/113930041.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113930467,imgsize-830709.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/lucknow/4-friends-killed-in-car-crash-on-their-way-to-devi-patan-temple/articleshow/113930041.cms,https://timesofindia.indiatimes.com/city/lucknow/4-friends-killed-in-car-crash-on-their-way-to-devi-patan-temple/articleshow/113930041.cms,False,2024-10-04T12:15:47+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=6, tm_min=45, tm_sec=47, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Pathikrit Chakraborty'}],Pathikrit Chakraborty,{'name': 'Pathikrit Chakraborty'},Times of India,Lucknow,,,,2024-10-04 11:13:18.183050
UP CM Yogi Adityanath holds 'Janta Darshan' at Gorakhnath Temple,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': ""UP CM Yogi Adityanath holds 'Janta Darshan' at Gorakhnath Temple""}","<a href=""https://timesofindia.indiatimes.com/city/lucknow/up-cm-yogi-adityanath-holds-janta-darshan-at-gorakhnath-temple/articleshow/113929093.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113929093.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Uttar Pradesh Chief Minister Yogi Adityanath conducted the 'Janta Darshan' programme at Gorakhnath Temple, engaging with citizens and addressing their grievances. He highlighted development under the 'double-engine govt' in Haryana, referencing the abrogation of Article 370 and promising progress without corruption ahead of the October 5 assembly elections.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/lucknow/up-cm-yogi-adityanath-holds-janta-darshan-at-gorakhnath-temple/articleshow/113929093.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113929093.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Uttar Pradesh Chief Minister Yogi Adityanath conducted the \'Janta Darshan\' programme at Gorakhnath Temple, engaging with citizens and addressing their grievances. He highlighted development under the \'double-engine govt\' in Haryana, referencing the abrogation of Article 370 and promising progress without corruption ahead of the October 5 assembly elections.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/lucknow/up-cm-yogi-adityanath-holds-janta-darshan-at-gorakhnath-temple/articleshow/113929093.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113929325,imgsize-766150.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/lucknow/up-cm-yogi-adityanath-holds-janta-darshan-at-gorakhnath-temple/articleshow/113929093.cms,https://timesofindia.indiatimes.com/city/lucknow/up-cm-yogi-adityanath-holds-janta-darshan-at-gorakhnath-temple/articleshow/113929093.cms,False,2024-10-04T11:53:50+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=6, tm_min=23, tm_sec=50, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI City Desk'}],TOI City Desk,{'name': 'TOI City Desk'},Times of India,Lucknow,,,,2024-10-04 11:13:18.183050
Ayodhya gang rape: Allahabad HC bench junks Samajwadi Party man's bail plea,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': ""Ayodhya gang rape: Allahabad HC bench junks Samajwadi Party man's bail plea""}","<a href=""https://timesofindia.indiatimes.com/city/lucknow/ayodhya-gang-rape-allahabad-hc-bench-junks-samajwadi-party-mans-bail-plea/articleshow/113925392.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113925392.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Lucknow bench of the Allahabad high court denied bail to Samajwadi Party's Moeed Khan, accused in the Ayodhya gang rape case, due to potential trial interference. The court emphasized timely recording of the survivor's statement and noted Moeed's high social and financial influence.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/lucknow/ayodhya-gang-rape-allahabad-hc-bench-junks-samajwadi-party-mans-bail-plea/articleshow/113925392.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113925392.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Lucknow bench of the Allahabad high court denied bail to Samajwadi Party\'s Moeed Khan, accused in the Ayodhya gang rape case, due to potential trial interference. The court emphasized timely recording of the survivor\'s statement and noted Moeed\'s high social and financial influence.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/lucknow/ayodhya-gang-rape-allahabad-hc-bench-junks-samajwadi-party-mans-bail-plea/articleshow/113925392.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113925441,imgsize-42718.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/lucknow/ayodhya-gang-rape-allahabad-hc-bench-junks-samajwadi-party-mans-bail-plea/articleshow/113925392.cms,https://timesofindia.indiatimes.com/city/lucknow/ayodhya-gang-rape-allahabad-hc-bench-junks-samajwadi-party-mans-bail-plea/articleshow/113925392.cms,False,2024-10-04T09:31:44+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=4, tm_min=1, tm_sec=44, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Lucknow,,,,2024-10-04 11:13:18.183050
Healing hands in hostile land: First DGAFMS Vice Admiral Arti Sarin's journey,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': ""Healing hands in hostile land: First DGAFMS Vice Admiral Arti Sarin's journey""}","<a href=""https://timesofindia.indiatimes.com/city/lucknow/healing-hands-in-hostile-land-first-dgafms-vice-admiral-arti-sarins-journey/articleshow/113923412.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113923412.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Vice Admiral Arti Sarin, first woman DGAFMS, discusses her impactful service during the Kargil war and her extensive experience in all three military branches. She emphasizes the challenges and responsibilities of providing medical services to armed forces personnel and their dependents.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/lucknow/healing-hands-in-hostile-land-first-dgafms-vice-admiral-arti-sarins-journey/articleshow/113923412.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113923412.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Vice Admiral Arti Sarin, first woman DGAFMS, discusses her impactful service during the Kargil war and her extensive experience in all three military branches. She emphasizes the challenges and responsibilities of providing medical services to armed forces personnel and their dependents.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/lucknow/healing-hands-in-hostile-land-first-dgafms-vice-admiral-arti-sarins-journey/articleshow/113923412.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113923443,imgsize-1217973.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/lucknow/healing-hands-in-hostile-land-first-dgafms-vice-admiral-arti-sarins-journey/articleshow/113923412.cms,https://timesofindia.indiatimes.com/city/lucknow/healing-hands-in-hostile-land-first-dgafms-vice-admiral-arti-sarins-journey/articleshow/113923412.cms,False,2024-10-04T08:35:01+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=3, tm_min=5, tm_sec=1, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Arvind Chauhan'}],Arvind Chauhan,{'name': 'Arvind Chauhan'},Times of India,Lucknow,,,,2024-10-04 11:13:18.183050
Varanasi Sai Baba statue row: Hindu Mahasabha spokesperson Shishir Chaturvedi arrested,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': 'Varanasi Sai Baba statue row: Hindu Mahasabha spokesperson Shishir Chaturvedi arrested'}","<a href=""https://timesofindia.indiatimes.com/city/lucknow/sai-baba-statue-row-hindu-mahasabha-spokesperson-shishir-chaturvedi-arrested/articleshow/113923162.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113923162.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Akhil Bharat Hindu Mahasabha Leader Shishir Chaturvedi was arrested in Lucknow for demanding the removal of Sai Baba idols from temples. A priest claimed Chaturvedi and his supporters threatened to break the idol. This arrest led to protests by his supporters outside the police station, chanting slogans and raising tensions.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/lucknow/sai-baba-statue-row-hindu-mahasabha-spokesperson-shishir-chaturvedi-arrested/articleshow/113923162.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113923162.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Akhil Bharat Hindu Mahasabha Leader Shishir Chaturvedi was arrested in Lucknow for demanding the removal of Sai Baba idols from temples. A priest claimed Chaturvedi and his supporters threatened to break the idol. This arrest led to protests by his supporters outside the police station, chanting slogans and raising tensions.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/lucknow/sai-baba-statue-row-hindu-mahasabha-spokesperson-shishir-chaturvedi-arrested/articleshow/113923162.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113923131,imgsize-1180393.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/lucknow/sai-baba-statue-row-hindu-mahasabha-spokesperson-shishir-chaturvedi-arrested/articleshow/113923162.cms,https://timesofindia.indiatimes.com/city/lucknow/sai-baba-statue-row-hindu-mahasabha-spokesperson-shishir-chaturvedi-arrested/articleshow/113923162.cms,False,2024-10-04T08:21:58+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=2, tm_min=51, tm_sec=58, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'Pathikrit Chakraborty'}],Pathikrit Chakraborty,{'name': 'Pathikrit Chakraborty'},Times of India,Lucknow,,,,2024-10-04 11:13:18.183050
"Now, fraud case against rape accused SP man","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': 'Now, fraud case against rape accused SP man'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/lucknow/sp-functionary-moeed-khan-faces-fraud-charges-amid-gang-rape-allegations/articleshow/113918406.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918406,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/lucknow/sp-functionary-moeed-khan-faces-fraud-charges-amid-gang-rape-allegations/articleshow/113918406.cms,https://timesofindia.indiatimes.com/city/lucknow/sp-functionary-moeed-khan-faces-fraud-charges-amid-gang-rape-allegations/articleshow/113918406.cms,False,2024-10-04T01:15:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=45, tm_sec=40, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Lucknow,,,,2024-10-04 11:13:18.183050
Ayodhya to get UP’s 1st 3D-printed art gallery,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': 'Ayodhya to get UP’s 1st 3D-printed art gallery'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/lucknow/ayodhya-unveils-uttar-pradeshs-first-3d-printed-art-gallery-a-cultural-revolution-begins/articleshow/113918287.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918287,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/lucknow/ayodhya-unveils-uttar-pradeshs-first-3d-printed-art-gallery-a-cultural-revolution-begins/articleshow/113918287.cms,https://timesofindia.indiatimes.com/city/lucknow/ayodhya-unveils-uttar-pradeshs-first-3d-printed-art-gallery-a-cultural-revolution-begins/articleshow/113918287.cms,False,2024-10-04T00:57:46+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=27, tm_sec=46, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Lucknow,,,,2024-10-04 11:13:18.183050
4 cops suspended after 6 die in Bareilly blast,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': '4 cops suspended after 6 die in Bareilly blast'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/lucknow/tragic-bareilly-blast-6-dead-4-cops-suspended-in-firecracker-unit-incident/articleshow/113918285.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918285,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/lucknow/tragic-bareilly-blast-6-dead-4-cops-suspended-in-firecracker-unit-incident/articleshow/113918285.cms,https://timesofindia.indiatimes.com/city/lucknow/tragic-bareilly-blast-6-dead-4-cops-suspended-in-firecracker-unit-incident/articleshow/113918285.cms,False,2024-10-04T00:57:38+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=27, tm_sec=38, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Lucknow,,,,2024-10-04 11:13:18.183050
Families of UP natives working in Israel on edge as tensions escalate in war zone,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': 'Families of UP natives working in Israel on edge as tensions escalate in war zone'}","<a href=""https://timesofindia.indiatimes.com/city/lucknow/tensions-rise-up-families-fear-for-loved-ones-in-war-torn-israel/articleshow/113918277.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918277.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/lucknow/tensions-rise-up-families-fear-for-loved-ones-in-war-torn-israel/articleshow/113918277.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918277.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/lucknow/tensions-rise-up-families-fear-for-loved-ones-in-war-torn-israel/articleshow/113918277.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918273,imgsize-54396.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/lucknow/tensions-rise-up-families-fear-for-loved-ones-in-war-torn-israel/articleshow/113918277.cms,https://timesofindia.indiatimes.com/city/lucknow/tensions-rise-up-families-fear-for-loved-ones-in-war-torn-israel/articleshow/113918277.cms,False,2024-10-04T00:55:01+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=25, tm_sec=1, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Lucknow,,,,2024-10-04 11:13:18.183050
‘6 out of 10 get 3 spam calls daily in India’,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': '‘6 out of 10 get 3 spam calls daily in India’'}","<a href=""https://timesofindia.indiatimes.com/city/lucknow/a-shocking-60-of-indians-receive-three-spam-calls-daily-a-deep-dive-into-the-alarmingly-high-rate-of-spam-in-india/articleshow/113918271.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918271.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128819658.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/lucknow/a-shocking-60-of-indians-receive-three-spam-calls-daily-a-deep-dive-into-the-alarmingly-high-rate-of-spam-in-india/articleshow/113918271.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918271.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/lucknow/a-shocking-60-of-indians-receive-three-spam-calls-daily-a-deep-dive-into-the-alarmingly-high-rate-of-spam-in-india/articleshow/113918271.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918269,imgsize-32010.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/lucknow/a-shocking-60-of-indians-receive-three-spam-calls-daily-a-deep-dive-into-the-alarmingly-high-rate-of-spam-in-india/articleshow/113918271.cms,https://timesofindia.indiatimes.com/city/lucknow/a-shocking-60-of-indians-receive-three-spam-calls-daily-a-deep-dive-into-the-alarmingly-high-rate-of-spam-in-india/articleshow/113918271.cms,False,2024-10-04T00:54:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=24, tm_sec=41, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Lucknow,,,,2024-10-04 11:13:18.183050
