title,author,date,summary,link
"दलित युवक को लात-घूंसों से पीटा, फिर चेहरे पर किया पेशाब, वीडियो वायरल",Dalit Times,"अक्टूबर 3, 2024",यूपी में दलित युवक को दबंगों ने लात-घूंसों से पीटने के बाद चेहरे पर पेशाब किया। इस घटना का वीडियो वायरल होने के बाद पुलिस […],https://dalittimes.in/dalit-youth-beaten-with-kicks-and-punches-then-urinated-on-his-face-video-goes-viral/
"नवादा हिंसा पर चंद्रशेखर आजाद का बड़ा बयान: 100 दबंगों ने 80 दलित घर जलाए, 50 राउंड फायरिंग की; सरकार और प्रशासन को ठोस कदम उठाने की अपील",Dalit Times,"सितम्बर 19, 2024","चंद्रशेखर आजाद ने नवादा में जातीय हिंसा की कड़ी निंदा की, सरकार और प्रशासन की निष्क्रियता की आलोचना की, और दोषियों के खिलाफ सख्त कार्रवाई […]",https://dalittimes.in/chandrashekhar-azads-big-statement-on-nawada-violence-100-bullies-burnt-80-dalit-houses-fired-50-rounds-appeal-to-government-and-administration-to-take-concrete-steps/
"राजनीतिक खेल का शिकार दलित: बिहार में 100 दबंगों ने दलित बस्ती में लगाई आग, 80 घर जलकर राख! 50 राउंड फायरिंग, जानें पूरा मामला",Dalit Times,"सितम्बर 19, 2024","बिहार के नवादा जिले में 100 दबंगों ने दलित बस्ती पर हमला किया, जिसमें 80 घर जलकर राख हो गए और 50 राउंड फायरिंग की […]",https://dalittimes.in/dalits-victim-of-political-game-100-bullies-set-fire-to-dalit-colony-in-bihar-80-houses-burnt-to-ashes-50-rounds-firing-know-the-whole-matter/
कुमारी शैलजा के जातिवादी अपमान से हरियाणा की राजनीति में भूचाल; भूपेंद्र सिंह हुड्डा के बयान ने बदला माहौल,Dalit Times,"सितम्बर 17, 2024",हरियाणा की राजनीति में कुमारी शैलजा के जातिवादी अपमान ने हलचल मचा दी है। भूपेंद्र सिंह हुड्डा के बयान ने स्थिति को और संवेदनशील बना […],https://dalittimes.in/casteist-insult-by-kumari-shailaja-created-a-stir-in-haryana-politics-bhupendra-singh-hoodas-statement-changed-the-atmosphere/
"UP: दलित बच्चों को मंदिर के बाहर खेलने पर पीटा , BJP विधायक ने समझौते का बनाया दबाव; चंद्रशेखर आजाद ने दी सड़क पर उतरने की चेतावनी",Dalit Times,"सितम्बर 17, 2024",यूपी में 3 दलित बच्चों को मंदिर के बाहर खेलने पर गाँव के दबंगों ने बंधक बनाकर पीटा और उनके परिवार को जातिसूचक गालियां दीं। […],https://dalittimes.in/up-dalit-children-beaten-for-playing-outside-the-temple-bjp-mla-presses-for-compromise-chandrashekhar-azad-warned-to-take-to-the-streets/
दलित समुदाय पर बढ़ते हमले: मंदिर में प्रवेश करने पर दलित को खंभे से बांधकर पीटा; 21 लोगों पर FIR दर्ज और 6 गिरफ्तार,Dalit Times,"सितम्बर 16, 2024",कर्नाटक में एक दलित व्यक्ति को मंदिर में प्रवेश करने के कारण क्रूरता का सामना करना पड़ा। 28 वर्षीय अर्जुन ने 10 सितंबर को द्यामाव्वा […],https://dalittimes.in/increasing-attacks-on-dalit-community-dalit-youth-tied-to-a-pillar-for-entering-the-temple-beaten-by-the-mob-fir-registered-against-21-and-6-arrested/
"UP: दलित को थाने में थर्ड डिग्री! पेड़ से बांधकर पीटा, बिजली के दिए झटके ; चंद्रशेखर आजाद ने न्याय की उठाई आवाज",Dalit Times,"सितम्बर 16, 2024",उत्तर प्रदेश में एक दुखद घटना सामने आई है जिसमें एक दलित बच्चे की मौत की खबर है। परिवार का आरोप है पुलिस ने 18 […],https://dalittimes.in/up-third-degree-to-dalit-in-police-station-tied-to-a-tree-beaten-given-electric-shocks-chandrashekhar-azad-raised-voice-for-justice/
"कुमारी सेलजा को हुड्डा समर्थकों की जातिसूचक टिप्पणियाँ, दलित संगठनों का BSP के साथ जाने का ऐलान; सेलजा को मिला BSP में शामिल होने का न्योता",Dalit Times,"सितम्बर 16, 2024",भूपेंद्र सिंह हुड्डा के समर्थकों ने दलित नेता कुमारी सेलजा के खिलाफ जातिसूचक शब्दों का इस्तेमाल कर उन्हें गालियाँ दीं। जिस वजह से  दलित संगठनों […],https://dalittimes.in/hooda-supporters-made-caste-based-comments-on-kumari-selja-dalit-organizations-announced-to-go-with-bsp-selja-invited-to-join-bsp/
"Andhra Pradesh: दलित महिला को खंभे से बांधकर बेरहमी से पीटा, दलित संगठनों ने की सख्त कार्रवाई की मांग",Dalit Times,"सितम्बर 14, 2024",एक समूह ने दलित महिला के घर पर हमला किया। इस समूह ने पहले महिला को घर से बाहर निकाला और फिर उसे गांव के […],https://dalittimes.in/andhra-pradesh-dalit-woman-tied-to-a-pole-and-brutally-beaten-dalit-organizations-demand-strict-action/
दलित रेप-हत्या मामले में बसपा का आक्रोशः CBI जांच और आंदोलन की चेतावनी; सरकार पर दोषियों को बचाने का लगाया आरोप,Dalit Times,"सितम्बर 14, 2024",बिहार में दलित बच्ची के साथ हुए रेप और हत्या के मामले को लेकर बसपा ने राज्य सरकार पर गंभीर आरोप लगाए हैं और इस […],https://dalittimes.in/bsps-anger-in-dalit-rape-murder-case-warning-of-cbi-investigation-and-agitation-government-accused-of-protecting-the-culprits/
कर्नाटक में दलित परिवारों का बहिष्कार: रेप पीड़िता ने नहीं झुकाया सिर तो सवर्ण नेताओं ने दैनिक चीजों की बिक्री पर लगाई रोक,Dalit Times,"सितम्बर 13, 2024",कर्नाटक में दलित परिवारों को सामाजिक बहिष्कार का सामना करना पड़ रहा है क्योंकि लड़की से बलात्कार के आरोप में उसके परिवार द्वारा समझौता न […],https://dalittimes.in/boycott-of-dalit-families-in-karnataka-when-rape-victim-did-not-bow-her-head-upper-caste-leaders-banned-the-sale-of-daily-items/
"Boys Hostel ले जाकर दलित युवती से गैंगरेप, प्रशासन ने की मामले को दबाने की कोशिश, महिला कांग्रेस करेगी विरोध प्रदर्शन",Dalit Times,"सितम्बर 12, 2024",मध्यप्रदेश में एक दलित युवती के साथ गैंगरेप का मामला सामने आया है। एक तरफ जहां प्रशासन इस घटना पर चुप्पी साधे हुए मामले को […],https://dalittimes.in/dalit-girl-gang-raped-after-taking-her-to-boys-hostel-administration-tried-to-suppress-the-case-mahila-congress-will-protest/
"शिक्षा में जातिगत भेदभाव: BHU में दलित छात्र के साथ उत्पीड़न, SC आयोग की मदद से मिला हक",Dalit Times,"सितम्बर 12, 2024",क्या अब शिक्षा भी जातिवाद हो गयी हैं ? BHU में कुछ ऐसे ही मामले सामने आये है पहले एक शिक्षक द्वारा दलित छात्र पर […],https://dalittimes.in/caste-discrimination-in-education-dalit-student-harassed-in-bhu-got-rights-with-the-help-of-sc-commission/
"“पिछड़ों, दलितों का उत्पीड़न कर रही BJP सरकार”, सपा नेता ने कही बड़ी बात, क्यों देखा नही सपा ने अपना शासनकाल?",Dalit Times,"सितम्बर 12, 2024",सपा नेता राजपाल कश्यप ने BJP सरकार पर आरोप लगाया है कि वो पिछड़ों और दलितों का उत्पीड़न कर रही है। लेकिन दलितों का उत्पीड़न […],https://dalittimes.in/bjp-government-is-harassing-backward-people-and-dalits-sp-leader-said-this-big-thing-why-did-you-not-see-sps-rule/
UP: चंद्रशेखर आजाद ने एक बार फिर दलितों के लिए उठाई आवाज; गोंडा में दलित हत्या मामले में योगी सरकार से की ये मांग…,Dalit Times,"सितम्बर 9, 2024",यूपी में दलित रमेश भारती की हत्या के बाद सामाजिक और राजनीतिक हलकों में हलचल मच गई है। आजाद समाज पार्टी के नेता चंद्रशेखर आजाद […],https://dalittimes.in/up-chandrashekhar-azad-once-again-raised-his-voice-for-dalits-this-demand-was-made-from-yogi-government-in-dalit-murder-case-in-gonda/
BHU: शोध छात्र के साथ सीनियर प्रोफेसर ने की जातिगत अभद्रता! कुलपति व पुलिस आयुक्त को राष्ट्रीय अनुसूचित जाति आयोग का नोटिस,Dalit Times,"सितम्बर 9, 2024",एक दलित शोध छात्र के साथ फैकल्टी के ही सीनियर प्रोफेसर द्वारा अभद्रता करने का मामला जिसमें सीनियर प्रोफेसर ने मीटिंग में सबके सामने ही […],https://dalittimes.in/national-scheduled-caste-commissions-notice-to-the-vice-chancellor-land-and-police-commissioner-against-the-caste-based-indecency-committed-by-a-senior-professor-with-a-research-student-in-bhu/
Ayodhya Rape Case: दलित की मां काटती रही थाने के चक्कर लेकिन FIR लिखी नहीं; नेता दलित के घर चुनावी कारणों से पहुंच रहे!,Dalit Times,"सितम्बर 7, 2024",अयोध्या में दलित बच्ची के साथ बलात्कार की घटना के बाद पुलिस ने आरोपी शहबान के पैर में गोली मारी। मीडिया से बातचीत में पीड़िता […],https://dalittimes.in/ayodhya-rape-case-dalit-girls-mother-kept-visiting-the-police-station-but-fir-was-not-written-now-leaders-are-reaching-dalit-homes-only-for-election-reasons/
"UP: दबंगों के डर से 40 दलित बच्चों ने छोड़ा स्कूल, घर से बाहर निकलने से भी डरे ! अधिकारियों ने कराया समझौता",Dalit Times,"सितम्बर 7, 2024","आज भी दलितों को डर और दबाव का सामना करना पड़ता है, कई स्थानों पर जातिवादी संरचनाएं और स्थानीय दबंगों का प्रभाव दलितों को उत्पीड़ित […]",https://dalittimes.in/up-40-dalit-children-left-school-due-to-fear-of-bullies-afraid-to-even-go-out-of-the-house-officials-made-a-compromise/
"Maharashtra: दलित युवक को मंदिर में जाने से रोका, विरोध किया तो मारें डंडे, चप्पल और पत्थर; शिवसेना नेता और अन्य पर मामला दर्ज",Dalit Times,"सितम्बर 6, 2024",महाराष्ट्र में एक दलित युवक को मंदिर में प्रवेश करने से रोकने और उसके विरोध पर हमला करने के मामले में शिवसेना नेता विकास रेपाले […],https://dalittimes.in/maharashtra-dalit-youth-stopped-from-going-to-the-temple-when-he-protested-he-was-hit-with-sticks-slippers-and-stones-case-registered-against-shiv-sena-leader-and-others/
"UP News : अयोध्या में दलित लड़की से रेप के आरोपी को मुठभेड़ में लगी गोली, पुलिस ने किया गिरफ्तार",Dalit Times,"सितम्बर 6, 2024",उत्तर प्रदेश में दलित किशोरी से रेप के आरोपी शहबान को पुलिस ने एनकाउंटर के दौरान गोली मार दी। इस मुठभेड़ के बाद शहबान को […],https://dalittimes.in/up-news-the-accused-of-raping-a-dalit-girl-in-ayodhya-was-shot-in-the-leg-by-the-police-in-an-encounter-and-arrested/
"Meerut News: दलित किशोरी को बंधक बनाकर 4 मुस्लिम युवकों ने किया गैंगरेप, हिंदू संगठनों ने किया विरोध और दी चेतावनी",Dalit Times,"सितम्बर 4, 2024",चार युवकों ने दलित किशोरी को बंधक बनाकर जंगल में गैंगरेप किया। आरोपियों के दूसरे संप्रदाय (मुस्लिम) से होने के कारण हिंदू संगठनों ने पुलिस […],https://dalittimes.in/meerut-news-4-muslim-youths-gang-raped-a-dalit-teenager-by-taking-them-hostage-hindu-organizations-protested-and-warned/
"UP News : रिटायर्ड सिपाही ने दलित व्यक्ति की गोली मारकर की हत्या! भीम आर्मी ने न्याय की मांग की तो गांव वालों ने धमकी देकर भगाया, देखें Video",Dalit Times,"सितम्बर 4, 2024",उत्तर प्रदेश में जमीनी विवाद के चलते रिटायर्ड फौजी ने एक दलित युवक की गोली मारकर हत्या कर दी। जब भीम आर्मी का प्रतिनिधिमंडल पीड़ित […],https://dalittimes.in/up-news-retired-soldier-shot-and-killed-a-dalit-man-when-bhim-army-demanded-justice-the-villagers-threatened-and-chased-them-away-watch-video/
"दलित किशोरी को गांव से उठाया! 4 दिनों तक बंधक बनाकर किया दुष्कर्म, पुलिस पर दबाव बनाकर सुलह करवाने का आरोप",Dalit Times,"सितम्बर 1, 2024","बाराबंकी के एक गांव से एक दलित किशोरी का अपहरण एक युवक द्वारा कर लिया गया, जिसने उसे बंधक बनाकर कई दिनों तक प्रताड़ित किया। […]",https://dalittimes.in/dalit-girl-kidnapped-from-village-kept-captive-for-4-days-and-raped-accused-of-pressurizing-police-to-settle-the-matter/
"MP NEWS : पुलिस ने की हैवानियत की सारी हदें पार ! थाने में बंद कर दलित दादी-पोते की बेरहमी से पिटाई, पीड़ित ने खुद बताई आप बीती",Dalit Times,"अगस्त 29, 2024","सोशल मीडिया पर हाल ही में एक वीडियो तेजी से वायरल हुआ है , जिसमें थाना प्रभारी और उनके स्टाफ को एक बुजुर्ग महिला और […]",https://dalittimes.in/mp-news-police-crossed-all-limits-of-brutality-dalit-grandmother-and-grandson-were-brutally-beaten-up-after-being-locked-in-the-police-station-the-victim-himself-told-the-story/
"UP News : फर्रुखाबाद में दो दलित लड़कियों की पेड़ से लटकी मिली लाश, हत्या या आत्महत्या में उलझी पुलिस!",Dalit Times,"अगस्त 28, 2024",यूपी से के फर्रुखाबाद जिले में दो दलित युवतियों के शव पेड़ से लटके मिलने की घटना ने इलाके में सनसनी फैला दी है। मृतक […],https://dalittimes.in/up-news-dead-bodies-of-two-dalit-girls-found-hanging-from-a-tree-in-farrukhabad-police-confused-whether-it-was-murder-or-suicide/
"UP News : अयोध्या में फिर दरिंदगी, चार साल की दलित बच्ची से हैवानियत, आरोपी फरार",Dalit Times,"अगस्त 27, 2024",यूपी की धर्म नगरी अयोध्या में हाल ही में नाबालिग के साथ हुई दुष्कर्म की घटना ने सभी को हिला कर रख दिया है। इस […],https://dalittimes.in/up-news-cruelty-again-in-ayodhya-four-year-old-dalit-girl-brutalized-accused-absconding/
