title,title_detail_type,title_detail_language,title_detail_base,title_detail_value,summary,summary_detail_type,summary_detail_language,summary_detail_base,summary_detail_value,links_0_rel,links_0_type,links_0_href,links_1_type,links_1_length,links_1_href,links_1_rel,link,id,guidislink,published,published_parsed,authors_0_name,author,author_detail_name,Feed,FeedName,Section,Language,Twitter_URL,FB_URL,FetchTime
Security personnel gun down 28 Naxals in Chhattisgarh's Bastar region,text/plain,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Security personnel gun down 28 Naxals in Chhattisgarh's Bastar region,At least 28 suspected Naxalites have been killed in a fierce encounter with security forces in Narayanpur district. The gunfight erupted in Abujhmarh forests near Thulthuli village. Security forces from Dantewada and Narayanpur were involved. Automatic weapons and explosives were recovered. The encounter is part of heightened anti-Naxal operations in the Bastar region.,text/html,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,At least 28 suspected Naxalites have been killed in a fierce encounter with security forces in Narayanpur district. The gunfight erupted in Abujhmarh forests near Thulthuli village. Security forces from Dantewada and Narayanpur were involved. Automatic weapons and explosives were recovered. The encounter is part of heightened anti-Naxal operations in the Bastar region.,alternate,text/html,https://timesofindia.indiatimes.com/india/chhattisgarh-security-forces-kill-14-naxals-in-abujhmarh-forests/articleshow/113944129.cms,image/jpeg,1760375.0,"https://static.toiimg.com/photo/msid-113944220,imgsize-1760375.cms",enclosure,https://timesofindia.indiatimes.com/india/chhattisgarh-security-forces-kill-14-naxals-in-abujhmarh-forests/articleshow/113944129.cms,https://timesofindia.indiatimes.com/india/chhattisgarh-security-forces-kill-14-naxals-in-abujhmarh-forests/articleshow/113944129.cms,False,"Fri, 04 Oct 2024 19:33:36 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=3, tm_sec=36, tm_wday=4, tm_yday=278, tm_isdst=0)",RASHMI DROLIA,RASHMI DROLIA,RASHMI DROLIA,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Times of India,Top Stories,,,,2024-10-04 11:17:10
'Israel will not last long': Iran Supreme Leader Khamenei's warning in rare sermon,text/plain,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,'Israel will not last long': Iran Supreme Leader Khamenei's warning in rare sermon,"Iran's Supreme Leader Ali Khamenei defended Hamas' attacks on Israel as legal and accused the US and its allies of supporting Israel for energy interests. He vowed continued resistance in the Middle East and emphasized regional solidarity. Khamenei honored the late Sayyid Hassan Nasrallah, urging Hezbollah youth to continue his mission.",text/html,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"Iran's Supreme Leader Ali Khamenei defended Hamas' attacks on Israel as legal and accused the US and its allies of supporting Israel for energy interests. He vowed continued resistance in the Middle East and emphasized regional solidarity. Khamenei honored the late Sayyid Hassan Nasrallah, urging Hezbollah youth to continue his mission.",alternate,text/html,https://timesofindia.indiatimes.com/world/middle-east/israel-will-not-last-long-top-quotes-from-iran-supreme-leader-khameneis-rare-sermon/articleshow/113937771.cms,image/jpeg,1300447.0,"https://static.toiimg.com/photo/msid-113938326,imgsize-1300447.cms",enclosure,https://timesofindia.indiatimes.com/world/middle-east/israel-will-not-last-long-top-quotes-from-iran-supreme-leader-khameneis-rare-sermon/articleshow/113937771.cms,https://timesofindia.indiatimes.com/world/middle-east/israel-will-not-last-long-top-quotes-from-iran-supreme-leader-khameneis-rare-sermon/articleshow/113937771.cms,False,"Fri, 04 Oct 2024 16:01:53 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=10, tm_min=31, tm_sec=53, tm_wday=4, tm_yday=278, tm_isdst=0)",TOI WORLD DESK,TOI WORLD DESK,TOI WORLD DESK,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Times of India,Top Stories,,,,2024-10-04 11:17:10
External affairs minister S Jaishankar to visit Pakistan for SCO summit,text/plain,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,External affairs minister S Jaishankar to visit Pakistan for SCO summit,"External affairs minister S Jaishankar will visit Pakistan for the SCO meeting on October 15 and 16. Pakistan invited Prime Minister Modi, but due to strained relations, Jaishankar will attend. The SCO, a major Eurasian grouping, allows members like India and Pakistan to cooperate despite bilateral disputes. The SCO is a Eurasian permanent intergovernmental international organisation created in June 2001 by Kazakhstan, Kyrgyzstan, Russia, Tajikistan, Uzbekistan, India and China.",text/html,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"External affairs minister S Jaishankar will visit Pakistan for the SCO meeting on October 15 and 16. Pakistan invited Prime Minister Modi, but due to strained relations, Jaishankar will attend. The SCO, a major Eurasian grouping, allows members like India and Pakistan to cooperate despite bilateral disputes. The SCO is a Eurasian permanent intergovernmental international organisation created in June 2001 by Kazakhstan, Kyrgyzstan, Russia, Tajikistan, Uzbekistan, India and China.",alternate,text/html,https://timesofindia.indiatimes.com/india/external-affairs-minister-s-jaishankar-to-visit-pakistan-for-sco-meeting/articleshow/113939024.cms,image/jpeg,1457969.0,"https://static.toiimg.com/photo/msid-113939364,imgsize-1457969.cms",enclosure,https://timesofindia.indiatimes.com/india/external-affairs-minister-s-jaishankar-to-visit-pakistan-for-sco-meeting/articleshow/113939024.cms,https://timesofindia.indiatimes.com/india/external-affairs-minister-s-jaishankar-to-visit-pakistan-for-sco-meeting/articleshow/113939024.cms,False,"Fri, 04 Oct 2024 16:32:22 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=11, tm_min=2, tm_sec=22, tm_wday=4, tm_yday=278, tm_isdst=0)",TOI NEWS DESK,TOI NEWS DESK,TOI NEWS DESK,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Times of India,Top Stories,,,,2024-10-04 11:17:10
"Amazon could cut 14,000 managerial roles: ‘Now is the right time to …,’ says company",text/plain,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"Amazon could cut 14,000 managerial roles: ‘Now is the right time to …,’ says company","Amazon plans to cut around 14,000 managerial positions by early 2025 to increase operational efficiency and save up to $3.6 billion annually. This restructuring aligns with CEO Andy Jassy's goal to boost the ratio of individual contributors to managers by 15%, enhancing agility and decision-making.",text/html,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"Amazon plans to cut around 14,000 managerial positions by early 2025 to increase operational efficiency and save up to $3.6 billion annually. This restructuring aligns with CEO Andy Jassy's goal to boost the ratio of individual contributors to managers by 15%, enhancing agility and decision-making.",alternate,text/html,https://timesofindia.indiatimes.com/technology/tech-news/amazon-could-cut-14000-managerial-roles-now-is-the-right-time-to-says-company/articleshow/113908630.cms,image/jpeg,17278.0,"https://static.toiimg.com/photo/msid-113935726,imgsize-17278.cms",enclosure,https://timesofindia.indiatimes.com/technology/tech-news/amazon-could-cut-14000-managerial-roles-now-is-the-right-time-to-says-company/articleshow/113908630.cms,https://timesofindia.indiatimes.com/technology/tech-news/amazon-could-cut-14000-managerial-roles-now-is-the-right-time-to-says-company/articleshow/113908630.cms,False,"Fri, 04 Oct 2024 15:02:33 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=9, tm_min=32, tm_sec=33, tm_wday=4, tm_yday=278, tm_isdst=0)",TOI TECH DESK,TOI TECH DESK,TOI TECH DESK,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Times of India,Top Stories,,,,2024-10-04 11:17:10
'Gambhir is like my brother': Kamran Akmal,text/plain,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,'Gambhir is like my brother': Kamran Akmal,"Former Pakistan wicketkeeper Kamran Akmal lauds India head coach Gautam Gambhir as a 'brother' and praises MS Dhoni's calm demeanour and stellar career. Akmal congratulates Gambhir on his recent success, winning his first Test series as a coach against Bangladesh. Gambhir's dedication is highlighted by his visit to the Maa Pitambara Temple during Shardiya Navratri.",text/html,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"Former Pakistan wicketkeeper Kamran Akmal lauds India head coach Gautam Gambhir as a 'brother' and praises MS Dhoni's calm demeanour and stellar career. Akmal congratulates Gambhir on his recent success, winning his first Test series as a coach against Bangladesh. Gambhir's dedication is highlighted by his visit to the Maa Pitambara Temple during Shardiya Navratri.",alternate,text/html,https://timesofindia.indiatimes.com/sports/cricket/news/gautam-gambhir-is-like-my-brother-kamran-akmal-happy-for-team-indias-head-coach/articleshow/113944024.cms,image/jpeg,54930.0,"https://static.toiimg.com/photo/msid-113944544,imgsize-54930.cms",enclosure,https://timesofindia.indiatimes.com/sports/cricket/news/gautam-gambhir-is-like-my-brother-kamran-akmal-happy-for-team-indias-head-coach/articleshow/113944024.cms,https://timesofindia.indiatimes.com/sports/cricket/news/gautam-gambhir-is-like-my-brother-kamran-akmal-happy-for-team-indias-head-coach/articleshow/113944024.cms,False,"Fri, 04 Oct 2024 19:47:56 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=17, tm_sec=56, tm_wday=4, tm_yday=278, tm_isdst=0)",TOI SPORTS DESK,TOI SPORTS DESK,TOI SPORTS DESK,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Times of India,Top Stories,,,,2024-10-04 11:17:10
'Let's wait & see': Udhayanidhi Stalin on Pawan Kalyan's Sanatana Dharma remarks,text/plain,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,'Let's wait & see': Udhayanidhi Stalin on Pawan Kalyan's Sanatana Dharma remarks,"Tamil Nadu deputy CM Udhayanidhi Stalin responded cryptically to Andhra Pradesh deputy CM Pawan Kalyan's warning against those opposing 'Sanatana Dharma'. Kalyan suggested creating a 'Sanatana Dharma Protection Board' and implementing certification measures. Stalin had previously sparked controversy by comparing 'Sanatana Dharma' to diseases, later clarifying his comments were against its divisive nature.",text/html,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"Tamil Nadu deputy CM Udhayanidhi Stalin responded cryptically to Andhra Pradesh deputy CM Pawan Kalyan's warning against those opposing 'Sanatana Dharma'. Kalyan suggested creating a 'Sanatana Dharma Protection Board' and implementing certification measures. Stalin had previously sparked controversy by comparing 'Sanatana Dharma' to diseases, later clarifying his comments were against its divisive nature.",alternate,text/html,https://timesofindia.indiatimes.com/india/lets-wait-and-see-udhayanidhi-stalin-on-pawan-kalyans-sanatana-dharma-remarks/articleshow/113943783.cms,image/jpeg,620338.0,"https://static.toiimg.com/photo/msid-113944357,imgsize-620338.cms",enclosure,https://timesofindia.indiatimes.com/india/lets-wait-and-see-udhayanidhi-stalin-on-pawan-kalyans-sanatana-dharma-remarks/articleshow/113943783.cms,https://timesofindia.indiatimes.com/india/lets-wait-and-see-udhayanidhi-stalin-on-pawan-kalyans-sanatana-dharma-remarks/articleshow/113943783.cms,False,"Fri, 04 Oct 2024 19:38:56 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=8, tm_sec=56, tm_wday=4, tm_yday=278, tm_isdst=0)",TOI NEWS DESK,TOI NEWS DESK,TOI NEWS DESK,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Times of India,Top Stories,,,,2024-10-04 11:17:10
"Meghan, Harry completely ditched by David and Victoria Beckham?",text/plain,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"Meghan, Harry completely ditched by David and Victoria Beckham?","Before Meghan's wedding, she reached out to Victoria for advice of best facials and hairdresser in London. But the story was leaked to the UK Sun. Since Meghan did not leak it to the press, it was presumably Victoria and Harry was asked to complain to David. The Beckhams denied any leak but Harry and Meghan became distrustful of them.",text/html,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"Before Meghan's wedding, she reached out to Victoria for advice of best facials and hairdresser in London. But the story was leaked to the UK Sun. Since Meghan did not leak it to the press, it was presumably Victoria and Harry was asked to complain to David. The Beckhams denied any leak but Harry and Meghan became distrustful of them.",alternate,text/html,https://timesofindia.indiatimes.com/world/uk/meghan-harry-completely-ditched-by-david-and-victoria-beckham-the-real-reason-is-/articleshow/113944496.cms,image/jpeg,37698.0,"https://static.toiimg.com/photo/msid-113944463,imgsize-37698.cms",enclosure,https://timesofindia.indiatimes.com/world/uk/meghan-harry-completely-ditched-by-david-and-victoria-beckham-the-real-reason-is-/articleshow/113944496.cms,https://timesofindia.indiatimes.com/world/uk/meghan-harry-completely-ditched-by-david-and-victoria-beckham-the-real-reason-is-/articleshow/113944496.cms,False,"Fri, 04 Oct 2024 19:45:34 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=15, tm_sec=34, tm_wday=4, tm_yday=278, tm_isdst=0)",TOI WORLD DESK,TOI WORLD DESK,TOI WORLD DESK,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Times of India,Top Stories,,,,2024-10-04 11:17:10
"Stock trading app linked to Rs 500 cr fraud; YouTubers Elvish, Bharti summoned",text/plain,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"Stock trading app linked to Rs 500 cr fraud; YouTubers Elvish, Bharti summoned","Delhi police arrested a main accused from Chennai linked to the Rs 500 crore HiBox stock trading app scam, defrauding over 30,000 people. The app promised high returns but later withheld funds. Influencers like Elvish Yadav and Bharti Singh are also summoned for promoting the scam.",text/html,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"Delhi police arrested a main accused from Chennai linked to the Rs 500 crore HiBox stock trading app scam, defrauding over 30,000 people. The app promised high returns but later withheld funds. Influencers like Elvish Yadav and Bharti Singh are also summoned for promoting the scam.",alternate,text/html,https://timesofindia.indiatimes.com/technology/tech-news/this-is-the-stock-trading-app-linked-to-rs-500-crore-investment-fraud-youtubers-elvish-yadav-bharti-singh-among-5-summoned/articleshow/113916008.cms,image/jpeg,44808.0,"https://static.toiimg.com/photo/msid-113916008,imgsize-44808.cms",enclosure,https://timesofindia.indiatimes.com/technology/tech-news/this-is-the-stock-trading-app-linked-to-rs-500-crore-investment-fraud-youtubers-elvish-yadav-bharti-singh-among-5-summoned/articleshow/113916008.cms,https://timesofindia.indiatimes.com/technology/tech-news/this-is-the-stock-trading-app-linked-to-rs-500-crore-investment-fraud-youtubers-elvish-yadav-bharti-singh-among-5-summoned/articleshow/113916008.cms,False,"Thu, 03 Oct 2024 22:45:05 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=17, tm_min=15, tm_sec=5, tm_wday=3, tm_yday=277, tm_isdst=0)",TOI TECH DESK,TOI TECH DESK,TOI TECH DESK,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Times of India,Top Stories,,,,2024-10-04 11:17:10
Aussie players unanimously name Pant as India's top sledger,text/plain,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Aussie players unanimously name Pant as India's top sledger,"The intense India vs Australia Test cricket rivalry is highlighted by sledging, especially from India's Rishabh Pant. Australian players unanimously recognize Pant as the primary sledger and banterer. The upcoming Border-Gavaskar Trophy begins November 22, with India aiming to secure their position in the World Test Championship final.",text/html,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"The intense India vs Australia Test cricket rivalry is highlighted by sledging, especially from India's Rishabh Pant. Australian players unanimously recognize Pant as the primary sledger and banterer. The upcoming Border-Gavaskar Trophy begins November 22, with India aiming to secure their position in the World Test Championship final.",alternate,text/html,https://timesofindia.indiatimes.com/sports/cricket/news/hilarious-aussie-players-unanimously-name-rishabh-pant-as-indias-top-sledger/articleshow/113943872.cms,image/jpeg,37478.0,"https://static.toiimg.com/photo/msid-113943959,imgsize-37478.cms",enclosure,https://timesofindia.indiatimes.com/sports/cricket/news/hilarious-aussie-players-unanimously-name-rishabh-pant-as-indias-top-sledger/articleshow/113943872.cms,https://timesofindia.indiatimes.com/sports/cricket/news/hilarious-aussie-players-unanimously-name-rishabh-pant-as-indias-top-sledger/articleshow/113943872.cms,False,"Fri, 04 Oct 2024 19:19:16 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=13, tm_min=49, tm_sec=16, tm_wday=4, tm_yday=278, tm_isdst=0)",TOI SPORTS DESK,TOI SPORTS DESK,TOI SPORTS DESK,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Times of India,Top Stories,,,,2024-10-04 11:17:10
Jaishankar reaffirms India's support for Sri Lanka's economic recovery,text/plain,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Jaishankar reaffirms India's support for Sri Lanka's economic recovery,"External Affairs Minister S Jaishankar's visit to Sri Lanka focuses on enhancing economic recovery efforts, strengthening cooperation in tourism, energy, and investment. He meets Sri Lankan President Anura Kumara Dissanayake, Prime Minister Harini Amarasuriya, and Foreign Minister Vijitha Herath to reaffirm India's support and discuss key collaboration areas.",text/html,en-IN,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,"External Affairs Minister S Jaishankar's visit to Sri Lanka focuses on enhancing economic recovery efforts, strengthening cooperation in tourism, energy, and investment. He meets Sri Lankan President Anura Kumara Dissanayake, Prime Minister Harini Amarasuriya, and Foreign Minister Vijitha Herath to reaffirm India's support and discuss key collaboration areas.",alternate,text/html,https://timesofindia.indiatimes.com/india/in-meeting-with-sri-lanka-president-jaishankar-reaffirms-indias-support-for-sri-lankas-economic-recovery/articleshow/113942712.cms,image/jpeg,39170.0,"https://static.toiimg.com/photo/msid-113943202,imgsize-39170.cms",enclosure,https://timesofindia.indiatimes.com/india/in-meeting-with-sri-lanka-president-jaishankar-reaffirms-indias-support-for-sri-lankas-economic-recovery/articleshow/113942712.cms,https://timesofindia.indiatimes.com/india/in-meeting-with-sri-lanka-president-jaishankar-reaffirms-indias-support-for-sri-lankas-economic-recovery/articleshow/113942712.cms,False,"Fri, 04 Oct 2024 18:46:23 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=13, tm_min=16, tm_sec=23, tm_wday=4, tm_yday=278, tm_isdst=0)",TOI NEWS DESK,TOI NEWS DESK,TOI NEWS DESK,https://timesofindia.indiatimes.com/rssfeedstopstories.cms,Times of India,Top Stories,,,,2024-10-04 11:17:10
